# BEGIN PLOT
Legend=1
LogY=0
XLabel=$|\eta|$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta_+ \; / \; \mathrm{d}\sigma/\mathrm{d}\eta_-$
LegendYPos=0.5
Title=Pseudorapidity $+/-$ ratio of charged particles
DrawOnly=//mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/EtaChPMRatio
LegendOnly=//mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/EtaChPMRatio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/EtaChPMRatio
ErrorBreakdown={0: {"": {up: 0.00054327717365569626, dn: 0.00054327717365569626}}, 1: {"": {up: 0.00056715859207411153, dn: 0.00056715859207411153}}, 2: {"": {up: 0.00061674697501440509, dn: 0.00061674697501440509}}, 3: {"": {up: 0.00069557498511362242, dn: 0.00069557498511362242}}, 4: {"": {up: 0.00080833866943455361, dn: 0.00080833866943455361}}, 5: {"": {up: 0.0009628496337436525, dn: 0.0009628496337436525}}, 6: {"": {up: 0.0011717056767989833, dn: 0.0011717056767989833}}, 7: {"": {up: 0.0014471005090680861, dn: 0.0014471005090680861}}, 8: {"": {up: 0.0018160921062018048, dn: 0.0018160921062018048}}, 9: {"": {up: 0.0022989390661267545, dn: 0.0022989390661267545}}, 10: {"": {up: 0.0029425332820940042, dn: 0.0029425332820940042}}, 11: {"": {up: 0.0037453693701721504, dn: 0.0037453693701721504}}, 12: {"": {up: 0.0048423923418817964, dn: 0.0048423923418817964}}, 13: {"": {up: 0.0063764173011822594, dn: 0.0063764173011822594}}, 14: {"": {up: 0.0082459823290439473, dn: 0.0082459823290439473}}, 15: {"": {up: 0.010649257312910726, dn: 0.010649257312910726}}, 16: {"": {up: 0.013445075766584585, dn: 0.013445075766584585}}, 17: {"": {up: 0.017561668621018628, dn: 0.017561668621018628}}, 18: {"": {up: 0.023423001297425246, dn: 0.023423001297425246}}, 19: {"": {up: 0.030646027496973528, dn: 0.030646027496973528}}, 20: {"": {up: 0.035583559515493135, dn: 0.035583559515493135}}, 21: {"": {up: 0.047658553937378348, dn: 0.047658553937378348}}, 22: {"": {up: 0.058483774704992039, dn: 0.058483774704992039}}, 23: {"": {up: 0.073804311427920877, dn: 0.073804311427920877}}, 24: {"": {up: 0.08047133070625051, dn: 0.08047133070625051}}}
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/EtaChPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.987191e-01	5.432772e-04	5.432772e-04
2.000000e-01	4.000000e-01	9.990837e-01	5.671586e-04	5.671586e-04
4.000000e-01	6.000000e-01	9.996875e-01	6.167470e-04	6.167470e-04
6.000000e-01	8.000000e-01	1.000855e+00	6.955750e-04	6.955750e-04
8.000000e-01	1.000000e+00	1.001074e+00	8.083387e-04	8.083387e-04
1.000000e+00	1.200000e+00	1.000213e+00	9.628496e-04	9.628496e-04
1.200000e+00	1.400000e+00	9.999246e-01	1.171706e-03	1.171706e-03
1.400000e+00	1.600000e+00	9.982365e-01	1.447101e-03	1.447101e-03
1.600000e+00	1.800000e+00	9.995696e-01	1.816092e-03	1.816092e-03
1.800000e+00	2.000000e+00	9.995083e-01	2.298939e-03	2.298939e-03
2.000000e+00	2.200000e+00	1.002523e+00	2.942533e-03	2.942533e-03
2.200000e+00	2.400000e+00	9.917323e-01	3.745369e-03	3.745369e-03
2.400000e+00	2.600000e+00	9.958293e-01	4.842392e-03	4.842392e-03
2.600000e+00	2.800000e+00	1.009739e+00	6.376417e-03	6.376417e-03
2.800000e+00	3.000000e+00	1.005079e+00	8.245982e-03	8.245982e-03
3.000000e+00	3.200000e+00	9.979352e-01	1.064926e-02	1.064926e-02
3.200000e+00	3.400000e+00	9.685986e-01	1.344508e-02	1.344508e-02
3.400000e+00	3.600000e+00	9.866541e-01	1.756167e-02	1.756167e-02
3.600000e+00	3.800000e+00	1.008912e+00	2.342300e-02	2.342300e-02
3.800000e+00	4.000000e+00	1.032822e+00	3.064603e-02	3.064603e-02
4.000000e+00	4.200000e+00	9.637859e-01	3.558356e-02	3.558356e-02
4.200000e+00	4.400000e+00	1.012885e+00	4.765855e-02	4.765855e-02
4.400000e+00	4.600000e+00	9.734267e-01	5.848377e-02	5.848377e-02
4.600000e+00	4.800000e+00	9.760487e-01	7.380431e-02	7.380431e-02
4.800000e+00	5.000000e+00	8.048983e-01	8.047133e-02	8.047133e-02
# END HISTO1D

