# BEGIN PLOT
Legend=1
LogY=0
XLabel=$\eta$
YLabel=$\langle \sum E_\perp \rangle$
LegendYPos=0.5
Title=Pseudorapidity distribution of $\langle \sum E_\perp \rangle$
DrawOnly=//mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/EtaSumEt
LegendOnly=//mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/EtaSumEt
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/EtaSumEt
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/EtaSumEt
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	6.743186e+00	2.754746e-03	2.754746e-03
2.000000e-01	4.000000e-01	6.663828e+00	2.823730e-03	2.823730e-03
4.000000e-01	6.000000e-01	6.512028e+00	2.956854e-03	2.956854e-03
6.000000e-01	8.000000e-01	6.266071e+00	3.140558e-03	3.140558e-03
8.000000e-01	1.000000e+00	5.931927e+00	3.359723e-03	3.359723e-03
1.000000e+00	1.200000e+00	5.555705e+00	3.626752e-03	3.626752e-03
1.200000e+00	1.400000e+00	5.150134e+00	3.930748e-03	3.930748e-03
1.400000e+00	1.600000e+00	4.747165e+00	4.282541e-03	4.282541e-03
1.600000e+00	1.800000e+00	4.353169e+00	4.678213e-03	4.678213e-03
1.800000e+00	2.000000e+00	4.017547e+00	5.160577e-03	5.160577e-03
2.000000e+00	2.200000e+00	3.678115e+00	5.658763e-03	5.658763e-03
2.200000e+00	2.400000e+00	3.397598e+00	6.269314e-03	6.269314e-03
2.400000e+00	2.600000e+00	3.136157e+00	6.912116e-03	6.912116e-03
2.600000e+00	2.800000e+00	2.881352e+00	7.580763e-03	7.580763e-03
2.800000e+00	3.000000e+00	2.669412e+00	8.324679e-03	8.324679e-03
3.000000e+00	3.200000e+00	2.467646e+00	9.049626e-03	9.049626e-03
3.200000e+00	3.400000e+00	2.267199e+00	9.669122e-03	9.669122e-03
3.400000e+00	3.600000e+00	2.061512e+00	1.008378e-02	1.008378e-02
3.600000e+00	3.800000e+00	1.847973e+00	1.039852e-02	1.039852e-02
3.800000e+00	4.000000e+00	1.631002e+00	1.038732e-02	1.038732e-02
4.000000e+00	4.200000e+00	1.455128e+00	1.018988e-02	1.018988e-02
4.200000e+00	4.400000e+00	1.264689e+00	9.910015e-03	9.910015e-03
4.400000e+00	4.600000e+00	1.081415e+00	9.717729e-03	9.717729e-03
4.600000e+00	4.800000e+00	9.358378e-01	9.846234e-03	9.846234e-03
4.800000e+00	5.000000e+00	8.010010e-01	9.380354e-03	9.380354e-03
# END HISTO1D

