# BEGIN PLOT
Legend=1
LogY=0
Title=Azimuthal distribution of all particles
XLabel=$\phi$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\phi$
LegendYPos=0.5
DrawOnly=//mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/Phi
LegendOnly=//mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/Phi
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/Phi
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/Phi
ScaledBy=1.08847012953937364e-06
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.593382e-01	1.097973e-04	1.097973e-04
1.256637e-01	2.513274e-01	1.594831e-01	1.098474e-04	1.098474e-04
2.513274e-01	3.769911e-01	1.589671e-01	1.096701e-04	1.096701e-04
3.769911e-01	5.026548e-01	1.590035e-01	1.096810e-04	1.096810e-04
5.026548e-01	6.283185e-01	1.589432e-01	1.096605e-04	1.096605e-04
6.283185e-01	7.539822e-01	1.591695e-01	1.097405e-04	1.097405e-04
7.539822e-01	8.796459e-01	1.592727e-01	1.097751e-04	1.097751e-04
8.796459e-01	1.005310e+00	1.589694e-01	1.096695e-04	1.096695e-04
1.005310e+00	1.130973e+00	1.590487e-01	1.096976e-04	1.096976e-04
1.130973e+00	1.256637e+00	1.590424e-01	1.096943e-04	1.096943e-04
1.256637e+00	1.382301e+00	1.587616e-01	1.095969e-04	1.095969e-04
1.382301e+00	1.507964e+00	1.589739e-01	1.096714e-04	1.096714e-04
1.507964e+00	1.633628e+00	1.589649e-01	1.096678e-04	1.096678e-04
1.633628e+00	1.759292e+00	1.589555e-01	1.096643e-04	1.096643e-04
1.759292e+00	1.884956e+00	1.591871e-01	1.097446e-04	1.097446e-04
1.884956e+00	2.010619e+00	1.589071e-01	1.096489e-04	1.096489e-04
2.010619e+00	2.136283e+00	1.588966e-01	1.096445e-04	1.096445e-04
2.136283e+00	2.261947e+00	1.590794e-01	1.097090e-04	1.097090e-04
2.261947e+00	2.387610e+00	1.589687e-01	1.096698e-04	1.096698e-04
2.387610e+00	2.513274e+00	1.592614e-01	1.097712e-04	1.097712e-04
2.513274e+00	2.638938e+00	1.589545e-01	1.096650e-04	1.096650e-04
2.638938e+00	2.764602e+00	1.588418e-01	1.096249e-04	1.096249e-04
2.764602e+00	2.890265e+00	1.588336e-01	1.096235e-04	1.096235e-04
2.890265e+00	3.015929e+00	1.589558e-01	1.096651e-04	1.096651e-04
3.015929e+00	3.141593e+00	1.587864e-01	1.096065e-04	1.096065e-04
3.141593e+00	3.267256e+00	1.590487e-01	1.096990e-04	1.096990e-04
3.267256e+00	3.392920e+00	1.591582e-01	1.097350e-04	1.097350e-04
3.392920e+00	3.518584e+00	1.592402e-01	1.097623e-04	1.097623e-04
3.518584e+00	3.644247e+00	1.591691e-01	1.097394e-04	1.097394e-04
3.644247e+00	3.769911e+00	1.594278e-01	1.098275e-04	1.098275e-04
3.769911e+00	3.895575e+00	1.592234e-01	1.097564e-04	1.097564e-04
3.895575e+00	4.021239e+00	1.592966e-01	1.097831e-04	1.097831e-04
4.021239e+00	4.146902e+00	1.592362e-01	1.097623e-04	1.097623e-04
4.146902e+00	4.272566e+00	1.591927e-01	1.097462e-04	1.097462e-04
4.272566e+00	4.398230e+00	1.592302e-01	1.097588e-04	1.097588e-04
4.398230e+00	4.523893e+00	1.593739e-01	1.098097e-04	1.098097e-04
4.523893e+00	4.649557e+00	1.594467e-01	1.098340e-04	1.098340e-04
4.649557e+00	4.775221e+00	1.592890e-01	1.097812e-04	1.097812e-04
4.775221e+00	4.900885e+00	1.595287e-01	1.098640e-04	1.098640e-04
4.900885e+00	5.026548e+00	1.592875e-01	1.097798e-04	1.097798e-04
5.026548e+00	5.152212e+00	1.595239e-01	1.098620e-04	1.098620e-04
5.152212e+00	5.277876e+00	1.592045e-01	1.097512e-04	1.097512e-04
5.277876e+00	5.403539e+00	1.591040e-01	1.097162e-04	1.097162e-04
5.403539e+00	5.529203e+00	1.590584e-01	1.097005e-04	1.097005e-04
5.529203e+00	5.654867e+00	1.592571e-01	1.097691e-04	1.097691e-04
5.654867e+00	5.780530e+00	1.594539e-01	1.098385e-04	1.098385e-04
5.780530e+00	5.906194e+00	1.593725e-01	1.098093e-04	1.098093e-04
5.906194e+00	6.031858e+00	1.593373e-01	1.097976e-04	1.097976e-04
6.031858e+00	6.157522e+00	1.594503e-01	1.098377e-04	1.098377e-04
6.157522e+00	6.283185e+00	1.592702e-01	1.097746e-04	1.097746e-04
# END HISTO1D

