# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of charged particles
XLabel=$p_\perp$ [GeV]
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}p_\perp$ [GeV$^{-1}$]
FullRange=1
DrawOnly=//mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/PtCh
LegendOnly=//mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/PtCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/PtCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/PtCh
ScaledBy=1.81547740254824208e-06
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	6.000000e-01	6.081410e-01	3.106222e-04	3.106222e-04
6.000000e-01	7.000000e-01	5.402935e-01	2.927893e-04	2.927893e-04
7.000000e-01	8.000000e-01	4.813694e-01	2.763675e-04	2.763675e-04
8.000000e-01	9.000000e-01	4.297520e-01	2.611349e-04	2.611349e-04
9.000000e-01	1.000000e+00	3.866670e-01	2.477089e-04	2.477089e-04
1.000000e+00	1.100000e+00	3.494456e-01	2.354903e-04	2.354903e-04
1.100000e+00	1.200000e+00	3.167173e-01	2.241964e-04	2.241964e-04
1.200000e+00	1.300000e+00	2.884153e-01	2.139487e-04	2.139487e-04
1.300000e+00	1.400000e+00	2.638971e-01	2.046584e-04	2.046584e-04
1.400000e+00	1.500000e+00	2.422497e-01	1.960913e-04	1.960913e-04
1.500000e+00	1.600000e+00	2.234473e-01	1.883328e-04	1.883328e-04
1.600000e+00	1.700000e+00	2.063488e-01	1.809881e-04	1.809881e-04
1.700000e+00	1.800000e+00	1.910716e-01	1.741643e-04	1.741643e-04
1.800000e+00	1.900000e+00	1.780307e-01	1.681219e-04	1.681219e-04
1.900000e+00	2.000000e+00	1.657675e-01	1.622304e-04	1.622304e-04
2.000000e+00	2.100000e+00	1.550099e-01	1.568819e-04	1.568819e-04
2.100000e+00	2.200000e+00	1.451590e-01	1.518190e-04	1.518190e-04
2.200000e+00	2.300000e+00	1.366353e-01	1.472999e-04	1.472999e-04
2.300000e+00	2.400000e+00	1.282069e-01	1.426916e-04	1.426916e-04
2.400000e+00	2.500000e+00	1.206516e-01	1.384247e-04	1.384247e-04
2.500000e+00	2.600000e+00	1.140742e-01	1.346030e-04	1.346030e-04
2.600000e+00	2.700000e+00	1.077927e-01	1.308474e-04	1.308474e-04
2.700000e+00	2.800000e+00	1.021488e-01	1.273799e-04	1.273799e-04
2.800000e+00	2.900000e+00	9.672570e-02	1.239544e-04	1.239544e-04
2.900000e+00	3.000000e+00	9.177676e-02	1.207456e-04	1.207456e-04
3.000000e+00	3.100000e+00	8.709253e-02	1.176285e-04	1.176285e-04
3.100000e+00	3.200000e+00	8.307733e-02	1.148875e-04	1.148875e-04
3.200000e+00	3.300000e+00	7.928308e-02	1.122347e-04	1.122347e-04
3.300000e+00	3.400000e+00	7.541886e-02	1.094683e-04	1.094683e-04
3.400000e+00	3.500000e+00	7.167461e-02	1.067165e-04	1.067165e-04
3.500000e+00	3.600000e+00	6.852881e-02	1.043509e-04	1.043509e-04
3.600000e+00	3.700000e+00	6.555596e-02	1.020672e-04	1.020672e-04
3.700000e+00	3.800000e+00	6.305569e-02	1.001035e-04	1.001035e-04
3.800000e+00	3.900000e+00	6.043363e-02	9.800343e-05	9.800343e-05
3.900000e+00	4.000000e+00	5.756528e-02	9.564956e-05	9.564956e-05
4.000000e+00	4.100000e+00	5.535554e-02	9.379697e-05	9.379697e-05
4.100000e+00	4.200000e+00	5.308500e-02	9.185448e-05	9.185448e-05
4.200000e+00	4.300000e+00	5.084920e-02	8.990160e-05	8.990160e-05
4.300000e+00	4.400000e+00	4.930690e-02	8.853300e-05	8.853300e-05
4.400000e+00	4.500000e+00	4.724644e-02	8.666216e-05	8.666216e-05
4.500000e+00	4.600000e+00	4.565213e-02	8.518966e-05	8.518966e-05
4.600000e+00	4.700000e+00	4.390761e-02	8.354659e-05	8.354659e-05
4.700000e+00	4.800000e+00	4.236129e-02	8.206415e-05	8.206415e-05
4.800000e+00	4.900000e+00	4.080953e-02	8.054784e-05	8.054784e-05
4.900000e+00	5.000000e+00	3.939096e-02	7.913679e-05	7.913679e-05
5.000000e+00	5.100000e+00	3.791712e-02	7.764496e-05	7.764496e-05
5.100000e+00	5.200000e+00	3.655880e-02	7.624141e-05	7.624141e-05
5.200000e+00	5.300000e+00	3.547745e-02	7.510684e-05	7.510684e-05
5.300000e+00	5.400000e+00	3.418513e-02	7.372683e-05	7.372683e-05
5.400000e+00	5.500000e+00	3.313326e-02	7.258374e-05	7.258374e-05
5.500000e+00	5.600000e+00	3.209187e-02	7.143446e-05	7.143446e-05
5.600000e+00	5.700000e+00	3.107714e-02	7.029701e-05	7.029701e-05
5.700000e+00	5.800000e+00	2.993771e-02	6.899627e-05	6.899627e-05
5.800000e+00	5.900000e+00	2.919280e-02	6.813408e-05	6.813408e-05
5.900000e+00	6.000000e+00	2.813395e-02	6.688766e-05	6.688766e-05
6.000000e+00	6.100000e+00	2.731695e-02	6.590952e-05	6.590952e-05
6.100000e+00	6.200000e+00	2.638630e-02	6.477735e-05	6.477735e-05
6.200000e+00	6.300000e+00	2.577415e-02	6.402263e-05	6.402263e-05
6.300000e+00	6.400000e+00	2.495150e-02	6.299294e-05	6.299294e-05
6.400000e+00	6.500000e+00	2.416407e-02	6.199097e-05	6.199097e-05
6.500000e+00	6.600000e+00	2.361023e-02	6.127742e-05	6.127742e-05
6.600000e+00	6.700000e+00	2.283281e-02	6.025860e-05	6.025860e-05
6.700000e+00	6.800000e+00	2.224725e-02	5.948231e-05	5.948231e-05
6.800000e+00	6.900000e+00	2.154660e-02	5.853906e-05	5.853906e-05
6.900000e+00	7.000000e+00	2.110206e-02	5.793073e-05	5.793073e-05
7.000000e+00	7.100000e+00	2.048618e-02	5.707892e-05	5.707892e-05
7.100000e+00	7.200000e+00	1.982685e-02	5.615319e-05	5.615319e-05
7.200000e+00	7.300000e+00	1.925798e-02	5.534015e-05	5.534015e-05
7.300000e+00	7.400000e+00	1.886786e-02	5.477785e-05	5.477785e-05
7.400000e+00	7.500000e+00	1.826929e-02	5.390198e-05	5.390198e-05
7.500000e+00	7.600000e+00	1.790290e-02	5.335802e-05	5.335802e-05
7.600000e+00	7.700000e+00	1.746189e-02	5.269755e-05	5.269755e-05
7.700000e+00	7.800000e+00	1.698290e-02	5.196899e-05	5.196899e-05
7.800000e+00	7.900000e+00	1.655217e-02	5.130486e-05	5.130486e-05
7.900000e+00	8.000000e+00	1.618702e-02	5.073798e-05	5.073798e-05
8.000000e+00	8.100000e+00	1.577895e-02	5.009144e-05	5.009144e-05
8.100000e+00	8.200000e+00	1.535998e-02	4.942339e-05	4.942339e-05
8.200000e+00	8.300000e+00	1.502254e-02	4.887576e-05	4.887576e-05
8.300000e+00	8.400000e+00	1.464223e-02	4.825223e-05	4.825223e-05
8.400000e+00	8.500000e+00	1.427393e-02	4.764010e-05	4.764010e-05
8.500000e+00	8.600000e+00	1.394128e-02	4.708115e-05	4.708115e-05
8.600000e+00	8.700000e+00	1.364399e-02	4.657755e-05	4.657755e-05
8.700000e+00	8.800000e+00	1.333785e-02	4.605030e-05	4.605030e-05
8.800000e+00	8.900000e+00	1.307535e-02	4.559436e-05	4.559436e-05
8.900000e+00	9.000000e+00	1.273312e-02	4.499193e-05	4.499193e-05
9.000000e+00	9.100000e+00	1.238537e-02	4.437489e-05	4.437489e-05
9.100000e+00	9.200000e+00	1.217475e-02	4.399408e-05	4.399408e-05
9.200000e+00	9.300000e+00	1.186358e-02	4.342893e-05	4.342893e-05
9.300000e+00	9.400000e+00	1.173190e-02	4.318742e-05	4.318742e-05
9.400000e+00	9.500000e+00	1.151756e-02	4.278918e-05	4.278918e-05
9.500000e+00	9.600000e+00	1.105531e-02	4.192054e-05	4.192054e-05
9.600000e+00	9.700000e+00	1.090736e-02	4.163852e-05	4.163852e-05
9.700000e+00	9.800000e+00	1.075002e-02	4.133667e-05	4.133667e-05
9.800000e+00	9.900000e+00	1.055061e-02	4.094997e-05	4.094997e-05
9.900000e+00	1.000000e+01	1.033970e-02	4.053697e-05	4.053697e-05
1.000000e+01	1.010000e+01	1.006300e-02	3.998994e-05	3.998994e-05
1.010000e+01	1.020000e+01	9.885606e-03	3.963694e-05	3.963694e-05
1.020000e+01	1.030000e+01	9.726886e-03	3.931621e-05	3.931621e-05
1.030000e+01	1.040000e+01	9.538549e-03	3.893139e-05	3.893139e-05
1.040000e+01	1.050000e+01	9.373617e-03	3.859447e-05	3.859447e-05
1.050000e+01	1.060000e+01	9.145722e-03	3.811832e-05	3.811832e-05
1.060000e+01	1.070000e+01	9.005083e-03	3.782374e-05	3.782374e-05
1.070000e+01	1.080000e+01	8.839313e-03	3.747352e-05	3.747352e-05
1.080000e+01	1.090000e+01	8.708283e-03	3.719372e-05	3.719372e-05
1.090000e+01	1.100000e+01	8.532624e-03	3.681774e-05	3.681774e-05
1.100000e+01	1.110000e+01	8.338988e-03	3.639566e-05	3.639566e-05
1.110000e+01	1.120000e+01	8.178533e-03	3.604084e-05	3.604084e-05
1.120000e+01	1.130000e+01	8.093147e-03	3.585263e-05	3.585263e-05
1.130000e+01	1.140000e+01	7.919792e-03	3.546433e-05	3.546433e-05
1.140000e+01	1.150000e+01	7.802005e-03	3.519966e-05	3.519966e-05
1.150000e+01	1.160000e+01	7.704108e-03	3.497678e-05	3.497678e-05
1.160000e+01	1.170000e+01	7.553258e-03	3.463055e-05	3.463055e-05
1.170000e+01	1.180000e+01	7.431871e-03	3.435023e-05	3.435023e-05
1.180000e+01	1.190000e+01	7.326928e-03	3.410463e-05	3.410463e-05
1.190000e+01	1.200000e+01	7.239754e-03	3.390153e-05	3.390153e-05
1.200000e+01	1.210000e+01	7.144449e-03	3.367683e-05	3.367683e-05
1.210000e+01	1.220000e+01	6.943185e-03	3.319756e-05	3.319756e-05
1.220000e+01	1.230000e+01	6.840477e-03	3.294841e-05	3.294841e-05
1.230000e+01	1.240000e+01	6.740010e-03	3.270584e-05	3.270584e-05
1.240000e+01	1.250000e+01	6.671299e-03	3.253604e-05	3.253604e-05
1.250000e+01	1.260000e+01	6.586784e-03	3.233169e-05	3.233169e-05
1.260000e+01	1.270000e+01	6.472643e-03	3.204608e-05	3.204608e-05
1.270000e+01	1.280000e+01	6.343551e-03	3.172326e-05	3.172326e-05
1.280000e+01	1.290000e+01	6.254329e-03	3.149957e-05	3.149957e-05
1.290000e+01	1.300000e+01	6.189103e-03	3.133413e-05	3.133413e-05
1.300000e+01	1.310000e+01	6.104509e-03	3.111872e-05	3.111872e-05
1.310000e+01	1.320000e+01	6.017525e-03	3.089244e-05	3.089244e-05
1.320000e+01	1.330000e+01	5.890159e-03	3.056082e-05	3.056082e-05
1.330000e+01	1.340000e+01	5.891447e-03	3.056376e-05	3.056376e-05
1.340000e+01	1.350000e+01	5.761188e-03	3.022339e-05	3.022339e-05
1.350000e+01	1.360000e+01	5.696644e-03	3.005140e-05	3.005140e-05
1.360000e+01	1.370000e+01	5.661442e-03	2.995882e-05	2.995882e-05
1.370000e+01	1.380000e+01	5.520225e-03	2.958222e-05	2.958222e-05
1.380000e+01	1.390000e+01	5.490481e-03	2.949993e-05	2.949993e-05
1.390000e+01	1.400000e+01	5.399239e-03	2.925359e-05	2.925359e-05
1.400000e+01	1.410000e+01	5.280746e-03	2.892741e-05	2.892741e-05
1.410000e+01	1.420000e+01	5.280674e-03	2.892613e-05	2.892613e-05
1.420000e+01	1.430000e+01	5.274459e-03	2.890682e-05	2.890682e-05
