# BEGIN PLOT
Legend=1
LogY=0
Title=Rapidity $+/-$ ratio of charged particles
XLabel=$|y|$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y_+ \; / \; \mathrm{d}\sigma/\mathrm{d}y_-$
LegendYPos=0.5
DrawOnly=//mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/RapidityChPMRatio
LegendOnly=//mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/RapidityChPMRatio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/RapidityChPMRatio
ErrorBreakdown={0: {"": {up: 0.00053944540616183772, dn: 0.00053944540616183772}}, 1: {"": {up: 0.00056382528941772416, dn: 0.00056382528941772416}}, 2: {"": {up: 0.00061470829323878248, dn: 0.00061470829323878248}}, 3: {"": {up: 0.00069574634798266939, dn: 0.00069574634798266939}}, 4: {"": {up: 0.00081150554774825487, dn: 0.00081150554774825487}}, 5: {"": {up: 0.00097077252582883399, dn: 0.00097077252582883399}}, 6: {"": {up: 0.001186616107837246, dn: 0.001186616107837246}}, 7: {"": {up: 0.0014711940909584197, dn: 0.0014711940909584197}}, 8: {"": {up: 0.0018533939794625298, dn: 0.0018533939794625298}}, 9: {"": {up: 0.002355518929874427, dn: 0.002355518929874427}}, 10: {"": {up: 0.0030247174040995296, dn: 0.0030247174040995296}}, 11: {"": {up: 0.0038608028887985495, dn: 0.0038608028887985495}}, 12: {"": {up: 0.0050036697621522689, dn: 0.0050036697621522689}}, 13: {"": {up: 0.0066126289739505007, dn: 0.0066126289739505007}}, 14: {"": {up: 0.0085878983551138949, dn: 0.0085878983551138949}}, 15: {"": {up: 0.011028853433598065, dn: 0.011028853433598065}}, 16: {"": {up: 0.014012641457427944, dn: 0.014012641457427944}}, 17: {"": {up: 0.018121073726359842, dn: 0.018121073726359842}}, 18: {"": {up: 0.024096453542352549, dn: 0.024096453542352549}}, 19: {"": {up: 0.031145637801144675, dn: 0.031145637801144675}}, 20: {"": {up: 0.036138701375964262, dn: 0.036138701375964262}}, 21: {"": {up: 0.048893350540432298, dn: 0.048893350540432298}}, 22: {"": {up: 0.05731066152229003, dn: 0.05731066152229003}}, 23: {"": {up: 0.078920627468609464, dn: 0.078920627468609464}}, 24: {"": {up: 0.079818874007726553, dn: 0.079818874007726553}}}
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/higgsstrahlung/Analysis.yoda/MC_FSPARTICLES/RapidityChPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.987358e-01	5.394454e-04	5.394454e-04
2.000000e-01	4.000000e-01	9.989045e-01	5.638253e-04	5.638253e-04
4.000000e-01	6.000000e-01	9.997454e-01	6.147083e-04	6.147083e-04
6.000000e-01	8.000000e-01	1.001049e+00	6.957463e-04	6.957463e-04
8.000000e-01	1.000000e+00	1.001086e+00	8.115055e-04	8.115055e-04
1.000000e+00	1.200000e+00	1.000187e+00	9.707725e-04	9.707725e-04
1.200000e+00	1.400000e+00	1.000299e+00	1.186616e-03	1.186616e-03
1.400000e+00	1.600000e+00	9.979536e-01	1.471194e-03	1.471194e-03
1.600000e+00	1.800000e+00	9.994671e-01	1.853394e-03	1.853394e-03
1.800000e+00	2.000000e+00	9.997470e-01	2.355519e-03	2.355519e-03
2.000000e+00	2.200000e+00	1.002169e+00	3.024717e-03	3.024717e-03
2.200000e+00	2.400000e+00	9.909846e-01	3.860803e-03	3.860803e-03
2.400000e+00	2.600000e+00	9.952136e-01	5.003670e-03	5.003670e-03
2.600000e+00	2.800000e+00	1.008731e+00	6.612629e-03	6.612629e-03
2.800000e+00	3.000000e+00	1.008020e+00	8.587898e-03	8.587898e-03
3.000000e+00	3.200000e+00	9.925125e-01	1.102885e-02	1.102885e-02
3.200000e+00	3.400000e+00	9.733998e-01	1.401264e-02	1.401264e-02
3.400000e+00	3.600000e+00	9.834628e-01	1.812107e-02	1.812107e-02
3.600000e+00	3.800000e+00	1.008440e+00	2.409645e-02	2.409645e-02
3.800000e+00	4.000000e+00	1.024919e+00	3.114564e-02	3.114564e-02
4.000000e+00	4.200000e+00	9.574094e-01	3.613870e-02	3.613870e-02
4.200000e+00	4.400000e+00	1.022681e+00	4.889335e-02	4.889335e-02
4.400000e+00	4.600000e+00	9.588347e-01	5.731066e-02	5.731066e-02
4.600000e+00	4.800000e+00	1.024347e+00	7.892063e-02	7.892063e-02
4.800000e+00	5.000000e+00	7.725920e-01	7.981887e-02	7.981887e-02
# END HISTO1D

