# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlung/Analysis.yoda/MyAnalysis/EtaPMRatio
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlung/Analysis.yoda/MyAnalysis/EtaPMRatio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlung/Analysis.yoda/MyAnalysis/EtaPMRatio
ErrorBreakdown={0: {"": {up: 0.002690982148518894, dn: 0.002690982148518894}}, 1: {"": {up: 0.0028085464931107179, dn: 0.0028085464931107179}}, 2: {"": {up: 0.0030005060651942042, dn: 0.0030005060651942042}}, 3: {"": {up: 0.0033167446856106619, dn: 0.0033167446856106619}}, 4: {"": {up: 0.0038097086843932055, dn: 0.0038097086843932055}}, 5: {"": {up: 0.0044259405074645736, dn: 0.0044259405074645736}}, 6: {"": {up: 0.0052742581437593477, dn: 0.0052742581437593477}}, 7: {"": {up: 0.0061895397976855877, dn: 0.0061895397976855877}}, 8: {"": {up: 0.0074382175828808152, dn: 0.0074382175828808152}}, 9: {"": {up: 0.0090671757594242581, dn: 0.0090671757594242581}}, 10: {"": {up: 0.010918631353224854, dn: 0.010918631353224854}}, 11: {"": {up: 0.013215285123885831, dn: 0.013215285123885831}}, 12: {"": {up: 0.016581922090488477, dn: 0.016581922090488477}}, 13: {"": {up: 0.020129018374908009, dn: 0.020129018374908009}}, 14: {"": {up: 0.02427019351794997, dn: 0.02427019351794997}}, 15: {"": {up: 0.028490390904247022, dn: 0.028490390904247022}}, 16: {"": {up: 0.036746910706873193, dn: 0.036746910706873193}}, 17: {"": {up: 0.045166970723624647, dn: 0.045166970723624647}}, 18: {"": {up: 0.058764054702729974, dn: 0.058764054702729974}}, 19: {"": {up: 0.057786464753063864, dn: 0.057786464753063864}}, 20: {"": {up: 0.071071661327550203, dn: 0.071071661327550203}}, 21: {"": {up: 0.11044542530634084, dn: 0.11044542530634084}}, 22: {"": {up: 0.1329003425268746, dn: 0.1329003425268746}}, 23: {"": {up: 0.16381570630749087, dn: 0.16381570630749087}}, 24: {"": {up: 0.18315153441467802, dn: 0.18315153441467802}}}
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlung/Analysis.yoda/MyAnalysis/EtaPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.000283e+00	2.690982e-03	2.690982e-03
2.000000e-01	4.000000e-01	1.003103e+00	2.808546e-03	2.808546e-03
4.000000e-01	6.000000e-01	9.968237e-01	3.000506e-03	3.000506e-03
6.000000e-01	8.000000e-01	9.932231e-01	3.316745e-03	3.316745e-03
8.000000e-01	1.000000e+00	9.973306e-01	3.809709e-03	3.809709e-03
1.000000e+00	1.200000e+00	9.996275e-01	4.425941e-03	4.425941e-03
1.200000e+00	1.400000e+00	1.006807e+00	5.274258e-03	5.274258e-03
1.400000e+00	1.600000e+00	9.908573e-01	6.189540e-03	6.189540e-03
1.600000e+00	1.800000e+00	9.926731e-01	7.438218e-03	7.438218e-03
1.800000e+00	2.000000e+00	9.982749e-01	9.067176e-03	9.067176e-03
2.000000e+00	2.200000e+00	9.938396e-01	1.091863e-02	1.091863e-02
2.200000e+00	2.400000e+00	9.923648e-01	1.321529e-02	1.321529e-02
2.400000e+00	2.600000e+00	1.022883e+00	1.658192e-02	1.658192e-02
2.600000e+00	2.800000e+00	1.016636e+00	2.012902e-02	2.012902e-02
2.800000e+00	3.000000e+00	1.001155e+00	2.427019e-02	2.427019e-02
3.000000e+00	3.200000e+00	9.660427e-01	2.849039e-02	2.849039e-02
3.200000e+00	3.400000e+00	1.029065e+00	3.674691e-02	3.674691e-02
3.400000e+00	3.600000e+00	1.046947e+00	4.516697e-02	4.516697e-02
3.600000e+00	3.800000e+00	1.088467e+00	5.876405e-02	5.876405e-02
3.800000e+00	4.000000e+00	9.085858e-01	5.778646e-02	5.778646e-02
4.000000e+00	4.200000e+00	9.147343e-01	7.107166e-02	7.107166e-02
4.200000e+00	4.400000e+00	1.108212e+00	1.104454e-01	1.104454e-01
4.400000e+00	4.600000e+00	1.120875e+00	1.329003e-01	1.329003e-01
4.600000e+00	4.800000e+00	1.073592e+00	1.638157e-01	1.638157e-01
4.800000e+00	5.000000e+00	1.077440e+00	1.831515e-01	1.831515e-01
# END HISTO1D

