# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlung/Analysis.yoda/MyAnalysis/Pt
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlung/Analysis.yoda/MyAnalysis/Pt
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlung/Analysis.yoda/MyAnalysis/Pt
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlung/Analysis.yoda/MyAnalysis/Pt
ScaledBy=4.07776170622790399e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	7.879160e-01	7.486687e-04	7.486687e-04
5.000000e-01	1.000000e+00	3.430452e-01	4.942275e-04	4.942275e-04
1.000000e+00	1.500000e+00	1.878808e-01	3.658155e-04	3.658155e-04
1.500000e+00	2.000000e+00	1.200632e-01	2.924745e-04	2.924745e-04
2.000000e+00	2.500000e+00	8.286900e-02	2.430233e-04	2.430233e-04
2.500000e+00	3.000000e+00	6.078400e-02	2.081744e-04	2.081744e-04
3.000000e+00	3.500000e+00	4.690612e-02	1.828868e-04	1.828868e-04
3.500000e+00	4.000000e+00	3.607048e-02	1.603951e-04	1.603951e-04
4.000000e+00	4.500000e+00	2.945438e-02	1.449542e-04	1.449542e-04
4.500000e+00	5.000000e+00	2.410038e-02	1.311249e-04	1.311249e-04
5.000000e+00	5.500000e+00	1.999665e-02	1.194462e-04	1.194462e-04
5.500000e+00	6.000000e+00	1.690109e-02	1.098108e-04	1.098108e-04
6.000000e+00	6.500000e+00	1.435965e-02	1.012193e-04	1.012193e-04
6.500000e+00	7.000000e+00	1.249346e-02	9.441710e-05	9.441710e-05
7.000000e+00	7.500000e+00	1.084474e-02	8.797784e-05	8.797784e-05
7.500000e+00	8.000000e+00	9.512116e-03	8.237038e-05	8.237038e-05
8.000000e+00	8.500000e+00	8.427066e-03	7.753709e-05	7.753709e-05
8.500000e+00	9.000000e+00	7.371998e-03	7.250335e-05	7.250335e-05
9.000000e+00	9.500000e+00	6.672720e-03	6.897797e-05	6.897797e-05
9.500000e+00	1.000000e+01	5.885766e-03	6.476857e-05	6.476857e-05
1.000000e+01	1.050000e+01	5.323758e-03	6.159463e-05	6.159463e-05
1.050000e+01	1.100000e+01	4.906782e-03	5.912856e-05	5.912856e-05
1.100000e+01	1.150000e+01	4.500262e-03	5.661437e-05	5.661437e-05
1.150000e+01	1.200000e+01	4.165840e-03	5.446649e-05	5.446649e-05
1.200000e+01	1.250000e+01	3.876516e-03	5.253477e-05	5.253477e-05
1.250000e+01	1.300000e+01	3.531482e-03	5.011607e-05	5.011607e-05
1.300000e+01	1.350000e+01	3.393498e-03	4.913648e-05	4.913648e-05
1.350000e+01	1.400000e+01	3.142644e-03	4.727007e-05	4.727007e-05
1.400000e+01	1.450000e+01	2.909862e-03	4.546846e-05	4.546846e-05
1.450000e+01	1.500000e+01	2.762528e-03	4.429426e-05	4.429426e-05
1.500000e+01	1.550000e+01	2.554646e-03	4.258390e-05	4.258390e-05
1.550000e+01	1.600000e+01	2.470754e-03	4.185983e-05	4.185983e-05
1.600000e+01	1.650000e+01	2.357246e-03	4.089621e-05	4.089621e-05
1.650000e+01	1.700000e+01	2.258004e-03	4.001933e-05	4.001933e-05
1.700000e+01	1.750000e+01	2.142562e-03	3.895236e-05	3.895236e-05
1.750000e+01	1.800000e+01	2.028928e-03	3.790179e-05	3.790179e-05
1.800000e+01	1.850000e+01	1.941232e-03	3.707176e-05	3.707176e-05
1.850000e+01	1.900000e+01	1.936287e-03	3.702322e-05	3.702322e-05
1.900000e+01	1.950000e+01	1.888744e-03	3.657561e-05	3.657561e-05
1.950000e+01	2.000000e+01	1.824309e-03	3.591683e-05	3.591683e-05
2.000000e+01	2.050000e+01	1.782773e-03	3.550631e-05	3.550631e-05
2.050000e+01	2.100000e+01	1.797409e-03	3.565091e-05	3.565091e-05
2.100000e+01	2.150000e+01	1.738022e-03	3.505448e-05	3.505448e-05
2.150000e+01	2.200000e+01	1.763040e-03	3.528908e-05	3.528908e-05
2.200000e+01	2.250000e+01	1.738067e-03	3.502616e-05	3.502616e-05
2.250000e+01	2.300000e+01	1.643844e-03	3.406567e-05	3.406567e-05
2.300000e+01	2.350000e+01	1.646019e-03	3.408103e-05	3.408103e-05
2.350000e+01	2.400000e+01	1.614371e-03	3.374014e-05	3.374014e-05
2.400000e+01	2.450000e+01	1.646190e-03	3.406652e-05	3.406652e-05
2.450000e+01	2.500000e+01	1.547067e-03	3.299370e-05	3.299370e-05
2.500000e+01	2.550000e+01	1.586330e-03	3.341939e-05	3.341939e-05
2.550000e+01	2.600000e+01	1.615728e-03	3.374063e-05	3.374063e-05
2.600000e+01	2.650000e+01	1.624972e-03	3.381749e-05	3.381749e-05
2.650000e+01	2.700000e+01	1.653528e-03	3.411286e-05	3.411286e-05
2.700000e+01	2.750000e+01	1.631177e-03	3.387841e-05	3.387841e-05
2.750000e+01	2.800000e+01	1.617354e-03	3.371915e-05	3.371915e-05
2.800000e+01	2.850000e+01	1.638000e-03	3.393946e-05	3.393946e-05
2.850000e+01	2.900000e+01	1.607785e-03	3.361243e-05	3.361243e-05
2.900000e+01	2.950000e+01	1.602445e-03	3.355874e-05	3.355874e-05
2.950000e+01	3.000000e+01	1.605831e-03	3.358216e-05	3.358216e-05
3.000000e+01	3.050000e+01	1.597922e-03	3.352007e-05	3.352007e-05
3.050000e+01	3.100000e+01	1.531486e-03	3.279166e-05	3.279166e-05
3.100000e+01	3.150000e+01	1.546320e-03	3.294825e-05	3.294825e-05
3.150000e+01	3.200000e+01	1.510715e-03	3.254830e-05	3.254830e-05
3.200000e+01	3.250000e+01	1.466657e-03	3.207054e-05	3.207054e-05
3.250000e+01	3.300000e+01	1.436172e-03	3.172415e-05	3.172415e-05
3.300000e+01	3.350000e+01	1.463543e-03	3.203837e-05	3.203837e-05
3.350000e+01	3.400000e+01	1.426799e-03	3.160292e-05	3.160292e-05
3.400000e+01	3.450000e+01	1.363308e-03	3.088672e-05	3.088672e-05
3.450000e+01	3.500000e+01	1.360343e-03	3.086946e-05	3.086946e-05
3.500000e+01	3.550000e+01	1.384276e-03	3.114315e-05	3.114315e-05
3.550000e+01	3.600000e+01	1.357601e-03	3.085228e-05	3.085228e-05
3.600000e+01	3.650000e+01	1.300090e-03	3.016186e-05	3.016186e-05
3.650000e+01	3.700000e+01	1.341084e-03	3.065194e-05	3.065194e-05
3.700000e+01	3.750000e+01	1.310747e-03	3.029758e-05	3.029758e-05
3.750000e+01	3.800000e+01	1.253114e-03	2.960257e-05	2.960257e-05
3.800000e+01	3.850000e+01	1.217112e-03	2.913956e-05	2.913956e-05
3.850000e+01	3.900000e+01	1.201317e-03	2.897911e-05	2.897911e-05
3.900000e+01	3.950000e+01	1.272127e-03	2.983596e-05	2.983596e-05
3.950000e+01	4.000000e+01	1.206732e-03	2.904985e-05	2.904985e-05
4.000000e+01	4.050000e+01	1.163861e-03	2.852276e-05	2.852276e-05
4.050000e+01	4.100000e+01	1.151722e-03	2.837790e-05	2.837790e-05
4.100000e+01	4.150000e+01	1.119085e-03	2.795828e-05	2.795828e-05
4.150000e+01	4.200000e+01	1.163219e-03	2.852248e-05	2.852248e-05
