# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlung/Analysis.yoda/MyAnalysis/RapidityCh
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlung/Analysis.yoda/MyAnalysis/RapidityCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlung/Analysis.yoda/MyAnalysis/RapidityCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlung/Analysis.yoda/MyAnalysis/RapidityCh
ScaledBy=9.16874869707889206e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.387693e-07	1.387693e-07	1.387693e-07
-4.800000e+00	-4.600000e+00	8.477220e-06	5.704991e-06	5.704991e-06
-4.600000e+00	-4.400000e+00	2.042982e-05	9.014511e-06	9.014511e-06
-4.400000e+00	-4.200000e+00	6.212210e-05	1.561729e-05	1.561729e-05
-4.200000e+00	-4.000000e+00	1.021491e-04	2.015706e-05	2.015706e-05
-4.000000e+00	-3.800000e+00	1.949883e-04	2.792762e-05	2.792762e-05
-3.800000e+00	-3.600000e+00	3.673205e-04	3.824458e-05	3.824458e-05
-3.600000e+00	-3.400000e+00	5.660620e-04	4.752689e-05	4.752689e-05
-3.400000e+00	-3.200000e+00	9.881435e-04	6.283824e-05	6.283824e-05
-3.200000e+00	-3.000000e+00	1.768507e-03	8.398110e-05	8.398110e-05
-3.000000e+00	-2.800000e+00	2.894524e-03	1.075620e-04	1.075620e-04
-2.800000e+00	-2.600000e+00	4.710275e-03	1.370614e-04	1.370614e-04
-2.600000e+00	-2.400000e+00	8.142245e-03	1.803658e-04	1.803658e-04
-2.400000e+00	-2.200000e+00	1.353062e-02	2.325135e-04	2.325135e-04
-2.200000e+00	-2.000000e+00	2.176583e-02	2.949034e-04	2.949034e-04
-2.000000e+00	-1.800000e+00	3.383344e-02	3.677761e-04	3.677761e-04
-1.800000e+00	-1.600000e+00	5.308795e-02	4.607039e-04	4.607039e-04
-1.600000e+00	-1.400000e+00	8.110885e-02	5.694616e-04	5.694616e-04
-1.400000e+00	-1.200000e+00	1.215266e-01	6.971110e-04	6.971110e-04
-1.200000e+00	-1.000000e+00	1.740902e-01	8.343072e-04	8.343072e-04
-1.000000e+00	-8.000000e-01	2.427561e-01	9.852460e-04	9.852460e-04
-8.000000e-01	-6.000000e-01	3.271303e-01	1.143780e-03	1.143780e-03
-6.000000e-01	-4.000000e-01	4.109051e-01	1.281871e-03	1.281871e-03
-4.000000e-01	-2.000000e-01	4.790023e-01	1.384078e-03	1.384078e-03
-2.000000e-01	0.000000e+00	5.217175e-01	1.444504e-03	1.444504e-03
0.000000e+00	2.000000e-01	5.213890e-01	1.444010e-03	1.444010e-03
2.000000e-01	4.000000e-01	4.788923e-01	1.383919e-03	1.383919e-03
4.000000e-01	6.000000e-01	4.102545e-01	1.280906e-03	1.280906e-03
6.000000e-01	8.000000e-01	3.259595e-01	1.141712e-03	1.141712e-03
8.000000e-01	1.000000e+00	2.429012e-01	9.855189e-04	9.855189e-04
1.000000e+00	1.200000e+00	1.766944e-01	8.405262e-04	8.405262e-04
1.200000e+00	1.400000e+00	1.206275e-01	6.944176e-04	6.944176e-04
1.400000e+00	1.600000e+00	8.048745e-02	5.672054e-04	5.672054e-04
1.600000e+00	1.800000e+00	5.275450e-02	4.592384e-04	4.592384e-04
1.800000e+00	2.000000e+00	3.431916e-02	3.703537e-04	3.703537e-04
2.000000e+00	2.200000e+00	2.145841e-02	2.928025e-04	2.928025e-04
2.200000e+00	2.400000e+00	1.340124e-02	2.314606e-04	2.314606e-04
2.400000e+00	2.600000e+00	8.425485e-03	1.834914e-04	1.834914e-04
2.600000e+00	2.800000e+00	4.943915e-03	1.405680e-04	1.405680e-04
2.800000e+00	3.000000e+00	3.053655e-03	1.104690e-04	1.104690e-04
3.000000e+00	3.200000e+00	1.764899e-03	8.397811e-05	8.397811e-05
3.200000e+00	3.400000e+00	1.058049e-03	6.499998e-05	6.499998e-05
3.400000e+00	3.600000e+00	5.424340e-04	4.649102e-05	4.649102e-05
3.600000e+00	3.800000e+00	3.905318e-04	3.949659e-05	3.949659e-05
3.800000e+00	4.000000e+00	1.556552e-04	2.485238e-05	2.485238e-05
4.000000e+00	4.200000e+00	1.099325e-04	2.094655e-05	2.094655e-05
4.200000e+00	4.400000e+00	4.530640e-05	1.337255e-05	1.337255e-05
4.400000e+00	4.600000e+00	4.516764e-05	1.337183e-05	1.337183e-05
4.600000e+00	4.800000e+00	8.615990e-06	5.706678e-06	5.706678e-06
4.800000e+00	5.000000e+00	4.585533e-06	4.040001e-06	4.040001e-06
# END HISTO1D

