# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlung/Analysis.yoda/MyAnalysis/RapidityChPMRatio
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlung/Analysis.yoda/MyAnalysis/RapidityChPMRatio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlung/Analysis.yoda/MyAnalysis/RapidityChPMRatio
ErrorBreakdown={0: {"": {up: 0.0039136991498844361, dn: 0.0039136991498844361}}, 1: {"": {up: 0.0040856673448113187, dn: 0.0040856673448113187}}, 2: {"": {up: 0.0044066675891575738, dn: 0.0044066675891575738}}, 3: {"": {up: 0.0049313461578264287, dn: 0.0049313461578264287}}, 4: {"": {up: 0.0057422148351121676, dn: 0.0057422148351121676}}, 5: {"": {up: 0.0068534548438258652, dn: 0.0068534548438258652}}, 6: {"": {up: 0.008066658714584559, dn: 0.008066658714584559}}, 7: {"": {up: 0.009871441454884217, dn: 0.009871441454884217}}, 8: {"": {up: 0.012214680098845493, dn: 0.012214680098845493}}, 9: {"": {up: 0.015537097736511633, dn: 0.015537097736511633}}, 10: {"": {up: 0.018957604957657779, dn: 0.018957604957657779}}, 11: {"": {up: 0.024131076152027801, dn: 0.024131076152027801}}, 12: {"": {up: 0.032144943000847234, dn: 0.032144943000847234}}, 13: {"": {up: 0.04270119708900811, dn: 0.04270119708900811}}, 14: {"": {up: 0.054712558393174168, dn: 0.054712558393174168}}, 15: {"": {up: 0.067087096896479778, dn: 0.067087096896479778}}, 16: {"": {up: 0.094675144009663606, dn: 0.094675144009663606}}, 17: {"": {up: 0.11497226016496279, dn: 0.11497226016496279}}, 18: {"": {up: 0.1543234460624624, dn: 0.1543234460624624}}, 19: {"": {up: 0.17122352045161368, dn: 0.17122352045161368}}, 20: {"": {up: 0.29520860955499989, dn: 0.29520860955499989}}, 21: {"": {up: 0.28276136423360382, dn: 0.28276136423360382}}, 22: {"": {up: 1.1747600393556088, dn: 1.1747600393556088}}, 23: {"": {up: 0.95969707589884212, dn: 0.95969707589884212}}, 24: {"": {up: 44.03971634934716, dn: 44.03971634934716}}}
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlung/Analysis.yoda/MyAnalysis/RapidityChPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.993702e-01	3.913699e-03	3.913699e-03
2.000000e-01	4.000000e-01	9.997702e-01	4.085667e-03	4.085667e-03
4.000000e-01	6.000000e-01	9.984165e-01	4.406668e-03	4.406668e-03
6.000000e-01	8.000000e-01	9.964211e-01	4.931346e-03	4.931346e-03
8.000000e-01	1.000000e+00	1.000598e+00	5.742215e-03	5.742215e-03
1.000000e+00	1.200000e+00	1.014959e+00	6.853455e-03	6.853455e-03
1.200000e+00	1.400000e+00	9.926015e-01	8.066659e-03	8.066659e-03
1.400000e+00	1.600000e+00	9.923386e-01	9.871441e-03	9.871441e-03
1.600000e+00	1.800000e+00	9.937195e-01	1.221468e-02	1.221468e-02
1.800000e+00	2.000000e+00	1.014356e+00	1.553710e-02	1.553710e-02
2.000000e+00	2.200000e+00	9.858758e-01	1.895760e-02	1.895760e-02
2.200000e+00	2.400000e+00	9.904381e-01	2.413108e-02	2.413108e-02
2.400000e+00	2.600000e+00	1.034787e+00	3.214494e-02	3.214494e-02
2.600000e+00	2.800000e+00	1.049602e+00	4.270120e-02	4.270120e-02
2.800000e+00	3.000000e+00	1.054976e+00	5.471256e-02	5.471256e-02
3.000000e+00	3.200000e+00	9.979599e-01	6.708710e-02	6.708710e-02
3.200000e+00	3.400000e+00	1.070744e+00	9.467514e-02	9.467514e-02
3.400000e+00	3.600000e+00	9.582596e-01	1.149723e-01	1.149723e-01
3.600000e+00	3.800000e+00	1.063191e+00	1.543234e-01	1.543234e-01
3.800000e+00	4.000000e+00	7.982794e-01	1.712235e-01	1.712235e-01
4.000000e+00	4.200000e+00	1.076196e+00	2.952086e-01	2.952086e-01
4.200000e+00	4.400000e+00	7.293125e-01	2.827614e-01	2.827614e-01
4.400000e+00	4.600000e+00	2.210868e+00	1.174760e+00	1.174760e+00
4.600000e+00	4.800000e+00	1.016370e+00	9.596971e-01	9.596971e-01
4.800000e+00	5.000000e+00	3.304430e+01	4.403972e+01	4.403972e+01
# END HISTO1D

