# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/ECh
LegendOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/ECh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/ECh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/ECh
ScaledBy=6.05030502359176103e-01
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.200000e+00	4.409347e-01	1.493082e-03	1.493082e-03
1.200000e+00	2.400000e+00	1.713979e-01	9.308919e-04	9.308919e-04
2.400000e+00	3.600000e+00	6.444675e-02	5.708172e-04	5.708172e-04
3.600000e+00	4.800000e+00	2.888905e-02	3.821758e-04	3.821758e-04
4.800000e+00	6.000000e+00	1.394400e-02	2.655156e-04	2.655156e-04
6.000000e+00	7.200000e+00	6.835491e-03	1.859008e-04	1.859008e-04
7.200000e+00	8.400000e+00	3.994111e-03	1.421041e-04	1.421041e-04
8.400000e+00	9.600000e+00	2.330741e-03	1.085534e-04	1.085534e-04
9.600000e+00	1.080000e+01	1.334741e-03	8.214762e-05	8.214762e-05
1.080000e+01	1.200000e+01	8.797158e-04	6.669107e-05	6.669107e-05
1.200000e+01	1.320000e+01	5.005278e-04	5.030494e-05	5.030494e-05
1.320000e+01	1.440000e+01	4.095227e-04	4.550253e-05	4.550253e-05
1.440000e+01	1.560000e+01	2.629035e-04	3.645816e-05	3.645816e-05
1.560000e+01	1.680000e+01	3.134618e-04	3.980969e-05	3.980969e-05
1.680000e+01	1.800000e+01	2.123452e-04	3.276557e-05	3.276557e-05
1.800000e+01	1.920000e+01	2.275127e-04	3.391558e-05	3.391558e-05
1.920000e+01	2.040000e+01	2.881827e-04	3.817073e-05	3.817073e-05
2.040000e+01	2.160000e+01	3.387411e-04	4.138381e-05	4.138381e-05
2.160000e+01	2.280000e+01	3.842436e-04	4.407576e-05	4.407576e-05
2.280000e+01	2.400000e+01	5.258070e-04	5.155962e-05	5.155962e-05
2.400000e+01	2.520000e+01	5.915329e-04	5.468724e-05	5.468724e-05
2.520000e+01	2.640000e+01	7.229847e-04	6.045901e-05	6.045901e-05
2.640000e+01	2.760000e+01	1.107228e-03	7.481955e-05	7.481955e-05
2.760000e+01	2.880000e+01	1.385299e-03	8.368899e-05	8.368899e-05
2.880000e+01	3.000000e+01	1.794822e-03	9.525926e-05	9.525926e-05
3.000000e+01	3.120000e+01	1.875715e-03	9.738230e-05	9.738230e-05
3.120000e+01	3.240000e+01	2.012223e-03	1.008636e-04	1.008636e-04
3.240000e+01	3.360000e+01	2.335797e-03	1.086711e-04	1.086711e-04
3.360000e+01	3.480000e+01	2.290294e-03	1.076074e-04	1.076074e-04
3.480000e+01	3.600000e+01	2.538030e-03	1.132778e-04	1.132778e-04
3.600000e+01	3.720000e+01	2.497583e-03	1.123716e-04	1.123716e-04
3.720000e+01	3.840000e+01	2.386355e-03	1.098409e-04	1.098409e-04
3.840000e+01	3.960000e+01	2.816101e-03	1.193220e-04	1.193220e-04
3.960000e+01	4.080000e+01	2.770598e-03	1.183541e-04	1.183541e-04
