# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaCh
LegendOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaCh
ScaledBy=6.05030502359176103e-01
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	6.067005e-05	4.290020e-05	4.290020e-05
-4.800000e+00	-4.600000e+00	1.516751e-04	6.783117e-05	6.783117e-05
-4.600000e+00	-4.400000e+00	2.426802e-04	8.580039e-05	8.580039e-05
-4.400000e+00	-4.200000e+00	4.853603e-04	1.213401e-04	1.213401e-04
-4.200000e+00	-4.000000e+00	4.550253e-04	1.174870e-04	1.174870e-04
-4.000000e+00	-3.800000e+00	7.887105e-04	1.546789e-04	1.546789e-04
-3.800000e+00	-3.600000e+00	8.190455e-04	1.576254e-04	1.576254e-04
-3.600000e+00	-3.400000e+00	2.002111e-03	2.464428e-04	2.464428e-04
-3.400000e+00	-3.200000e+00	2.790822e-03	2.909633e-04	2.909633e-04
-3.200000e+00	-3.000000e+00	4.459248e-03	3.677926e-04	3.677926e-04
-3.000000e+00	-2.800000e+00	5.824325e-03	4.203344e-04	4.203344e-04
-2.800000e+00	-2.600000e+00	1.004089e-02	5.518974e-04	5.518974e-04
-2.600000e+00	-2.400000e+00	1.207334e-02	6.051818e-04	6.051818e-04
-2.400000e+00	-2.200000e+00	2.062782e-02	7.910406e-04	7.910406e-04
-2.200000e+00	-2.000000e+00	2.857559e-02	9.310430e-04	9.310430e-04
-2.000000e+00	-1.800000e+00	4.389478e-02	1.153928e-03	1.153928e-03
-1.800000e+00	-1.600000e+00	6.321820e-02	1.384819e-03	1.384819e-03
-1.600000e+00	-1.400000e+00	9.215780e-02	1.672007e-03	1.672007e-03
-1.400000e+00	-1.200000e+00	1.318967e-01	2.000272e-03	2.000272e-03
-1.200000e+00	-1.000000e+00	1.840123e-01	2.362629e-03	2.362629e-03
-1.000000e+00	-8.000000e-01	2.504156e-01	2.756150e-03	2.756150e-03
-8.000000e-01	-6.000000e-01	3.179110e-01	3.105453e-03	3.105453e-03
-6.000000e-01	-4.000000e-01	4.000886e-01	3.483776e-03	3.483776e-03
-4.000000e-01	-2.000000e-01	4.599396e-01	3.735274e-03	3.735274e-03
-2.000000e-01	0.000000e+00	4.857850e-01	3.838789e-03	3.838789e-03
0.000000e+00	2.000000e-01	4.949765e-01	3.874935e-03	3.874935e-03
2.000000e-01	4.000000e-01	4.552680e-01	3.716257e-03	3.716257e-03
4.000000e-01	6.000000e-01	3.896230e-01	3.437910e-03	3.437910e-03
6.000000e-01	8.000000e-01	3.156359e-01	3.094321e-03	3.094321e-03
8.000000e-01	1.000000e+00	2.425285e-01	2.712399e-03	2.712399e-03
1.000000e+00	1.200000e+00	1.767925e-01	2.315816e-03	2.315816e-03
1.200000e+00	1.400000e+00	1.256780e-01	1.952548e-03	1.952548e-03
1.400000e+00	1.600000e+00	8.909395e-02	1.643979e-03	1.643979e-03
1.600000e+00	1.800000e+00	6.085205e-02	1.358657e-03	1.358657e-03
1.800000e+00	2.000000e+00	4.067926e-02	1.110858e-03	1.110858e-03
2.000000e+00	2.200000e+00	2.878793e-02	9.344959e-04	9.344959e-04
2.200000e+00	2.400000e+00	1.993011e-02	7.775476e-04	7.775476e-04
2.400000e+00	2.600000e+00	1.389344e-02	6.491978e-04	6.491978e-04
2.600000e+00	2.800000e+00	9.616200e-03	5.400998e-04	5.400998e-04
2.800000e+00	3.000000e+00	5.520975e-03	4.092418e-04	4.092418e-04
3.000000e+00	3.200000e+00	3.973887e-03	3.472002e-04	3.472002e-04
3.200000e+00	3.400000e+00	2.093117e-03	2.519816e-04	2.519816e-04
3.400000e+00	3.600000e+00	2.214456e-03	2.591825e-04	2.591825e-04
3.600000e+00	3.800000e+00	1.152731e-03	1.869976e-04	1.869976e-04
3.800000e+00	4.000000e+00	9.100505e-04	1.661517e-04	1.661517e-04
4.000000e+00	4.200000e+00	5.763655e-04	1.322273e-04	1.322273e-04
4.200000e+00	4.400000e+00	5.460305e-04	1.287006e-04	1.287006e-04
4.400000e+00	4.600000e+00	3.336852e-04	1.006099e-04	1.006099e-04
4.600000e+00	4.800000e+00	9.100505e-05	5.254179e-05	5.254179e-05
4.800000e+00	5.000000e+00	6.067005e-05	4.290020e-05	4.290020e-05
# END HISTO1D

