# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaChPMRatio
LegendOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaChPMRatio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaChPMRatio
ErrorBreakdown={0: {"": {up: 0.011333915992292777, dn: 0.011333915992292777}}, 1: {"": {up: 0.01139762403569914, dn: 0.01139762403569914}}, 2: {"": {up: 0.012072423310565546, dn: 0.012072423310565546}}, 3: {"": {up: 0.013740304526498614, dn: 0.013740304526498614}}, 4: {"": {up: 0.015197085270794008, dn: 0.015197085270794008}}, 5: {"": {up: 0.01762260592448197, dn: 0.01762260592448197}}, 6: {"": {up: 0.020687241480717988, dn: 0.020687241480717988}}, 7: {"": {up: 0.025017233021300319, dn: 0.025017233021300319}}, 8: {"": {up: 0.030107905650085667, dn: 0.030107905650085667}}, 9: {"": {up: 0.035128368261278652, dn: 0.035128368261278652}}, 10: {"": {up: 0.046334290417950993, dn: 0.046334290417950993}}, 11: {"": {up: 0.052854871261209656, dn: 0.052854871261209656}}, 12: {"": {up: 0.078857864715708881, dn: 0.078857864715708881}}, 13: {"": {up: 0.075261894006909122, dn: 0.075261894006909122}}, 14: {"": {up: 0.098066268878368779, dn: 0.098066268878368779}}, 15: {"": {up: 0.10707351099954371, dn: 0.10707351099954371}}, 16: {"": {up: 0.11944163573823863, dn: 0.11944163573823863}}, 17: {"": {up: 0.18786804969461135, dn: 0.18786804969461135}}, 18: {"": {up: 0.35424426694086164, dn: 0.35424426694086164}}, 19: {"": {up: 0.30916805864173091, dn: 0.30916805864173091}}, 20: {"": {up: 0.43750132274932313, dn: 0.43750132274932313}}, 21: {"": {up: 0.38654115240165576, dn: 0.38654115240165576}}, 22: {"": {up: 0.63890775938315225, dn: 0.63890775938315225}}, 23: {"": {up: 0.43817804600413285, dn: 0.43817804600413285}}, 24: {"": {up: 0.99999999999999989, dn: 0.99999999999999989}}}
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaChPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.018921e+00	1.133392e-02	1.133392e-02
2.000000e-01	4.000000e-01	9.898430e-01	1.139762e-02	1.139762e-02
4.000000e-01	6.000000e-01	9.738418e-01	1.207242e-02	1.207242e-02
6.000000e-01	8.000000e-01	9.928435e-01	1.374030e-02	1.374030e-02
8.000000e-01	1.000000e+00	9.685039e-01	1.519709e-02	1.519709e-02
1.000000e+00	1.200000e+00	9.607649e-01	1.762261e-02	1.762261e-02
1.200000e+00	1.400000e+00	9.528519e-01	2.068724e-02	2.068724e-02
1.400000e+00	1.600000e+00	9.667544e-01	2.501723e-02	2.501723e-02
1.600000e+00	1.800000e+00	9.625720e-01	3.010791e-02	3.010791e-02
1.800000e+00	2.000000e+00	9.267450e-01	3.512837e-02	3.512837e-02
2.000000e+00	2.200000e+00	1.007431e+00	4.633429e-02	4.633429e-02
2.200000e+00	2.400000e+00	9.661765e-01	5.285487e-02	5.285487e-02
2.400000e+00	2.600000e+00	1.150754e+00	7.885786e-02	7.885786e-02
2.600000e+00	2.800000e+00	9.577039e-01	7.526189e-02	7.526189e-02
2.800000e+00	3.000000e+00	9.479167e-01	9.806627e-02	9.806627e-02
3.000000e+00	3.200000e+00	8.911565e-01	1.070735e-01	1.070735e-01
3.200000e+00	3.400000e+00	7.500000e-01	1.194416e-01	1.194416e-01
3.400000e+00	3.600000e+00	1.106061e+00	1.878680e-01	1.878680e-01
3.600000e+00	3.800000e+00	1.407407e+00	3.542443e-01	3.542443e-01
3.800000e+00	4.000000e+00	1.153846e+00	3.091681e-01	3.091681e-01
4.000000e+00	4.200000e+00	1.266667e+00	4.375013e-01	4.375013e-01
4.200000e+00	4.400000e+00	1.125000e+00	3.865412e-01	3.865412e-01
4.400000e+00	4.600000e+00	1.375000e+00	6.389078e-01	6.389078e-01
4.600000e+00	4.800000e+00	6.000000e-01	4.381780e-01	4.381780e-01
4.800000e+00	5.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
# END HISTO1D

