# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaPMRatio
LegendOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaPMRatio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaPMRatio
ErrorBreakdown={0: {"": {up: 0.0074697088142752421, dn: 0.0074697088142752421}}, 1: {"": {up: 0.0076033513142903571, dn: 0.0076033513142903571}}, 2: {"": {up: 0.0081165057236977992, dn: 0.0081165057236977992}}, 3: {"": {up: 0.0091087774508777711, dn: 0.0091087774508777711}}, 4: {"": {up: 0.010227679571811112, dn: 0.010227679571811112}}, 5: {"": {up: 0.011899785540083108, dn: 0.011899785540083108}}, 6: {"": {up: 0.014164628083003073, dn: 0.014164628083003073}}, 7: {"": {up: 0.016304900116183265, dn: 0.016304900116183265}}, 8: {"": {up: 0.019842353160562202, dn: 0.019842353160562202}}, 9: {"": {up: 0.023879784884865425, dn: 0.023879784884865425}}, 10: {"": {up: 0.029795077168091114, dn: 0.029795077168091114}}, 11: {"": {up: 0.034802716671187943, dn: 0.034802716671187943}}, 12: {"": {up: 0.049784115076882476, dn: 0.049784115076882476}}, 13: {"": {up: 0.055334178572824806, dn: 0.055334178572824806}}, 14: {"": {up: 0.061903879542600217, dn: 0.061903879542600217}}, 15: {"": {up: 0.078977730918787667, dn: 0.078977730918787667}}, 16: {"": {up: 0.091084006808529641, dn: 0.091084006808529641}}, 17: {"": {up: 0.10729308318414983, dn: 0.10729308318414983}}, 18: {"": {up: 0.16705663727416953, dn: 0.16705663727416953}}, 19: {"": {up: 0.17716307326528608, dn: 0.17716307326528608}}, 20: {"": {up: 0.19072404509044311, dn: 0.19072404509044311}}, 21: {"": {up: 0.24525119397904704, dn: 0.24525119397904704}}, 22: {"": {up: 0.25610006674167579, dn: 0.25610006674167579}}, 23: {"": {up: 0.36514837167011077, dn: 0.36514837167011077}}, 24: {"": {up: 0.50460839234958188, dn: 0.50460839234958188}}}
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.009354e+00	7.469709e-03	7.469709e-03
2.000000e-01	4.000000e-01	9.918357e-01	7.603351e-03	7.603351e-03
4.000000e-01	6.000000e-01	9.829661e-01	8.116506e-03	8.116506e-03
6.000000e-01	8.000000e-01	9.900619e-01	9.108777e-03	9.108777e-03
8.000000e-01	1.000000e+00	9.770389e-01	1.022768e-02	1.022768e-02
1.000000e+00	1.200000e+00	9.733874e-01	1.189979e-02	1.189979e-02
1.200000e+00	1.400000e+00	9.817469e-01	1.416463e-02	1.416463e-02
1.400000e+00	1.600000e+00	9.525443e-01	1.630490e-02	1.630490e-02
1.600000e+00	1.800000e+00	9.595896e-01	1.984235e-02	1.984235e-02
1.800000e+00	2.000000e+00	9.567469e-01	2.387978e-02	2.387978e-02
2.000000e+00	2.200000e+00	9.779715e-01	2.979508e-02	2.979508e-02
2.200000e+00	2.400000e+00	9.460526e-01	3.480272e-02	3.480272e-02
2.400000e+00	2.600000e+00	1.100750e+00	4.978412e-02	4.978412e-02
2.600000e+00	2.800000e+00	1.032117e+00	5.533418e-02	5.533418e-02
2.800000e+00	3.000000e+00	9.146608e-01	6.190388e-02	6.190388e-02
3.000000e+00	3.200000e+00	9.840256e-01	7.897773e-02	7.897773e-02
3.200000e+00	3.400000e+00	8.666667e-01	9.108401e-02	9.108401e-02
3.400000e+00	3.600000e+00	9.503106e-01	1.072931e-01	1.072931e-01
3.600000e+00	3.800000e+00	1.127907e+00	1.670566e-01	1.670566e-01
3.800000e+00	4.000000e+00	1.044118e+00	1.771631e-01	1.771631e-01
4.000000e+00	4.200000e+00	8.333333e-01	1.907240e-01	1.907240e-01
4.200000e+00	4.400000e+00	9.333333e-01	2.452512e-01	2.452512e-01
4.400000e+00	4.600000e+00	8.260870e-01	2.561001e-01	2.561001e-01
4.600000e+00	4.800000e+00	1.000000e+00	3.651484e-01	3.651484e-01
4.800000e+00	5.000000e+00	8.333333e-01	5.046084e-01	5.046084e-01
# END HISTO1D

