# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaSumEt
LegendOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaSumEt
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaSumEt
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaSumEt
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	5.808697e+00	5.617947e-02	5.617947e-02
2.000000e-01	4.000000e-01	5.602617e+00	5.608460e-02	5.608460e-02
4.000000e-01	6.000000e-01	5.425452e+00	5.763759e-02	5.763759e-02
6.000000e-01	8.000000e-01	5.045462e+00	5.841092e-02	5.841092e-02
8.000000e-01	1.000000e+00	4.434474e+00	5.830528e-02	5.830528e-02
1.000000e+00	1.200000e+00	3.964992e+00	6.008432e-02	6.008432e-02
1.200000e+00	1.400000e+00	3.533138e+00	6.176590e-02	6.176590e-02
1.400000e+00	1.600000e+00	3.070843e+00	6.267144e-02	6.267144e-02
1.600000e+00	1.800000e+00	2.429611e+00	6.135128e-02	6.135128e-02
1.800000e+00	2.000000e+00	2.050131e+00	6.177320e-02	6.177320e-02
2.000000e+00	2.200000e+00	1.769647e+00	6.406755e-02	6.406755e-02
2.200000e+00	2.400000e+00	1.537597e+00	6.616892e-02	6.616892e-02
2.400000e+00	2.600000e+00	1.241084e+00	6.630489e-02	6.630489e-02
2.600000e+00	2.800000e+00	9.855098e-01	6.329212e-02	6.329212e-02
2.800000e+00	3.000000e+00	7.566577e-01	6.195598e-02	6.195598e-02
3.000000e+00	3.200000e+00	5.890980e-01	5.836711e-02	5.836711e-02
3.200000e+00	3.400000e+00	5.713528e-01	6.786322e-02	6.786322e-02
3.400000e+00	3.600000e+00	5.396695e-01	6.621399e-02	6.621399e-02
3.600000e+00	3.800000e+00	3.563234e-01	6.486154e-02	6.486154e-02
3.800000e+00	4.000000e+00	2.430145e-01	5.074938e-02	5.074938e-02
4.000000e+00	4.200000e+00	2.117311e-01	6.142412e-02	6.142412e-02
4.200000e+00	4.400000e+00	2.815414e-01	7.086491e-02	7.086491e-02
4.400000e+00	4.600000e+00	2.440474e-01	7.463961e-02	7.463961e-02
4.600000e+00	4.800000e+00	1.665642e-01	5.993616e-02	5.993616e-02
4.800000e+00	5.000000e+00	5.639397e-02	3.918828e-02	3.918828e-02
# END HISTO1D

