# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/Mult
LegendOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/Mult
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/Mult
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/Mult
ScaledBy=1.02734889854440290e+01
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	7.050000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.050000e-01	1.910000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.910000e+00	3.115000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.115000e+00	4.320000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.320000e+00	5.525000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.525000e+00	6.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.730000e+00	7.935000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.935000e+00	9.140000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.140000e+00	1.034500e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.034500e+01	1.155000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.155000e+01	1.275500e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.275500e+01	1.396000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.396000e+01	1.516500e+01	8.549245e-05	8.549249e-05	8.549249e-05
1.516500e+01	1.637000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.637000e+01	1.757500e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.757500e+01	1.878000e+01	8.549245e-05	8.549249e-05	8.549249e-05
1.878000e+01	1.998500e+01	1.709850e-04	1.209046e-04	1.209046e-04
1.998500e+01	2.119000e+01	1.538865e-03	3.627139e-04	3.627139e-04
2.119000e+01	2.239500e+01	1.282388e-03	3.311110e-04	3.311110e-04
2.239500e+01	2.360000e+01	2.735759e-03	4.836185e-04	4.836185e-04
2.360000e+01	2.480500e+01	5.557012e-03	6.892624e-04	6.892624e-04
2.480500e+01	2.601000e+01	1.915032e-02	1.279534e-03	1.279534e-03
2.601000e+01	2.721500e+01	1.453372e-02	1.114686e-03	1.114686e-03
2.721500e+01	2.842000e+01	1.872285e-02	1.265173e-03	1.265173e-03
2.842000e+01	2.962500e+01	2.291198e-02	1.399572e-03	1.399572e-03
2.962500e+01	3.083000e+01	2.906744e-02	1.576404e-03	1.576404e-03
3.083000e+01	3.203500e+01	7.249763e-02	2.489579e-03	2.489579e-03
3.203500e+01	3.324000e+01	4.009598e-02	1.851460e-03	1.851460e-03
3.324000e+01	3.444500e+01	4.163484e-02	1.886655e-03	1.886655e-03
3.444500e+01	3.565000e+01	4.599495e-02	1.982983e-03	1.982983e-03
3.565000e+01	3.685500e+01	4.573848e-02	1.977447e-03	1.977447e-03
3.685500e+01	3.806000e+01	8.916863e-02	2.761023e-03	2.761023e-03
3.806000e+01	3.926500e+01	4.043794e-02	1.859339e-03	1.859339e-03
3.926500e+01	4.047000e+01	4.129287e-02	1.878891e-03	1.878891e-03
4.047000e+01	4.167500e+01	3.727472e-02	1.785135e-03	1.785135e-03
4.167500e+01	4.288000e+01	3.513741e-02	1.733201e-03	1.733201e-03
4.288000e+01	4.408500e+01	6.300796e-02	2.320928e-03	2.320928e-03
4.408500e+01	4.529000e+01	2.821252e-02	1.553048e-03	1.553048e-03
4.529000e+01	4.649500e+01	2.171509e-02	1.362526e-03	1.362526e-03
4.649500e+01	4.770000e+01	1.803891e-02	1.241850e-03	1.241850e-03
4.770000e+01	4.890500e+01	1.658554e-02	1.190772e-03	1.190772e-03
4.890500e+01	5.011000e+01	2.547676e-02	1.475829e-03	1.475829e-03
5.011000e+01	5.131500e+01	9.404174e-03	8.966528e-04	8.966528e-04
5.131500e+01	5.252000e+01	8.036293e-03	8.288804e-04	8.288804e-04
5.252000e+01	5.372500e+01	6.924891e-03	7.694323e-04	7.694323e-04
5.372500e+01	5.493000e+01	5.129549e-03	6.622219e-04	6.622219e-04
5.493000e+01	5.613500e+01	8.292771e-03	8.420035e-04	8.420035e-04
5.613500e+01	5.734000e+01	2.222804e-03	4.359279e-04	4.359279e-04
5.734000e+01	5.854500e+01	1.795342e-03	3.917758e-04	3.917758e-04
5.854500e+01	5.975000e+01	2.137312e-03	4.274624e-04	4.274624e-04
5.975000e+01	6.095500e+01	1.709850e-03	3.823340e-04	3.823340e-04
6.095500e+01	6.216000e+01	1.966327e-03	4.100076e-04	4.100076e-04
6.216000e+01	6.336500e+01	1.282388e-03	3.311110e-04	3.311110e-04
6.336500e+01	6.457000e+01	7.694324e-04	2.564774e-04	2.564774e-04
6.457000e+01	6.577500e+01	1.709850e-04	1.209046e-04	1.209046e-04
6.577500e+01	6.698000e+01	7.694324e-04	2.564774e-04	2.564774e-04
6.698000e+01	6.818500e+01	4.274624e-04	1.911670e-04	1.911670e-04
6.818500e+01	6.939000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.939000e+01	7.059500e+01	1.709850e-04	1.209046e-04	1.209046e-04
7.059500e+01	7.180000e+01	8.549245e-05	8.549249e-05	8.549249e-05
7.180000e+01	7.300500e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.300500e+01	7.421000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.421000e+01	7.541500e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.541500e+01	7.662000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.662000e+01	7.782500e+01	8.549245e-05	8.549249e-05	8.549249e-05
7.782500e+01	7.903000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.903000e+01	8.023500e+01	1.709850e-04	1.209046e-04	1.209046e-04
8.023500e+01	8.144000e+01	8.549245e-05	8.549249e-05	8.549249e-05
8.144000e+01	8.264500e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.264500e+01	8.385000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.385000e+01	8.505500e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.505500e+01	8.626000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.626000e+01	8.746500e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.746500e+01	8.867000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.867000e+01	8.987500e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.987500e+01	9.108000e+01	8.549245e-05	8.549249e-05	8.549249e-05
9.108000e+01	9.228500e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.228500e+01	9.349000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.349000e+01	9.469500e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.469500e+01	9.590000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.590000e+01	9.710500e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.710500e+01	9.831000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.831000e+01	9.951500e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.951500e+01	1.007200e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.007200e+02	1.019250e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.019250e+02	1.031300e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.031300e+02	1.043350e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.043350e+02	1.055400e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.055400e+02	1.067450e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.067450e+02	1.079500e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.079500e+02	1.091550e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.091550e+02	1.103600e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.103600e+02	1.115650e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.115650e+02	1.127700e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.127700e+02	1.139750e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.139750e+02	1.151800e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.151800e+02	1.163850e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.163850e+02	1.175900e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.175900e+02	1.187950e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.187950e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

