# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/Phi
LegendOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/Phi
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/Phi
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/Phi
ScaledBy=2.67831073534203712e-01
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.627275e-01	1.864896e-03	1.864896e-03
1.256637e-01	2.513274e-01	1.574058e-01	1.834149e-03	1.834149e-03
2.513274e-01	3.769911e-01	1.604194e-01	1.851622e-03	1.851622e-03
3.769911e-01	5.026548e-01	1.588164e-01	1.842348e-03	1.842348e-03
5.026548e-01	6.283185e-01	1.599278e-01	1.848783e-03	1.848783e-03
6.283185e-01	7.539822e-01	1.565509e-01	1.829161e-03	1.829161e-03
7.539822e-01	8.796459e-01	1.584958e-01	1.840488e-03	1.840488e-03
8.796459e-01	1.005310e+00	1.597563e-01	1.847789e-03	1.847789e-03
1.005310e+00	1.130973e+00	1.591807e-01	1.844465e-03	1.844465e-03
1.130973e+00	1.256637e+00	1.587092e-01	1.841724e-03	1.841724e-03
1.256637e+00	1.382301e+00	1.583458e-01	1.839615e-03	1.839615e-03
1.382301e+00	1.507964e+00	1.555260e-01	1.823168e-03	1.823168e-03
1.507964e+00	1.633628e+00	1.570635e-01	1.832151e-03	1.832151e-03
1.633628e+00	1.759292e+00	1.590939e-01	1.843955e-03	1.843955e-03
1.759292e+00	1.884956e+00	1.603976e-01	1.851495e-03	1.851495e-03
1.884956e+00	2.010619e+00	1.533246e-01	1.810219e-03	1.810219e-03
2.010619e+00	2.136283e+00	1.556102e-01	1.823655e-03	1.823655e-03
2.136283e+00	2.261947e+00	1.573627e-01	1.833895e-03	1.833895e-03
2.261947e+00	2.387610e+00	1.605057e-01	1.852126e-03	1.852126e-03
2.387610e+00	2.513274e+00	1.601838e-01	1.850261e-03	1.850261e-03
2.513274e+00	2.638938e+00	1.574055e-01	1.834144e-03	1.834144e-03
2.638938e+00	2.764602e+00	1.594145e-01	1.845812e-03	1.845812e-03
2.764602e+00	2.890265e+00	1.626215e-01	1.864294e-03	1.864294e-03
2.890265e+00	3.015929e+00	1.625348e-01	1.863789e-03	1.863789e-03
3.015929e+00	3.141593e+00	1.602480e-01	1.850631e-03	1.850631e-03
3.141593e+00	3.267256e+00	1.634764e-01	1.869188e-03	1.869188e-03
3.267256e+00	3.392920e+00	1.598846e-01	1.848532e-03	1.848532e-03
3.392920e+00	3.518584e+00	1.614234e-01	1.857406e-03	1.857406e-03
3.518584e+00	3.644247e+00	1.615530e-01	1.858158e-03	1.858158e-03
3.644247e+00	3.769911e+00	1.572345e-01	1.833148e-03	1.833148e-03
3.769911e+00	3.895575e+00	1.584527e-01	1.840235e-03	1.840235e-03
3.895575e+00	4.021239e+00	1.602907e-01	1.850878e-03	1.850878e-03
4.021239e+00	4.146902e+00	1.559962e-01	1.825922e-03	1.825922e-03
4.146902e+00	4.272566e+00	1.582390e-01	1.838994e-03	1.838994e-03
4.272566e+00	4.398230e+00	1.569353e-01	1.831403e-03	1.831403e-03
4.398230e+00	4.523893e+00	1.561244e-01	1.826672e-03	1.826672e-03
4.523893e+00	4.649557e+00	1.601838e-01	1.850261e-03	1.850261e-03
4.649557e+00	4.775221e+00	1.580680e-01	1.838000e-03	1.838000e-03
4.775221e+00	4.900885e+00	1.599915e-01	1.849149e-03	1.849149e-03
4.900885e+00	5.026548e+00	1.582402e-01	1.839009e-03	1.839009e-03
5.026548e+00	5.152212e+00	1.590084e-01	1.843459e-03	1.843459e-03
5.152212e+00	5.277876e+00	1.613166e-01	1.856791e-03	1.856791e-03
5.277876e+00	5.403539e+00	1.587746e-01	1.842111e-03	1.842111e-03
5.403539e+00	5.529203e+00	1.570208e-01	1.831901e-03	1.831901e-03
5.529203e+00	5.654867e+00	1.578115e-01	1.836508e-03	1.836508e-03
5.654867e+00	5.780530e+00	1.616598e-01	1.858773e-03	1.858773e-03
5.780530e+00	5.906194e+00	1.620005e-01	1.860723e-03	1.860723e-03
5.906194e+00	6.031858e+00	1.608464e-01	1.854083e-03	1.854083e-03
6.031858e+00	6.157522e+00	1.576405e-01	1.835513e-03	1.835513e-03
6.157522e+00	6.283185e+00	1.639467e-01	1.871874e-03	1.871874e-03
# END HISTO1D

