# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/PhiCh
LegendOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/PhiCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/PhiCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/PhiCh
ScaledBy=6.05030502359176103e-01
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.644889e-01	2.818062e-03	2.818062e-03
1.256637e-01	2.513274e-01	1.580677e-01	2.762510e-03	2.762510e-03
2.513274e-01	3.769911e-01	1.607713e-01	2.786035e-03	2.786035e-03
3.769911e-01	5.026548e-01	1.603851e-01	2.782687e-03	2.782687e-03
5.026548e-01	6.283185e-01	1.653579e-01	2.825496e-03	2.825496e-03
6.283185e-01	7.539822e-01	1.566676e-01	2.750248e-03	2.750248e-03
7.539822e-01	8.796459e-01	1.601920e-01	2.781010e-03	2.781010e-03
8.796459e-01	1.005310e+00	1.585017e-01	2.766295e-03	2.766295e-03
1.005310e+00	1.130973e+00	1.593238e-01	2.773473e-03	2.773473e-03
1.130973e+00	1.256637e+00	1.596123e-01	2.775970e-03	2.775970e-03
1.256637e+00	1.382301e+00	1.585501e-01	2.766718e-03	2.766718e-03
1.382301e+00	1.507964e+00	1.549786e-01	2.735391e-03	2.735391e-03
1.507964e+00	1.633628e+00	1.544464e-01	2.730678e-03	2.730678e-03
1.633628e+00	1.759292e+00	1.591777e-01	2.772189e-03	2.772189e-03
1.759292e+00	1.884956e+00	1.612537e-01	2.790208e-03	2.790208e-03
1.884956e+00	2.010619e+00	1.473505e-01	2.667222e-03	2.667222e-03
2.010619e+00	2.136283e+00	1.543498e-01	2.729825e-03	2.729825e-03
2.136283e+00	2.261947e+00	1.545429e-01	2.731531e-03	2.731531e-03
2.261947e+00	2.387610e+00	1.632828e-01	2.807719e-03	2.807719e-03
2.387610e+00	2.513274e+00	1.588881e-01	2.769666e-03	2.769666e-03
2.513274e+00	2.638938e+00	1.560396e-01	2.744727e-03	2.744727e-03
2.638938e+00	2.764602e+00	1.540601e-01	2.727261e-03	2.727261e-03
2.764602e+00	2.890265e+00	1.636690e-01	2.811037e-03	2.811037e-03
2.890265e+00	3.015929e+00	1.634264e-01	2.808942e-03	2.808942e-03
3.015929e+00	3.141593e+00	1.596605e-01	2.776390e-03	2.776390e-03
3.141593e+00	3.267256e+00	1.659382e-01	2.830457e-03	2.830457e-03
3.267256e+00	3.392920e+00	1.624125e-01	2.800215e-03	2.800215e-03
3.392920e+00	3.518584e+00	1.633298e-01	2.808112e-03	2.808112e-03
3.518584e+00	3.644247e+00	1.616413e-01	2.793570e-03	2.793570e-03
3.644247e+00	3.769911e+00	1.582604e-01	2.764190e-03	2.764190e-03
3.769911e+00	3.895575e+00	1.565706e-01	2.749393e-03	2.749393e-03
3.895575e+00	4.021239e+00	1.599502e-01	2.778908e-03	2.778908e-03
4.021239e+00	4.146902e+00	1.555580e-01	2.740499e-03	2.740499e-03
4.146902e+00	4.272566e+00	1.569569e-01	2.752783e-03	2.752783e-03
4.272566e+00	4.398230e+00	1.585018e-01	2.766297e-03	2.766297e-03
4.398230e+00	4.523893e+00	1.563305e-01	2.747294e-03	2.747294e-03
4.523893e+00	4.649557e+00	1.597088e-01	2.776809e-03	2.776809e-03
4.649557e+00	4.775221e+00	1.565224e-01	2.748970e-03	2.748970e-03
4.775221e+00	4.900885e+00	1.604813e-01	2.783517e-03	2.783517e-03
4.900885e+00	5.026548e+00	1.605309e-01	2.783958e-03	2.783958e-03
5.026548e+00	5.152212e+00	1.587432e-01	2.768403e-03	2.768403e-03
5.152212e+00	5.277876e+00	1.597088e-01	2.776809e-03	2.776809e-03
5.277876e+00	5.403539e+00	1.562822e-01	2.746870e-03	2.746870e-03
5.403539e+00	5.529203e+00	1.571017e-01	2.754052e-03	2.754052e-03
5.529203e+00	5.654867e+00	1.597571e-01	2.777230e-03	2.777230e-03
5.654867e+00	5.780530e+00	1.607722e-01	2.786050e-03	2.786050e-03
5.780530e+00	5.906194e+00	1.600951e-01	2.780165e-03	2.780165e-03
5.906194e+00	6.031858e+00	1.594674e-01	2.774711e-03	2.774711e-03
6.031858e+00	6.157522e+00	1.627021e-01	2.802712e-03	2.802712e-03
6.157522e+00	6.283185e+00	1.633794e-01	2.808549e-03	2.808549e-03
# END HISTO1D

