# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/RapidityPMRatio
LegendOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/RapidityPMRatio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/RapidityPMRatio
ErrorBreakdown={0: {"": {up: 0.0073372138078609695, dn: 0.0073372138078609695}}, 1: {"": {up: 0.0074808342125517475, dn: 0.0074808342125517475}}, 2: {"": {up: 0.0080335458119953837, dn: 0.0080335458119953837}}, 3: {"": {up: 0.0089632064567172366, dn: 0.0089632064567172366}}, 4: {"": {up: 0.010202893744656083, dn: 0.010202893744656083}}, 5: {"": {up: 0.012004549876624556, dn: 0.012004549876624556}}, 6: {"": {up: 0.014641904506068891, dn: 0.014641904506068891}}, 7: {"": {up: 0.016871180551496275, dn: 0.016871180551496275}}, 8: {"": {up: 0.021140710593969832, dn: 0.021140710593969832}}, 9: {"": {up: 0.025609963406737525, dn: 0.025609963406737525}}, 10: {"": {up: 0.032000886689164433, dn: 0.032000886689164433}}, 11: {"": {up: 0.039247200795843436, dn: 0.039247200795843436}}, 12: {"": {up: 0.053244297515166565, dn: 0.053244297515166565}}, 13: {"": {up: 0.070362415860495825, dn: 0.070362415860495825}}, 14: {"": {up: 0.0780763926411394, dn: 0.0780763926411394}}, 15: {"": {up: 0.10437835671821345, dn: 0.10437835671821345}}, 16: {"": {up: 0.11901392765120326, dn: 0.11901392765120326}}, 17: {"": {up: 0.12181586957941906, dn: 0.12181586957941906}}, 18: {"": {up: 0.1689006962617792, dn: 0.1689006962617792}}, 19: {"": {up: 0.21081851067789195, dn: 0.21081851067789195}}, 20: {"": {up: 0.19916492328386212, dn: 0.19916492328386212}}, 21: {"": {up: 0.26411150312210313, dn: 0.26411150312210313}}, 22: {"": {up: 0.28641098093474004, dn: 0.28641098093474004}}, 23: {"": {up: 0.42640143271122088, dn: 0.42640143271122088}}, 24: {"": {up: 0.57282196186948009, dn: 0.57282196186948009}}}
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/RapidityPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.009788e+00	7.337214e-03	7.337214e-03
2.000000e-01	4.000000e-01	9.915261e-01	7.480834e-03	7.480834e-03
4.000000e-01	6.000000e-01	9.853523e-01	8.033546e-03	8.033546e-03
6.000000e-01	8.000000e-01	9.810681e-01	8.963206e-03	8.963206e-03
8.000000e-01	1.000000e+00	9.742938e-01	1.020289e-02	1.020289e-02
1.000000e+00	1.200000e+00	9.691134e-01	1.200455e-02	1.200455e-02
1.200000e+00	1.400000e+00	9.944877e-01	1.464190e-02	1.464190e-02
1.400000e+00	1.600000e+00	9.500691e-01	1.687118e-02	1.687118e-02
1.600000e+00	1.800000e+00	9.668625e-01	2.114071e-02	2.114071e-02
1.800000e+00	2.000000e+00	9.625000e-01	2.560996e-02	2.560996e-02
2.000000e+00	2.200000e+00	9.654614e-01	3.200089e-02	3.200089e-02
2.200000e+00	2.400000e+00	9.581281e-01	3.924720e-02	3.924720e-02
2.400000e+00	2.600000e+00	1.052493e+00	5.324430e-02	5.324430e-02
2.600000e+00	2.800000e+00	1.100642e+00	7.036242e-02	7.036242e-02
2.800000e+00	3.000000e+00	9.875776e-01	7.807639e-02	7.807639e-02
3.000000e+00	3.200000e+00	1.068966e+00	1.043784e-01	1.043784e-01
3.200000e+00	3.400000e+00	9.461538e-01	1.190139e-01	1.190139e-01
3.400000e+00	3.600000e+00	8.611111e-01	1.218159e-01	1.218159e-01
3.600000e+00	3.800000e+00	9.701493e-01	1.689007e-01	1.689007e-01
3.800000e+00	4.000000e+00	1.000000e+00	2.108185e-01	2.108185e-01
4.000000e+00	4.200000e+00	7.000000e-01	1.991649e-01	1.991649e-01
4.200000e+00	4.400000e+00	8.095238e-01	2.641115e-01	2.641115e-01
4.400000e+00	4.600000e+00	7.500000e-01	2.864110e-01	2.864110e-01
4.600000e+00	4.800000e+00	1.000000e+00	4.264014e-01	4.264014e-01
4.800000e+00	5.000000e+00	7.500000e-01	5.728220e-01	5.728220e-01
# END HISTO1D

