# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/E
LegendOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/E
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/E
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/E
ScaledBy=2.67847474916655566e-02
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.200000e+00	5.396577e-01	3.475449e-04	3.475449e-04
1.200000e+00	2.400000e+00	1.205621e-01	1.642696e-04	1.642696e-04
2.400000e+00	3.600000e+00	4.389625e-02	9.912093e-05	9.912093e-05
3.600000e+00	4.800000e+00	1.927916e-02	6.568946e-05	6.568946e-05
4.800000e+00	6.000000e+00	9.428958e-03	4.593922e-05	4.593922e-05
6.000000e+00	7.200000e+00	5.050550e-03	3.362180e-05	3.362180e-05
7.200000e+00	8.400000e+00	2.894917e-03	2.545480e-05	2.545480e-05
8.400000e+00	9.600000e+00	1.705078e-03	1.953547e-05	1.953547e-05
9.600000e+00	1.080000e+01	1.086209e-03	1.559224e-05	1.559224e-05
1.080000e+01	1.200000e+01	7.419708e-04	1.288680e-05	1.288680e-05
1.200000e+01	1.320000e+01	5.114339e-04	1.069908e-05	1.069908e-05
1.320000e+01	1.440000e+01	3.867649e-04	9.304117e-06	9.304117e-06
1.440000e+01	1.560000e+01	3.059651e-04	8.275373e-06	8.275373e-06
1.560000e+01	1.680000e+01	2.831352e-04	7.960651e-06	7.960651e-06
1.680000e+01	1.800000e+01	2.446378e-04	7.399688e-06	7.399688e-06
1.800000e+01	1.920000e+01	2.182268e-04	6.988849e-06	6.988849e-06
1.920000e+01	2.040000e+01	2.251653e-04	7.099084e-06	7.099084e-06
2.040000e+01	2.160000e+01	2.224793e-04	7.056616e-06	7.056616e-06
2.160000e+01	2.280000e+01	2.486666e-04	7.460370e-06	7.460370e-06
2.280000e+01	2.400000e+01	2.869402e-04	8.013963e-06	8.013963e-06
2.400000e+01	2.520000e+01	3.854220e-04	9.287951e-06	9.287951e-06
2.520000e+01	2.640000e+01	5.960388e-04	1.155018e-05	1.155018e-05
2.640000e+01	2.760000e+01	1.002276e-03	1.497771e-05	1.497771e-05
2.760000e+01	2.880000e+01	1.320328e-03	1.719066e-05	1.719066e-05
2.880000e+01	3.000000e+01	1.522215e-03	1.845821e-05	1.845821e-05
3.000000e+01	3.120000e+01	1.675086e-03	1.936289e-05	1.936289e-05
3.120000e+01	3.240000e+01	1.876303e-03	2.049288e-05	2.049288e-05
3.240000e+01	3.360000e+01	2.023353e-03	2.128078e-05	2.128078e-05
3.360000e+01	3.480000e+01	2.092963e-03	2.164374e-05	2.164374e-05
3.480000e+01	3.600000e+01	2.263515e-03	2.250833e-05	2.250833e-05
3.600000e+01	3.720000e+01	2.304027e-03	2.270886e-05	2.270886e-05
3.720000e+01	3.840000e+01	2.393332e-03	2.314478e-05	2.314478e-05
3.840000e+01	3.960000e+01	2.386617e-03	2.311229e-05	2.311229e-05
3.960000e+01	4.080000e+01	2.412580e-03	2.323767e-05	2.323767e-05
4.080000e+01	4.200000e+01	2.408775e-03	2.321934e-05	2.321934e-05
4.200000e+01	4.320000e+01	2.376545e-03	2.306347e-05	2.306347e-05
4.320000e+01	4.440000e+01	2.386617e-03	2.311229e-05	2.311229e-05
4.440000e+01	4.560000e+01	2.415042e-03	2.324952e-05	2.324952e-05
4.560000e+01	4.680000e+01	2.387736e-03	2.311771e-05	2.311771e-05
4.680000e+01	4.800000e+01	2.438544e-03	2.336237e-05	2.336237e-05
4.800000e+01	4.920000e+01	2.374754e-03	2.305478e-05	2.305478e-05
4.920000e+01	5.040000e+01	2.384155e-03	2.310037e-05	2.310037e-05
5.040000e+01	5.160000e+01	2.377440e-03	2.306782e-05	2.306782e-05
5.160000e+01	5.280000e+01	2.382364e-03	2.309169e-05	2.309169e-05
5.280000e+01	5.400000e+01	2.375426e-03	2.305804e-05	2.305804e-05
5.400000e+01	5.520000e+01	2.338272e-03	2.287700e-05	2.287700e-05
5.520000e+01	5.640000e+01	2.304027e-03	2.270886e-05	2.270886e-05
5.640000e+01	5.760000e+01	2.271125e-03	2.254614e-05	2.254614e-05
5.760000e+01	5.880000e+01	2.180029e-03	2.208934e-05	2.208934e-05
5.880000e+01	6.000000e+01	2.151156e-03	2.194258e-05	2.194258e-05
6.000000e+01	6.120000e+01	2.063417e-03	2.149044e-05	2.149044e-05
6.120000e+01	6.240000e+01	2.022011e-03	2.127372e-05	2.127372e-05
6.240000e+01	6.360000e+01	1.963145e-03	2.096177e-05	2.096177e-05
6.360000e+01	6.480000e+01	1.891970e-03	2.057827e-05	2.057827e-05
6.480000e+01	6.600000e+01	1.775582e-03	1.993527e-05	1.993527e-05
6.600000e+01	6.720000e+01	1.735518e-03	1.970907e-05	1.970907e-05
6.720000e+01	6.840000e+01	1.637932e-03	1.914695e-05	1.914695e-05
6.840000e+01	6.960000e+01	1.581304e-03	1.881306e-05	1.881306e-05
6.960000e+01	7.080000e+01	1.465364e-03	1.811025e-05	1.811025e-05
7.080000e+01	7.200000e+01	1.393293e-03	1.765928e-05	1.765928e-05
7.200000e+01	7.320000e+01	1.312270e-03	1.713812e-05	1.713812e-05
7.320000e+01	7.440000e+01	1.268625e-03	1.685071e-05	1.685071e-05
7.440000e+01	7.560000e+01	1.189392e-03	1.631602e-05	1.631602e-05
7.560000e+01	7.680000e+01	1.049279e-03	1.532488e-05	1.532488e-05
7.680000e+01	7.800000e+01	8.744733e-04	1.399023e-05	1.399023e-05
7.800000e+01	7.920000e+01	3.890032e-04	9.331000e-06	9.331000e-06
7.920000e+01	8.040000e+01	1.913681e-04	6.544650e-06	6.544650e-06
8.040000e+01	8.160000e+01	1.300408e-04	5.394999e-06	5.394999e-06
8.160000e+01	8.280000e+01	9.624358e-05	4.641278e-06	4.641278e-06
8.280000e+01	8.400000e+01	7.430900e-05	4.078236e-06	4.078236e-06
8.400000e+01	8.520000e+01	5.013619e-05	3.349865e-06	3.349865e-06
8.520000e+01	8.640000e+01	4.655503e-05	3.228011e-06	3.228011e-06
8.640000e+01	8.760000e+01	4.275006e-05	3.093286e-06	3.093286e-06
8.760000e+01	8.880000e+01	1.186258e-05	1.629451e-06	1.629451e-06
8.880000e+01	9.000000e+01	9.400533e-06	1.450534e-06	1.450534e-06
9.000000e+01	9.120000e+01	5.371735e-06	1.096501e-06	1.096501e-06
9.120000e+01	9.240000e+01	4.252623e-06	9.756187e-07	9.756187e-07
9.240000e+01	9.360000e+01	4.028801e-06	9.495975e-07	9.495975e-07
9.360000e+01	9.480000e+01	2.909690e-06	8.070027e-07	8.070027e-07
9.480000e+01	9.600000e+01	8.952892e-07	4.476445e-07	4.476445e-07
9.600000e+01	9.720000e+01	1.566756e-06	5.921781e-07	5.921781e-07
9.720000e+01	9.840000e+01	1.119112e-06	5.004819e-07	5.004819e-07
9.840000e+01	9.960000e+01	1.566756e-06	5.921781e-07	5.921781e-07
9.960000e+01	1.008000e+02	2.238222e-07	2.238223e-07	2.238223e-07
1.008000e+02	1.020000e+02	4.476446e-07	3.165325e-07	3.165325e-07
1.020000e+02	1.032000e+02	1.119112e-06	5.004819e-07	5.004819e-07
1.032000e+02	1.044000e+02	8.952892e-07	4.476445e-07	4.476445e-07
1.044000e+02	1.056000e+02	2.238223e-07	2.238223e-07	2.238223e-07
1.056000e+02	1.068000e+02	8.952892e-07	4.476445e-07	4.476445e-07
1.068000e+02	1.080000e+02	2.238222e-07	2.238223e-07	2.238223e-07
1.080000e+02	1.092000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.092000e+02	1.104000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.104000e+02	1.116000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.116000e+02	1.128000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.128000e+02	1.140000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+02	1.152000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.152000e+02	1.164000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.164000e+02	1.176000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.176000e+02	1.188000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.188000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

