# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaPMRatio
LegendOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaPMRatio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaPMRatio
ErrorBreakdown={0: {"": {up: 0.0023482108853142337, dn: 0.0023482108853142337}}, 1: {"": {up: 0.0024323300837748841, dn: 0.0024323300837748841}}, 2: {"": {up: 0.0026131511004020952, dn: 0.0026131511004020952}}, 3: {"": {up: 0.0029121537590653468, dn: 0.0029121537590653468}}, 4: {"": {up: 0.0032983150685232001, dn: 0.0032983150685232001}}, 5: {"": {up: 0.0038631484047056716, dn: 0.0038631484047056716}}, 6: {"": {up: 0.0045665057323934751, dn: 0.0045665057323934751}}, 7: {"": {up: 0.0053576739785785067, dn: 0.0053576739785785067}}, 8: {"": {up: 0.0064942138766340245, dn: 0.0064942138766340245}}, 9: {"": {up: 0.0078170387266569292, dn: 0.0078170387266569292}}, 10: {"": {up: 0.0094203671551332142, dn: 0.0094203671551332142}}, 11: {"": {up: 0.011697426736618834, dn: 0.011697426736618834}}, 12: {"": {up: 0.013980124577660773, dn: 0.013980124577660773}}, 13: {"": {up: 0.01696311713051718, dn: 0.01696311713051718}}, 14: {"": {up: 0.020366244693771428, dn: 0.020366244693771428}}, 15: {"": {up: 0.025459719128094766, dn: 0.025459719128094766}}, 16: {"": {up: 0.030667240295261869, dn: 0.030667240295261869}}, 17: {"": {up: 0.041162466918790358, dn: 0.041162466918790358}}, 18: {"": {up: 0.049299446635250294, dn: 0.049299446635250294}}, 19: {"": {up: 0.059219629696340474, dn: 0.059219629696340474}}, 20: {"": {up: 0.065407055527174879, dn: 0.065407055527174879}}, 21: {"": {up: 0.086190645635704347, dn: 0.086190645635704347}}, 22: {"": {up: 0.11144434157156247, dn: 0.11144434157156247}}, 23: {"": {up: 0.13604380266476543, dn: 0.13604380266476543}}, 24: {"": {up: 0.19064589906700313, dn: 0.19064589906700313}}}
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.002773e+00	2.348211e-03	2.348211e-03
2.000000e-01	4.000000e-01	1.000485e+00	2.432330e-03	2.432330e-03
4.000000e-01	6.000000e-01	9.996140e-01	2.613151e-03	2.613151e-03
6.000000e-01	8.000000e-01	1.001367e+00	2.912154e-03	2.912154e-03
8.000000e-01	1.000000e+00	9.960879e-01	3.298315e-03	3.298315e-03
1.000000e+00	1.200000e+00	1.003319e+00	3.863148e-03	3.863148e-03
1.200000e+00	1.400000e+00	1.004279e+00	4.566506e-03	4.566506e-03
1.400000e+00	1.600000e+00	9.890419e-01	5.357674e-03	5.357674e-03
1.600000e+00	1.800000e+00	9.971622e-01	6.494214e-03	6.494214e-03
1.800000e+00	2.000000e+00	9.941436e-01	7.817039e-03	7.817039e-03
2.000000e+00	2.200000e+00	9.906853e-01	9.420367e-03	9.420367e-03
2.200000e+00	2.400000e+00	1.002793e+00	1.169743e-02	1.169743e-02
2.400000e+00	2.600000e+00	9.974495e-01	1.398012e-02	1.398012e-02
2.600000e+00	2.800000e+00	9.933149e-01	1.696312e-02	1.696312e-02
2.800000e+00	3.000000e+00	9.725405e-01	2.036624e-02	2.036624e-02
3.000000e+00	3.200000e+00	9.833832e-01	2.545972e-02	2.545972e-02
3.200000e+00	3.400000e+00	9.875419e-01	3.066724e-02	3.066724e-02
3.400000e+00	3.600000e+00	1.080633e+00	4.116247e-02	4.116247e-02
3.600000e+00	3.800000e+00	1.075163e+00	4.929945e-02	4.929945e-02
3.800000e+00	4.000000e+00	1.017094e+00	5.921963e-02	5.921963e-02
4.000000e+00	4.200000e+00	9.440559e-01	6.540706e-02	6.540706e-02
4.200000e+00	4.400000e+00	1.021583e+00	8.619065e-02	8.619065e-02
4.400000e+00	4.600000e+00	1.072626e+00	1.114443e-01	1.114443e-01
4.600000e+00	4.800000e+00	1.018018e+00	1.360438e-01	1.360438e-01
4.800000e+00	5.000000e+00	1.256410e+00	1.906459e-01	1.906459e-01
# END HISTO1D

