# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaSumEt
LegendOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaSumEt
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaSumEt
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/EtaSumEt
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	5.809431e+00	1.777173e-02	1.777173e-02
2.000000e-01	4.000000e-01	5.663047e+00	1.788426e-02	1.788426e-02
4.000000e-01	6.000000e-01	5.406693e+00	1.814476e-02	1.814476e-02
6.000000e-01	8.000000e-01	5.017364e+00	1.848510e-02	1.848510e-02
8.000000e-01	1.000000e+00	4.532637e+00	1.875631e-02	1.875631e-02
1.000000e+00	1.200000e+00	3.997458e+00	1.902908e-02	1.902908e-02
1.200000e+00	1.400000e+00	3.467624e+00	1.929043e-02	1.929043e-02
1.400000e+00	1.600000e+00	2.941844e+00	1.938405e-02	1.938405e-02
1.600000e+00	1.800000e+00	2.438533e+00	1.938178e-02	1.938178e-02
1.800000e+00	2.000000e+00	2.059269e+00	1.955975e-02	1.955975e-02
2.000000e+00	2.200000e+00	1.675176e+00	1.942180e-02	1.942180e-02
2.200000e+00	2.400000e+00	1.424837e+00	1.995444e-02	1.995444e-02
2.400000e+00	2.600000e+00	1.165331e+00	1.968894e-02	1.968894e-02
2.600000e+00	2.800000e+00	9.389582e-01	1.932674e-02	1.932674e-02
2.800000e+00	3.000000e+00	7.765306e-01	1.968237e-02	1.968237e-02
3.000000e+00	3.200000e+00	6.399961e-01	1.996361e-02	1.996361e-02
3.200000e+00	3.400000e+00	5.379609e-01	1.971709e-02	1.971709e-02
3.400000e+00	3.600000e+00	4.314413e-01	1.953342e-02	1.953342e-02
3.600000e+00	3.800000e+00	3.541838e-01	1.939183e-02	1.939183e-02
3.800000e+00	4.000000e+00	2.987819e-01	2.044451e-02	2.044451e-02
4.000000e+00	4.200000e+00	2.184504e-01	1.865490e-02	1.865490e-02
4.200000e+00	4.400000e+00	2.255343e-01	2.156287e-02	2.156287e-02
4.400000e+00	4.600000e+00	1.848181e-01	2.072426e-02	2.072426e-02
4.600000e+00	4.800000e+00	1.113443e-01	1.798735e-02	1.798735e-02
4.800000e+00	5.000000e+00	1.267795e-01	2.089239e-02	2.089239e-02
# END HISTO1D

