# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/PhiCh
LegendOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/PhiCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/PhiCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/PhiCh
ScaledBy=6.04922602347898603e-02
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.609357e-01	8.813934e-04	8.813934e-04
1.256637e-01	2.513274e-01	1.595069e-01	8.774722e-04	8.774722e-04
2.513274e-01	3.769911e-01	1.594877e-01	8.774188e-04	8.774188e-04
3.769911e-01	5.026548e-01	1.594490e-01	8.773127e-04	8.773127e-04
5.026548e-01	6.283185e-01	1.604144e-01	8.799646e-04	8.799646e-04
6.283185e-01	7.539822e-01	1.607427e-01	8.808644e-04	8.808644e-04
7.539822e-01	8.796459e-01	1.591594e-01	8.765155e-04	8.765155e-04
8.796459e-01	1.005310e+00	1.581162e-01	8.736369e-04	8.736369e-04
1.005310e+00	1.130973e+00	1.599036e-01	8.785651e-04	8.785651e-04
1.130973e+00	1.256637e+00	1.584205e-01	8.744776e-04	8.744776e-04
1.256637e+00	1.382301e+00	1.605685e-01	8.803863e-04	8.803863e-04
1.382301e+00	1.507964e+00	1.593968e-01	8.771714e-04	8.771714e-04
1.507964e+00	1.633628e+00	1.583819e-01	8.743708e-04	8.743708e-04
1.633628e+00	1.759292e+00	1.582370e-01	8.739709e-04	8.739709e-04
1.759292e+00	1.884956e+00	1.590625e-01	8.762475e-04	8.762475e-04
1.884956e+00	2.010619e+00	1.578714e-01	8.729643e-04	8.729643e-04
2.010619e+00	2.136283e+00	1.587632e-01	8.754228e-04	8.754228e-04
2.136283e+00	2.261947e+00	1.579329e-01	8.731307e-04	8.731307e-04
2.261947e+00	2.387610e+00	1.604491e-01	8.800623e-04	8.800623e-04
2.387610e+00	2.513274e+00	1.589128e-01	8.758354e-04	8.758354e-04
2.513274e+00	2.638938e+00	1.586522e-01	8.751168e-04	8.751168e-04
2.638938e+00	2.764602e+00	1.580585e-01	8.734777e-04	8.734777e-04
2.764602e+00	2.890265e+00	1.589189e-01	8.758554e-04	8.758554e-04
2.890265e+00	3.015929e+00	1.603465e-01	8.797772e-04	8.797772e-04
3.015929e+00	3.141593e+00	1.596610e-01	8.778947e-04	8.778947e-04
3.141593e+00	3.267256e+00	1.600871e-01	8.790688e-04	8.790688e-04
3.267256e+00	3.392920e+00	1.609354e-01	8.813913e-04	8.813913e-04
3.392920e+00	3.518584e+00	1.593135e-01	8.769388e-04	8.769388e-04
3.518584e+00	3.644247e+00	1.575528e-01	8.720829e-04	8.720829e-04
3.644247e+00	3.769911e+00	1.579474e-01	8.731710e-04	8.731710e-04
3.769911e+00	3.895575e+00	1.579667e-01	8.732243e-04	8.732243e-04
3.895575e+00	4.021239e+00	1.580585e-01	8.734777e-04	8.734777e-04
4.021239e+00	4.146902e+00	1.573694e-01	8.715751e-04	8.715751e-04
4.146902e+00	4.272566e+00	1.582853e-01	8.741042e-04	8.741042e-04
4.272566e+00	4.398230e+00	1.577737e-01	8.726904e-04	8.726904e-04
4.398230e+00	4.523893e+00	1.586438e-01	8.750970e-04	8.750970e-04
4.523893e+00	4.649557e+00	1.593231e-01	8.769652e-04	8.769652e-04
4.649557e+00	4.775221e+00	1.593714e-01	8.770980e-04	8.770980e-04
4.775221e+00	4.900885e+00	1.621084e-01	8.845974e-04	8.845974e-04
4.900885e+00	5.026548e+00	1.600871e-01	8.790688e-04	8.790688e-04
5.026548e+00	5.152212e+00	1.605106e-01	8.802273e-04	8.802273e-04
5.152212e+00	5.277876e+00	1.598686e-01	8.784651e-04	8.784651e-04
5.277876e+00	5.403539e+00	1.585617e-01	8.748708e-04	8.748708e-04
5.403539e+00	5.529203e+00	1.583432e-01	8.742643e-04	8.742643e-04
5.529203e+00	5.654867e+00	1.581453e-01	8.737176e-04	8.737176e-04
5.654867e+00	5.780530e+00	1.583831e-01	8.743777e-04	8.743777e-04
5.780530e+00	5.906194e+00	1.595838e-01	8.776823e-04	8.776823e-04
5.906194e+00	6.031858e+00	1.588936e-01	8.757823e-04	8.757823e-04
6.031858e+00	6.157522e+00	1.584543e-01	8.745707e-04	8.745707e-04
6.157522e+00	6.283185e+00	1.608305e-01	8.811073e-04	8.811073e-04
# END HISTO1D

