# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/Rapidity
LegendOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/Rapidity
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/Rapidity
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/Rapidity
ScaledBy=2.67847474916655566e-02
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	6.714670e-05	9.495975e-06	9.495975e-06
-4.800000e+00	-4.600000e+00	8.729070e-05	1.082708e-05	1.082708e-05
-4.600000e+00	-4.400000e+00	1.624950e-04	1.477227e-05	1.477227e-05
-4.400000e+00	-4.200000e+00	2.417280e-04	1.801735e-05	1.801735e-05
-4.200000e+00	-4.000000e+00	3.478198e-04	2.161247e-05	2.161247e-05
-4.000000e+00	-3.800000e+00	5.089720e-04	2.614413e-05	2.614413e-05
-3.800000e+00	-3.600000e+00	7.748725e-04	3.225837e-05	3.225837e-05
-3.600000e+00	-3.400000e+00	1.168352e-03	3.961085e-05	3.961085e-05
-3.400000e+00	-3.200000e+00	1.893537e-03	5.042713e-05	5.042713e-05
-3.200000e+00	-3.000000e+00	2.818818e-03	6.152630e-05	6.152630e-05
-3.000000e+00	-2.800000e+00	4.457197e-03	7.736744e-05	7.736744e-05
-2.800000e+00	-2.600000e+00	6.826130e-03	9.574467e-05	9.574467e-05
-2.600000e+00	-2.400000e+00	1.063066e-02	1.194834e-04	1.194834e-04
-2.400000e+00	-2.200000e+00	1.595271e-02	1.463674e-04	1.463674e-04
-2.200000e+00	-2.000000e+00	2.492216e-02	1.829449e-04	1.829449e-04
-2.000000e+00	-1.800000e+00	3.794459e-02	2.257367e-04	2.257367e-04
-1.800000e+00	-1.600000e+00	5.712975e-02	2.769864e-04	2.769864e-04
-1.600000e+00	-1.400000e+00	8.577990e-02	3.394064e-04	3.394064e-04
-1.400000e+00	-1.200000e+00	1.241435e-01	4.083093e-04	4.083093e-04
-1.200000e+00	-1.000000e+00	1.767516e-01	4.872018e-04	4.872018e-04
-1.000000e+00	-8.000000e-01	2.456803e-01	5.743975e-04	5.743975e-04
-8.000000e-01	-6.000000e-01	3.222866e-01	6.578826e-04	6.578826e-04
-6.000000e-01	-4.000000e-01	4.028022e-01	7.354840e-04	7.354840e-04
-4.000000e-01	-2.000000e-01	4.692707e-01	7.938511e-04	7.938511e-04
-2.000000e-01	0.000000e+00	5.070635e-01	8.251986e-04	8.251986e-04
0.000000e+00	2.000000e-01	5.084845e-01	8.263539e-04	8.263539e-04
2.000000e-01	4.000000e-01	4.698038e-01	7.943019e-04	7.943019e-04
4.000000e-01	6.000000e-01	4.031057e-01	7.357610e-04	7.357610e-04
6.000000e-01	8.000000e-01	3.217884e-01	6.573739e-04	6.573739e-04
8.000000e-01	1.000000e+00	2.447255e-01	5.732800e-04	5.732800e-04
1.000000e+00	1.200000e+00	1.776151e-01	4.883905e-04	4.883905e-04
1.200000e+00	1.400000e+00	1.248405e-01	4.094538e-04	4.094538e-04
1.400000e+00	1.600000e+00	8.437920e-02	3.366239e-04	3.366239e-04
1.600000e+00	1.800000e+00	5.722240e-02	2.772109e-04	2.772109e-04
1.800000e+00	2.000000e+00	3.765049e-02	2.248602e-04	2.248602e-04
2.000000e+00	2.200000e+00	2.476504e-02	1.823672e-04	1.823672e-04
2.200000e+00	2.400000e+00	1.587751e-02	1.460220e-04	1.460220e-04
2.400000e+00	2.600000e+00	1.047085e-02	1.185819e-04	1.185819e-04
2.600000e+00	2.800000e+00	6.822105e-03	9.571642e-05	9.571642e-05
2.800000e+00	3.000000e+00	4.329618e-03	7.625215e-05	7.625215e-05
3.000000e+00	3.200000e+00	2.791959e-03	6.123247e-05	6.123247e-05
3.200000e+00	3.400000e+00	1.850563e-03	4.985161e-05	4.985161e-05
3.400000e+00	3.600000e+00	1.258329e-03	4.110781e-05	4.110781e-05
3.600000e+00	3.800000e+00	8.259040e-04	3.330367e-05	3.330367e-05
3.800000e+00	4.000000e+00	5.170295e-04	2.635026e-05	2.635026e-05
4.000000e+00	4.200000e+00	3.196182e-04	2.071777e-05	2.071777e-05
4.200000e+00	4.400000e+00	2.363563e-04	1.781603e-05	1.781603e-05
4.400000e+00	4.600000e+00	1.530945e-04	1.433861e-05	1.433861e-05
4.600000e+00	4.800000e+00	8.729070e-05	1.082708e-05	1.082708e-05
4.800000e+00	5.000000e+00	9.534830e-05	1.131576e-05	1.131576e-05
# END HISTO1D

