# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/RapidityCh
LegendOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/RapidityCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/RapidityCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/RapidityCh
ScaledBy=6.04922602347898603e-02
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	2.426369e-05	8.578509e-06	8.578509e-06
-4.800000e+00	-4.600000e+00	1.213184e-05	6.065921e-06	6.065921e-06
-4.600000e+00	-4.400000e+00	5.762625e-05	1.322037e-05	1.322037e-05
-4.400000e+00	-4.200000e+00	9.098885e-05	1.661221e-05	1.661221e-05
-4.200000e+00	-4.000000e+00	1.091866e-04	1.819777e-05	1.819777e-05
-4.000000e+00	-3.800000e+00	1.850106e-04	2.368818e-05	2.368818e-05
-3.800000e+00	-3.600000e+00	2.911643e-04	2.971683e-05	2.971683e-05
-3.600000e+00	-3.400000e+00	5.247025e-04	3.989237e-05	3.989237e-05
-3.400000e+00	-3.200000e+00	8.522620e-04	5.084169e-05	5.084169e-05
-3.200000e+00	-3.000000e+00	1.464920e-03	6.665617e-05	6.665617e-05
-3.000000e+00	-2.800000e+00	2.414237e-03	8.557037e-05	8.557037e-05
-2.800000e+00	-2.600000e+00	4.352299e-03	1.148928e-04	1.148928e-04
-2.600000e+00	-2.400000e+00	7.424690e-03	1.500626e-04	1.500626e-04
-2.400000e+00	-2.200000e+00	1.194684e-02	1.903530e-04	1.903530e-04
-2.200000e+00	-2.000000e+00	1.995991e-02	2.460440e-04	2.460440e-04
-2.000000e+00	-1.800000e+00	3.241932e-02	3.135706e-04	3.135706e-04
-1.800000e+00	-1.600000e+00	5.151790e-02	3.952869e-04	3.952869e-04
-1.600000e+00	-1.400000e+00	7.963040e-02	4.914426e-04	4.914426e-04
-1.400000e+00	-1.200000e+00	1.194502e-01	6.019032e-04	6.019032e-04
-1.200000e+00	-1.000000e+00	1.734187e-01	7.252393e-04	7.252393e-04
-1.000000e+00	-8.000000e-01	2.466556e-01	8.649259e-04	8.649259e-04
-8.000000e-01	-6.000000e-01	3.261009e-01	9.945107e-04	9.945107e-04
-6.000000e-01	-4.000000e-01	4.124494e-01	1.118456e-03	1.118456e-03
-4.000000e-01	-2.000000e-01	4.833296e-01	1.210752e-03	1.210752e-03
-2.000000e-01	0.000000e+00	5.243320e-01	1.261063e-03	1.261063e-03
0.000000e+00	2.000000e-01	5.272045e-01	1.264512e-03	1.264512e-03
2.000000e-01	4.000000e-01	4.859228e-01	1.213995e-03	1.213995e-03
4.000000e-01	6.000000e-01	4.140053e-01	1.120563e-03	1.120563e-03
6.000000e-01	8.000000e-01	3.259068e-01	9.942146e-04	9.942146e-04
8.000000e-01	1.000000e+00	2.446265e-01	8.613610e-04	8.613610e-04
1.000000e+00	1.200000e+00	1.730911e-01	7.245540e-04	7.245540e-04
1.200000e+00	1.400000e+00	1.198626e-01	6.029417e-04	6.029417e-04
1.400000e+00	1.600000e+00	7.750430e-02	4.848376e-04	4.848376e-04
1.600000e+00	1.800000e+00	5.046845e-02	3.912402e-04	3.912402e-04
1.800000e+00	2.000000e+00	3.205840e-02	3.118203e-04	3.118203e-04
2.000000e+00	2.200000e+00	2.011763e-02	2.470142e-04	2.470142e-04
2.200000e+00	2.400000e+00	1.201963e-02	1.909321e-04	1.909321e-04
2.400000e+00	2.600000e+00	7.263940e-03	1.484293e-04	1.484293e-04
2.600000e+00	2.800000e+00	4.379596e-03	1.152525e-04	1.152525e-04
2.800000e+00	3.000000e+00	2.550720e-03	8.795587e-05	8.795587e-05
3.000000e+00	3.200000e+00	1.552876e-03	6.862807e-05	6.862807e-05
3.200000e+00	3.400000e+00	9.432510e-04	5.348684e-05	5.348684e-05
3.400000e+00	3.600000e+00	5.610980e-04	4.125273e-05	4.125273e-05
3.600000e+00	3.800000e+00	3.427246e-04	3.224082e-05	3.224082e-05
3.800000e+00	4.000000e+00	1.971424e-04	2.445252e-05	2.445252e-05
4.000000e+00	4.200000e+00	1.395162e-04	2.057054e-05	2.057054e-05
4.200000e+00	4.400000e+00	7.582405e-05	1.516480e-05	1.516480e-05
4.400000e+00	4.600000e+00	7.279105e-05	1.485841e-05	1.485841e-05
4.600000e+00	4.800000e+00	3.032961e-05	9.591065e-06	9.591065e-06
4.800000e+00	5.000000e+00	2.729665e-05	9.098883e-06	9.098883e-06
# END HISTO1D

