# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/RapidityChPMRatio
LegendOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/RapidityChPMRatio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/RapidityChPMRatio
ErrorBreakdown={0: {"": {up: 0.0034152722108537177, dn: 0.0034152722108537177}}, 1: {"": {up: 0.0035568895358878364, dn: 0.0035568895358878364}}, 2: {"": {up: 0.0038458285431517401, dn: 0.0038458285431517401}}, 3: {"": {up: 0.0043110043215792886, dn: 0.0043110043215792886}}, 4: {"": {up: 0.0049284944293314266, dn: 0.0049284944293314266}}, 5: {"": {up: 0.0059058824540163795, dn: 0.0059058824540163795}}, 6: {"": {up: 0.0071446053403345913, dn: 0.0071446053403345913}}, 7: {"": {up: 0.0085529122468061911, dn: 0.0085529122468061911}}, 8: {"": {up: 0.010685075265490524, dn: 0.010685075265490524}}, 9: {"": {up: 0.01356448451189347, dn: 0.01356448451189347}}, 10: {"": {up: 0.017536152504065355, dn: 0.017536152504065355}}, 11: {"": {up: 0.022636098632654804, dn: 0.022636098632654804}}, 12: {"": {up: 0.028118546872305989, dn: 0.028118546872305989}}, 13: {"": {up: 0.037508230606143347, dn: 0.037508230606143347}}, 14: {"": {up: 0.052245962696217112, dn: 0.052245962696217112}}, 15: {"": {up: 0.067239708922832736, dn: 0.067239708922832736}}, 16: {"": {up: 0.091092279078122965, dn: 0.091092279078122965}}, 17: {"": {up: 0.11309885881012094, dn: 0.11309885881012094}}, 18: {"": {up: 0.1633824917609126, dn: 0.1633824917609126}}, 19: {"": {up: 0.18995345550915244, dn: 0.18995345550915244}}, 20: {"": {up: 0.28433615801452017, dn: 0.28433615801452017}}, 21: {"": {up: 0.22566773346211011, dn: 0.22566773346211011}}, 22: {"": {up: 0.38789077150613399, dn: 0.38789077150613399}}, 23: {"": {up: 1.479019945774904, dn: 1.479019945774904}}, 24: {"": {up: 0.546651740141747, dn: 0.546651740141747}}}
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/RapidityChPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.005478e+00	3.415272e-03	3.415272e-03
2.000000e-01	4.000000e-01	1.005365e+00	3.556890e-03	3.556890e-03
4.000000e-01	6.000000e-01	1.003772e+00	3.845829e-03	3.845829e-03
6.000000e-01	8.000000e-01	9.994048e-01	4.311004e-03	4.311004e-03
8.000000e-01	1.000000e+00	9.917737e-01	4.928494e-03	4.928494e-03
1.000000e+00	1.200000e+00	9.981112e-01	5.905882e-03	5.905882e-03
1.200000e+00	1.400000e+00	1.003453e+00	7.144605e-03	7.144605e-03
1.400000e+00	1.600000e+00	9.733003e-01	8.552912e-03	8.552912e-03
1.600000e+00	1.800000e+00	9.796303e-01	1.068508e-02	1.068508e-02
1.800000e+00	2.000000e+00	9.888671e-01	1.356448e-02	1.356448e-02
2.000000e+00	2.200000e+00	1.007902e+00	1.753615e-02	1.753615e-02
2.200000e+00	2.400000e+00	1.006093e+00	2.263610e-02	2.263610e-02
2.400000e+00	2.600000e+00	9.783497e-01	2.811855e-02	2.811855e-02
2.600000e+00	2.800000e+00	1.006272e+00	3.750823e-02	3.750823e-02
2.800000e+00	3.000000e+00	1.056533e+00	5.224596e-02	5.224596e-02
3.000000e+00	3.200000e+00	1.060041e+00	6.723971e-02	6.723971e-02
3.200000e+00	3.400000e+00	1.106762e+00	9.109228e-02	9.109228e-02
3.400000e+00	3.600000e+00	1.069364e+00	1.130989e-01	1.130989e-01
3.600000e+00	3.800000e+00	1.177083e+00	1.633825e-01	1.633825e-01
3.800000e+00	4.000000e+00	1.065574e+00	1.899535e-01	1.899535e-01
4.000000e+00	4.200000e+00	1.277778e+00	2.843362e-01	2.843362e-01
4.200000e+00	4.400000e+00	8.333333e-01	2.256677e-01	2.256677e-01
4.400000e+00	4.600000e+00	1.263158e+00	3.878908e-01	3.878908e-01
4.600000e+00	4.800000e+00	2.500000e+00	1.479020e+00	1.479020e+00
4.800000e+00	5.000000e+00	1.125000e+00	5.466517e-01	5.466517e-01
# END HISTO1D

