# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/RapidityPMRatio
LegendOnly=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/RapidityPMRatio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/RapidityPMRatio
ErrorBreakdown={0: {"": {up: 0.0023063366918832811, dn: 0.0023063366918832811}}, 1: {"": {up: 0.0023944205682110507, dn: 0.0023944205682110507}}, 2: {"": {up: 0.0025836977270254856, dn: 0.0025836977270254856}}, 3: {"": {up: 0.0028834822168343002, dn: 0.0028834822168343002}}, 4: {"": {up: 0.0032967737600095195, dn: 0.0032967737600095195}}, 5: {"": {up: 0.003912449174278171, dn: 0.003912449174278171}}, 6: {"": {up: 0.0046709452049477802, dn: 0.0046709452049477802}}, 7: {"": {up: 0.0055270625106324288, dn: 0.0055270625106324288}}, 8: {"": {up: 0.0068649772381967995, dn: 0.0068649772381967995}}, 9: {"": {up: 0.0083643951234605978, dn: 0.0083643951234605978}}, 10: {"": {up: 0.010332144502123171, dn: 0.010332144502123171}}, 11: {"": {up: 0.012929642536601154, dn: 0.012929642536601154}}, 12: {"": {up: 0.01571573308097059, dn: 0.01571573308097059}}, 13: {"": {up: 0.019827257842105837, dn: 0.019827257842105837}}, 14: {"": {up: 0.024020115872722479, dn: 0.024020115872722479}}, 15: {"": {up: 0.030647341284714184, dn: 0.030647341284714184}}, 16: {"": {up: 0.037020503790300294, dn: 0.037020503790300294}}, 17: {"": {up: 0.050707242369725951, dn: 0.050707242369725951}}, 18: {"": {up: 0.061774887882258302, dn: 0.061774887882258302}}, 19: {"": {up: 0.073505228010637622, dn: 0.073505228010637622}}, 20: {"": {up: 0.08251198341577258, dn: 0.08251198341577258}}, 21: {"": {up: 0.10365078014644025, dn: 0.10365078014644025}}, 22: {"": {up: 0.12297258469325864, dn: 0.12297258469325864}}, 23: {"": {up: 0.17541160386140581, dn: 0.17541160386140581}}, 24: {"": {up: 0.26216025633188561, dn: 0.26216025633188561}}}
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/tmp/Analysis.yoda/MyAnalysis/RapidityPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.002802e+00	2.306337e-03	2.306337e-03
2.000000e-01	4.000000e-01	1.001136e+00	2.394421e-03	2.394421e-03
4.000000e-01	6.000000e-01	1.000753e+00	2.583698e-03	2.583698e-03
6.000000e-01	8.000000e-01	9.984541e-01	2.883482e-03	2.883482e-03
8.000000e-01	1.000000e+00	9.961135e-01	3.296774e-03	3.296774e-03
1.000000e+00	1.200000e+00	1.004885e+00	3.912449e-03	3.912449e-03
1.200000e+00	1.400000e+00	1.005614e+00	4.670945e-03	4.670945e-03
1.400000e+00	1.600000e+00	9.836712e-01	5.527063e-03	5.527063e-03
1.600000e+00	1.800000e+00	1.001622e+00	6.864977e-03	6.864977e-03
1.800000e+00	2.000000e+00	9.922492e-01	8.364395e-03	8.364395e-03
2.000000e+00	2.200000e+00	9.936954e-01	1.033214e-02	1.033214e-02
2.200000e+00	2.400000e+00	9.952858e-01	1.292964e-02	1.292964e-02
2.400000e+00	2.600000e+00	9.849672e-01	1.571573e-02	1.571573e-02
2.600000e+00	2.800000e+00	9.994098e-01	1.982726e-02	1.982726e-02
2.800000e+00	3.000000e+00	9.713769e-01	2.402012e-02	2.402012e-02
3.000000e+00	3.200000e+00	9.904717e-01	3.064734e-02	3.064734e-02
3.200000e+00	3.400000e+00	9.773050e-01	3.702050e-02	3.702050e-02
3.400000e+00	3.600000e+00	1.077011e+00	5.070724e-02	5.070724e-02
3.600000e+00	3.800000e+00	1.065858e+00	6.177489e-02	6.177489e-02
3.800000e+00	4.000000e+00	1.015831e+00	7.350523e-02	7.350523e-02
4.000000e+00	4.200000e+00	9.189189e-01	8.251198e-02	8.251198e-02
4.200000e+00	4.400000e+00	9.777778e-01	1.036508e-01	1.036508e-01
4.400000e+00	4.600000e+00	9.421488e-01	1.229726e-01	1.229726e-01
4.600000e+00	4.800000e+00	1.000000e+00	1.754116e-01	1.754116e-01
4.800000e+00	5.000000e+00	1.420000e+00	2.621603e-01	2.621603e-01
# END HISTO1D

