# BEGIN PLOT
Legend=1
LogY=0
XLabel=$\eta$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\eta$
LegendYPos=0.5
Title=Pseudorapidity of all particles
DrawOnly=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/Eta
LegendOnly=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/Eta
# END PLOT

# BEGIN HISTO1D //home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/Eta
LineColor=red
LineStyle=solid
Path=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/Eta
ScaledBy=3.79187269605175452e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	2.957184e-06	2.957184e-06	2.957184e-06
-4.800000e+00	-4.600000e+00	1.182873e-05	5.914368e-06	5.914368e-06
-4.600000e+00	-4.400000e+00	3.252903e-05	9.807871e-06	9.807871e-06
-4.400000e+00	-4.200000e+00	3.844339e-05	1.066228e-05	1.066228e-05
-4.200000e+00	-4.000000e+00	5.098265e-05	1.238431e-05	1.238431e-05
-4.000000e+00	-3.800000e+00	1.274376e-04	1.943600e-05	1.943600e-05
-3.800000e+00	-3.600000e+00	2.053748e-04	2.473618e-05	2.473618e-05
-3.600000e+00	-3.400000e+00	3.544037e-04	3.252395e-05	3.252395e-05
-3.400000e+00	-3.200000e+00	6.331275e-04	4.340975e-05	4.340975e-05
-3.200000e+00	-3.000000e+00	1.228834e-03	6.040952e-05	6.040952e-05
-3.000000e+00	-2.800000e+00	1.836023e-03	7.382225e-05	7.382225e-05
-2.800000e+00	-2.600000e+00	3.343138e-03	9.962762e-05	9.962762e-05
-2.600000e+00	-2.400000e+00	5.973480e-03	1.330636e-04	1.330636e-04
-2.400000e+00	-2.200000e+00	9.935435e-03	1.716116e-04	1.716116e-04
-2.200000e+00	-2.000000e+00	1.647806e-02	2.209653e-04	2.209653e-04
-2.000000e+00	-1.800000e+00	2.754654e-02	2.856339e-04	2.856339e-04
-1.800000e+00	-1.600000e+00	4.430531e-02	3.622473e-04	3.622473e-04
-1.600000e+00	-1.400000e+00	7.200875e-02	4.617565e-04	4.617565e-04
-1.400000e+00	-1.200000e+00	1.114356e-01	5.743111e-04	5.743111e-04
-1.200000e+00	-1.000000e+00	1.692829e-01	7.078868e-04	7.078868e-04
-1.000000e+00	-8.000000e-01	2.444529e-01	8.505930e-04	8.505930e-04
-8.000000e-01	-6.000000e-01	3.331453e-01	9.929906e-04	9.929906e-04
-6.000000e-01	-4.000000e-01	4.244660e-01	1.120807e-03	1.120807e-03
-4.000000e-01	-2.000000e-01	4.992273e-01	1.215501e-03	1.215501e-03
-2.000000e-01	0.000000e+00	5.444320e-01	1.269431e-03	1.269431e-03
0.000000e+00	2.000000e-01	5.468010e-01	1.272129e-03	1.272129e-03
2.000000e-01	4.000000e-01	5.048655e-01	1.222515e-03	1.222515e-03
4.000000e-01	6.000000e-01	4.162394e-01	1.109960e-03	1.109960e-03
6.000000e-01	8.000000e-01	3.238135e-01	9.791349e-04	9.791349e-04
8.000000e-01	1.000000e+00	2.376528e-01	8.388255e-04	8.388255e-04
1.000000e+00	1.200000e+00	1.661946e-01	7.014786e-04	7.014786e-04
1.200000e+00	1.400000e+00	1.100468e-01	5.708213e-04	5.708213e-04
1.400000e+00	1.600000e+00	7.222395e-02	4.624750e-04	4.624750e-04
1.600000e+00	1.800000e+00	4.457846e-02	3.634239e-04	3.634239e-04
1.800000e+00	2.000000e+00	2.725503e-02	2.843011e-04	2.843011e-04
2.000000e+00	2.200000e+00	1.613573e-02	2.187491e-04	2.187491e-04
2.200000e+00	2.400000e+00	9.882290e-03	1.711290e-04	1.711290e-04
2.400000e+00	2.600000e+00	5.810880e-03	1.312468e-04	1.312468e-04
2.600000e+00	2.800000e+00	3.576344e-03	1.029533e-04	1.029533e-04
2.800000e+00	3.000000e+00	1.856455e-03	7.421440e-05	7.421440e-05
3.000000e+00	3.200000e+00	1.157786e-03	5.864542e-05	5.864542e-05
3.200000e+00	3.400000e+00	5.640665e-04	4.093873e-05	4.093873e-05
3.400000e+00	3.600000e+00	3.409474e-04	3.179949e-05	3.179949e-05
3.600000e+00	3.800000e+00	1.958120e-04	2.410645e-05	2.410645e-05
3.800000e+00	4.000000e+00	9.342075e-05	1.681016e-05	1.681016e-05
4.000000e+00	4.200000e+00	9.758710e-05	1.698773e-05	1.698773e-05
4.200000e+00	4.400000e+00	2.661466e-05	8.871553e-06	8.871553e-06
4.400000e+00	4.600000e+00	1.600795e-05	7.241930e-06	7.241930e-06
4.600000e+00	4.800000e+00	1.774310e-05	7.243592e-06	7.243592e-06
4.800000e+00	5.000000e+00	2.957184e-06	2.957184e-06	2.957184e-06
# END HISTO1D

