# BEGIN PLOT
Legend=1
LogY=0
XLabel=$|\eta|$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta_+ \; / \; \mathrm{d}\sigma/\mathrm{d}\eta_-$
LegendYPos=0.5
Title=Pseudorapidity $+/-$ ratio of all particles
DrawOnly=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/EtaPMRatio
LegendOnly=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/EtaPMRatio
# END PLOT

# BEGIN HISTO1D //home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/EtaPMRatio
ErrorBreakdown={0: {"": {up: 0.0033081494306566083, dn: 0.0033081494306566083}}, 1: {"": {up: 0.0034726683300005273, dn: 0.0034726683300005273}}, 2: {"": {up: 0.0036800334915057043, dn: 0.0036800334915057043}}, 3: {"": {up: 0.0041269392173294839, dn: 0.0041269392173294839}}, 4: {"": {up: 0.0048185091787101069, dn: 0.0048185091787101069}}, 5: {"": {up: 0.0058331391251519923, dn: 0.0058331391251519923}}, 6: {"": {up: 0.0072209846606537112, dn: 0.0072209846606537112}}, 7: {"": {up: 0.0090892667113811228, dn: 0.0090892667113811228}}, 8: {"": {up: 0.011617270640673373, dn: 0.011617270640673373}}, 9: {"": {up: 0.014552439860227464, dn: 0.014552439860227464}}, 10: {"": {up: 0.018672319844202031, dn: 0.018672319844202031}}, 11: {"": {up: 0.024327611694852182, dn: 0.024327611694852182}}, 12: {"": {up: 0.030859576557735947, dn: 0.030859576557735947}}, 13: {"": {up: 0.044324413541756494, dn: 0.044324413541756494}}, 14: {"": {up: 0.057329909212939255, dn: 0.057329909212939255}}, 15: {"": {up: 0.066505280766329694, dn: 0.066505280766329694}}, 16: {"": {up: 0.088951949510863812, dn: 0.088951949510863812}}, 17: {"": {up: 0.12587844943953805, dn: 0.12587844943953805}}, 18: {"": {up: 0.1642097812007102, dn: 0.1642097812007102}}, 19: {"": {up: 0.17291612779042029, dn: 0.17291612779042029}}, 20: {"": {up: 0.57202925639211999, dn: 0.57202925639211999}}, 21: {"": {up: 0.30020475488676507, dn: 0.30020475488676507}}, 22: {"": {up: 0.26754421448128274, dn: 0.26754421448128274}}, 23: {"": {up: 0.96824583655185426, dn: 0.96824583655185426}}, 24: {"": {up: 1.4142135623730951, dn: 1.4142135623730951}}}
LineColor=red
LineStyle=solid
Path=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/EtaPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.004352e+00	3.308149e-03	3.308149e-03
2.000000e-01	4.000000e-01	1.011294e+00	3.472668e-03	3.472668e-03
4.000000e-01	6.000000e-01	9.806190e-01	3.680033e-03	3.680033e-03
6.000000e-01	8.000000e-01	9.719887e-01	4.126939e-03	4.126939e-03
8.000000e-01	1.000000e+00	9.721826e-01	4.818509e-03	4.818509e-03
1.000000e+00	1.200000e+00	9.817565e-01	5.833139e-03	5.833139e-03
1.200000e+00	1.400000e+00	9.875377e-01	7.220985e-03	7.220985e-03
1.400000e+00	1.600000e+00	1.002989e+00	9.089267e-03	9.089267e-03
1.600000e+00	1.800000e+00	1.006165e+00	1.161727e-02	1.161727e-02
1.800000e+00	2.000000e+00	9.894175e-01	1.455244e-02	1.455244e-02
2.000000e+00	2.200000e+00	9.792254e-01	1.867232e-02	1.867232e-02
2.200000e+00	2.400000e+00	9.946512e-01	2.432761e-02	2.432761e-02
2.400000e+00	2.600000e+00	9.727800e-01	3.085958e-02	3.085958e-02
2.600000e+00	2.800000e+00	1.069757e+00	4.432441e-02	4.432441e-02
2.800000e+00	3.000000e+00	1.011128e+00	5.732991e-02	5.732991e-02
3.000000e+00	3.200000e+00	9.421828e-01	6.650528e-02	6.650528e-02
3.200000e+00	3.400000e+00	8.909208e-01	8.895195e-02	8.895195e-02
3.400000e+00	3.600000e+00	9.620312e-01	1.258784e-01	1.258784e-01
3.600000e+00	3.800000e+00	9.534374e-01	1.642098e-01	1.642098e-01
3.800000e+00	4.000000e+00	7.330707e-01	1.729161e-01	1.729161e-01
4.000000e+00	4.200000e+00	1.914122e+00	5.720293e-01	5.720293e-01
4.200000e+00	4.400000e+00	6.923077e-01	3.002048e-01	3.002048e-01
4.400000e+00	4.600000e+00	4.921127e-01	2.675442e-01	2.675442e-01
4.600000e+00	4.800000e+00	1.500000e+00	9.682458e-01	9.682458e-01
4.800000e+00	5.000000e+00	1.000000e+00	1.414214e+00	1.414214e+00
# END HISTO1D

