# BEGIN PLOT
Legend=1
LogY=0
XLabel=$\eta$
YLabel=$\langle \sum E_\perp \rangle$
LegendYPos=0.5
Title=Pseudorapidity distribution of $\langle \sum E_\perp \rangle$
DrawOnly=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/EtaSumEt
LegendOnly=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/EtaSumEt
# END PLOT

# BEGIN HISTO1D //home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/EtaSumEt
LineColor=red
LineStyle=solid
Path=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/EtaSumEt
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	5.746787e+00	1.906847e-02	1.906847e-02
2.000000e-01	4.000000e-01	5.687537e+00	1.950695e-02	1.950695e-02
4.000000e-01	6.000000e-01	5.508031e+00	2.038608e-02	2.038608e-02
6.000000e-01	8.000000e-01	5.321788e+00	2.182326e-02	2.182326e-02
8.000000e-01	1.000000e+00	5.086547e+00	2.365413e-02	2.365413e-02
1.000000e+00	1.200000e+00	4.831689e+00	2.602669e-02	2.602669e-02
1.200000e+00	1.400000e+00	4.474178e+00	2.835991e-02	2.835991e-02
1.400000e+00	1.600000e+00	4.181807e+00	3.133026e-02	3.133026e-02
1.600000e+00	1.800000e+00	3.799384e+00	3.429518e-02	3.429518e-02
1.800000e+00	2.000000e+00	3.531454e+00	3.838327e-02	3.838327e-02
2.000000e+00	2.200000e+00	3.292062e+00	4.320263e-02	4.320263e-02
2.200000e+00	2.400000e+00	3.014109e+00	4.724129e-02	4.724129e-02
2.400000e+00	2.600000e+00	2.818542e+00	5.289405e-02	5.289405e-02
2.600000e+00	2.800000e+00	2.565399e+00	5.810453e-02	5.810453e-02
2.800000e+00	3.000000e+00	2.303698e+00	6.682007e-02	6.682007e-02
3.000000e+00	3.200000e+00	2.260410e+00	7.046779e-02	7.046779e-02
3.200000e+00	3.400000e+00	2.079680e+00	8.143787e-02	8.143787e-02
3.400000e+00	3.600000e+00	1.976529e+00	8.781436e-02	8.781436e-02
3.600000e+00	3.800000e+00	1.896566e+00	9.361685e-02	9.361685e-02
3.800000e+00	4.000000e+00	1.624014e+00	9.026667e-02	9.026667e-02
4.000000e+00	4.200000e+00	1.422290e+00	7.352793e-02	7.352793e-02
4.200000e+00	4.400000e+00	1.233726e+00	9.262732e-02	9.262732e-02
4.400000e+00	4.600000e+00	1.079411e+00	1.066904e-01	1.066904e-01
4.600000e+00	4.800000e+00	7.697238e-01	5.897399e-02	5.897399e-02
4.800000e+00	5.000000e+00	9.615476e-01	8.320899e-02	8.320899e-02
# END HISTO1D

