# BEGIN PLOT
Legend=1
LogY=0
Title=Azimuthal distribution of all particles
XLabel=$\phi$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\phi$
LegendYPos=0.5
DrawOnly=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/Phi
LegendOnly=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/Phi
# END PLOT

# BEGIN HISTO1D //home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/Phi
LineColor=red
LineStyle=solid
Path=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/Phi
ScaledBy=3.79187269605175452e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.595456e-01	8.672952e-04	8.672952e-04
1.256637e-01	2.513274e-01	1.601679e-01	8.688585e-04	8.688585e-04
2.513274e-01	3.769911e-01	1.586678e-01	8.647443e-04	8.647443e-04
3.769911e-01	5.026548e-01	1.589516e-01	8.654339e-04	8.654339e-04
5.026548e-01	6.283185e-01	1.593856e-01	8.666064e-04	8.666064e-04
6.283185e-01	7.539822e-01	1.613837e-01	8.719320e-04	8.719320e-04
7.539822e-01	8.796459e-01	1.572015e-01	8.605839e-04	8.605839e-04
8.796459e-01	1.005310e+00	1.598905e-01	8.678421e-04	8.678421e-04
1.005310e+00	1.130973e+00	1.581320e-01	8.631123e-04	8.631123e-04
1.130973e+00	1.256637e+00	1.585534e-01	8.642445e-04	8.642445e-04
1.256637e+00	1.382301e+00	1.591909e-01	8.659435e-04	8.659435e-04
1.382301e+00	1.507964e+00	1.591842e-01	8.659643e-04	8.659643e-04
1.507964e+00	1.633628e+00	1.570642e-01	8.601929e-04	8.601929e-04
1.633628e+00	1.759292e+00	1.570315e-01	8.601237e-04	8.601237e-04
1.759292e+00	1.884956e+00	1.556377e-01	8.562875e-04	8.562875e-04
1.884956e+00	2.010619e+00	1.585747e-01	8.642887e-04	8.642887e-04
2.010619e+00	2.136283e+00	1.596981e-01	8.672719e-04	8.672719e-04
2.136283e+00	2.261947e+00	1.588808e-01	8.650955e-04	8.650955e-04
2.261947e+00	2.387610e+00	1.597574e-01	8.674993e-04	8.674993e-04
2.387610e+00	2.513274e+00	1.594334e-01	8.665681e-04	8.665681e-04
2.513274e+00	2.638938e+00	1.613429e-01	8.719002e-04	8.719002e-04
2.638938e+00	2.764602e+00	1.624056e-01	8.747368e-04	8.747368e-04
2.764602e+00	2.890265e+00	1.577572e-01	8.621466e-04	8.621466e-04
2.890265e+00	3.015929e+00	1.593928e-01	8.666018e-04	8.666018e-04
3.015929e+00	3.141593e+00	1.587068e-01	8.646573e-04	8.646573e-04
3.141593e+00	3.267256e+00	1.563533e-01	8.582843e-04	8.582843e-04
3.267256e+00	3.392920e+00	1.571483e-01	8.604443e-04	8.604443e-04
3.392920e+00	3.518584e+00	1.598499e-01	8.678442e-04	8.678442e-04
3.518584e+00	3.644247e+00	1.589821e-01	8.655411e-04	8.655411e-04
3.644247e+00	3.769911e+00	1.571271e-01	8.605539e-04	8.605539e-04
3.769911e+00	3.895575e+00	1.576755e-01	8.619590e-04	8.619590e-04
3.895575e+00	4.021239e+00	1.580595e-01	8.628450e-04	8.628450e-04
4.021239e+00	4.146902e+00	1.606130e-01	8.698194e-04	8.698194e-04
4.146902e+00	4.272566e+00	1.590128e-01	8.654285e-04	8.654285e-04
4.272566e+00	4.398230e+00	1.576036e-01	8.616137e-04	8.616137e-04
4.398230e+00	4.523893e+00	1.614683e-01	8.721337e-04	8.721337e-04
4.523893e+00	4.649557e+00	1.598307e-01	8.676548e-04	8.676548e-04
4.649557e+00	4.775221e+00	1.612779e-01	8.716082e-04	8.716082e-04
4.775221e+00	4.900885e+00	1.619922e-01	8.735564e-04	8.735564e-04
4.900885e+00	5.026548e+00	1.601140e-01	8.684719e-04	8.684719e-04
5.026548e+00	5.152212e+00	1.600707e-01	8.684792e-04	8.684792e-04
5.152212e+00	5.277876e+00	1.608183e-01	8.704115e-04	8.704115e-04
5.277876e+00	5.403539e+00	1.598574e-01	8.677778e-04	8.677778e-04
5.403539e+00	5.529203e+00	1.585780e-01	8.643566e-04	8.643566e-04
5.529203e+00	5.654867e+00	1.597062e-01	8.673942e-04	8.673942e-04
5.654867e+00	5.780530e+00	1.572448e-01	8.607223e-04	8.607223e-04
5.780530e+00	5.906194e+00	1.593985e-01	8.665776e-04	8.665776e-04
5.906194e+00	6.031858e+00	1.585687e-01	8.642789e-04	8.642789e-04
6.031858e+00	6.157522e+00	1.606460e-01	8.699479e-04	8.699479e-04
6.157522e+00	6.283185e+00	1.598129e-01	8.678934e-04	8.678934e-04
# END HISTO1D

