# BEGIN PLOT
Legend=1
LogY=0
Title=Azimuthal distribution of charged particles
XLabel=$\phi$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\phi$
LegendYPos=0.5
DrawOnly=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/PhiCh
LegendOnly=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/PhiCh
# END PLOT

# BEGIN HISTO1D //home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/PhiCh
LineColor=red
LineStyle=solid
Path=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/PhiCh
ScaledBy=6.37353165605600449e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.591203e-01	1.122899e-03	1.122899e-03
1.256637e-01	2.513274e-01	1.605955e-01	1.127877e-03	1.127877e-03
2.513274e-01	3.769911e-01	1.597675e-01	1.125064e-03	1.125064e-03
3.769911e-01	5.026548e-01	1.593779e-01	1.123470e-03	1.123470e-03
5.026548e-01	6.283185e-01	1.610915e-01	1.129514e-03	1.129514e-03
6.283185e-01	7.539822e-01	1.597566e-01	1.124670e-03	1.124670e-03
7.539822e-01	8.796459e-01	1.567652e-01	1.114157e-03	1.114157e-03
8.796459e-01	1.005310e+00	1.598636e-01	1.125056e-03	1.125056e-03
1.005310e+00	1.130973e+00	1.579024e-01	1.118146e-03	1.118146e-03
1.130973e+00	1.256637e+00	1.587732e-01	1.121267e-03	1.121267e-03
1.256637e+00	1.382301e+00	1.589368e-01	1.121787e-03	1.121787e-03
1.382301e+00	1.507964e+00	1.593757e-01	1.123401e-03	1.123401e-03
1.507964e+00	1.633628e+00	1.565692e-01	1.113490e-03	1.113490e-03
1.633628e+00	1.759292e+00	1.568470e-01	1.114521e-03	1.114521e-03
1.759292e+00	1.884956e+00	1.556982e-01	1.110336e-03	1.110336e-03
1.884956e+00	2.010619e+00	1.582929e-01	1.119540e-03	1.119540e-03
2.010619e+00	2.136283e+00	1.603395e-01	1.126628e-03	1.126628e-03
2.136283e+00	2.261947e+00	1.590324e-01	1.122137e-03	1.122137e-03
2.261947e+00	2.387610e+00	1.605617e-01	1.127574e-03	1.127574e-03
2.387610e+00	2.513274e+00	1.597327e-01	1.124498e-03	1.124498e-03
2.513274e+00	2.638938e+00	1.609548e-01	1.129016e-03	1.129016e-03
2.638938e+00	2.764602e+00	1.601366e-01	1.126163e-03	1.126163e-03
2.764602e+00	2.890265e+00	1.572569e-01	1.115967e-03	1.115967e-03
2.890265e+00	3.015929e+00	1.578717e-01	1.118260e-03	1.118260e-03
3.015929e+00	3.141593e+00	1.594818e-01	1.123790e-03	1.123790e-03
3.141593e+00	3.267256e+00	1.561989e-01	1.112221e-03	1.112221e-03
3.267256e+00	3.392920e+00	1.579225e-01	1.118248e-03	1.118248e-03
3.392920e+00	3.518584e+00	1.598469e-01	1.125177e-03	1.125177e-03
3.518584e+00	3.644247e+00	1.582876e-01	1.119740e-03	1.119740e-03
3.644247e+00	3.769911e+00	1.576427e-01	1.117532e-03	1.117532e-03
3.769911e+00	3.895575e+00	1.580197e-01	1.118811e-03	1.118811e-03
3.895575e+00	4.021239e+00	1.591529e-01	1.122589e-03	1.122589e-03
4.021239e+00	4.146902e+00	1.609999e-01	1.129064e-03	1.129064e-03
4.146902e+00	4.272566e+00	1.578016e-01	1.117756e-03	1.117756e-03
4.272566e+00	4.398230e+00	1.579724e-01	1.118345e-03	1.118345e-03
4.398230e+00	4.523893e+00	1.601811e-01	1.126154e-03	1.126154e-03
4.523893e+00	4.649557e+00	1.607632e-01	1.128177e-03	1.128177e-03
4.649557e+00	4.775221e+00	1.603996e-01	1.126970e-03	1.126970e-03
4.775221e+00	4.900885e+00	1.614328e-01	1.130583e-03	1.130583e-03
4.900885e+00	5.026548e+00	1.598903e-01	1.125197e-03	1.125197e-03
5.026548e+00	5.152212e+00	1.614109e-01	1.130742e-03	1.130742e-03
5.152212e+00	5.277876e+00	1.604382e-01	1.127110e-03	1.127110e-03
5.277876e+00	5.403539e+00	1.596757e-01	1.124470e-03	1.124470e-03
5.403539e+00	5.529203e+00	1.595606e-01	1.124123e-03	1.124123e-03
5.529203e+00	5.654867e+00	1.602141e-01	1.126353e-03	1.126353e-03
5.654867e+00	5.780530e+00	1.585666e-01	1.120600e-03	1.120600e-03
5.780530e+00	5.906194e+00	1.598455e-01	1.125104e-03	1.125104e-03
5.906194e+00	6.031858e+00	1.578545e-01	1.117982e-03	1.117982e-03
6.031858e+00	6.157522e+00	1.604542e-01	1.127221e-03	1.127221e-03
6.157522e+00	6.283185e+00	1.591135e-01	1.122797e-03	1.122797e-03
# END HISTO1D

