# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of charged particles
XLabel=$p_\perp$ [GeV]
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}p_\perp$ [GeV$^{-1}$]
FullRange=1
DrawOnly=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/PtCh
LegendOnly=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/PtCh
# END PLOT

# BEGIN HISTO1D //home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/PtCh
LineColor=red
LineStyle=solid
Path=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/PtCh
ScaledBy=6.37353165605600449e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	6.000000e-01	5.719223e-01	2.385671e-03	2.385671e-03
6.000000e-01	7.000000e-01	5.114371e-01	2.256138e-03	2.256138e-03
7.000000e-01	8.000000e-01	4.586167e-01	2.136360e-03	2.136360e-03
8.000000e-01	9.000000e-01	4.136650e-01	2.028950e-03	2.028950e-03
9.000000e-01	1.000000e+00	3.733274e-01	1.927434e-03	1.927434e-03
1.000000e+00	1.100000e+00	3.408539e-01	1.841853e-03	1.841853e-03
1.100000e+00	1.200000e+00	3.145728e-01	1.769383e-03	1.769383e-03
1.200000e+00	1.300000e+00	2.816291e-01	1.674265e-03	1.674265e-03
1.300000e+00	1.400000e+00	2.634164e-01	1.619120e-03	1.619120e-03
1.400000e+00	1.500000e+00	2.416893e-01	1.550730e-03	1.550730e-03
1.500000e+00	1.600000e+00	2.264750e-01	1.501288e-03	1.501288e-03
1.600000e+00	1.700000e+00	2.097749e-01	1.444831e-03	1.444831e-03
1.700000e+00	1.800000e+00	1.963478e-01	1.397760e-03	1.397760e-03
1.800000e+00	1.900000e+00	1.816810e-01	1.344521e-03	1.344521e-03
1.900000e+00	2.000000e+00	1.710796e-01	1.304815e-03	1.304815e-03
2.000000e+00	2.100000e+00	1.608411e-01	1.265033e-03	1.265033e-03
2.100000e+00	2.200000e+00	1.523150e-01	1.231147e-03	1.231147e-03
2.200000e+00	2.300000e+00	1.428660e-01	1.192284e-03	1.192284e-03
2.300000e+00	2.400000e+00	1.359730e-01	1.163193e-03	1.163193e-03
2.400000e+00	2.500000e+00	1.285902e-01	1.131260e-03	1.131260e-03
2.500000e+00	2.600000e+00	1.206438e-01	1.095739e-03	1.095739e-03
2.600000e+00	2.700000e+00	1.157493e-01	1.073212e-03	1.073212e-03
2.700000e+00	2.800000e+00	1.115493e-01	1.053682e-03	1.053682e-03
2.800000e+00	2.900000e+00	1.029574e-01	1.012310e-03	1.012310e-03
2.900000e+00	3.000000e+00	9.728380e-02	9.839650e-04	9.839650e-04
3.000000e+00	3.100000e+00	9.582172e-02	9.764393e-04	9.764393e-04
3.100000e+00	3.200000e+00	8.950649e-02	9.438209e-04	9.438209e-04
3.200000e+00	3.300000e+00	8.718534e-02	9.313022e-04	9.313022e-04
3.300000e+00	3.400000e+00	8.283942e-02	9.080687e-04	9.080687e-04
3.400000e+00	3.500000e+00	7.943843e-02	8.890378e-04	8.890378e-04
3.500000e+00	3.600000e+00	7.629021e-02	8.715641e-04	8.715641e-04
3.600000e+00	3.700000e+00	7.335086e-02	8.543790e-04	8.543790e-04
3.700000e+00	3.800000e+00	6.856824e-02	8.260216e-04	8.260216e-04
3.800000e+00	3.900000e+00	6.643618e-02	8.131183e-04	8.131183e-04
3.900000e+00	4.000000e+00	6.505460e-02	8.046176e-04	8.046176e-04
4.000000e+00	4.100000e+00	6.077395e-02	7.776677e-04	7.776677e-04
4.100000e+00	4.200000e+00	5.994246e-02	7.722967e-04	7.722967e-04
4.200000e+00	4.300000e+00	5.614442e-02	7.473654e-04	7.473654e-04
4.300000e+00	4.400000e+00	5.625239e-02	7.482590e-04	7.482590e-04
4.400000e+00	4.500000e+00	5.446722e-02	7.363263e-04	7.363263e-04
4.500000e+00	4.600000e+00	5.134998e-02	7.148872e-04	7.148872e-04
4.600000e+00	4.700000e+00	4.887220e-02	6.973782e-04	6.973782e-04
4.700000e+00	4.800000e+00	4.806776e-02	6.914453e-04	6.914453e-04
4.800000e+00	4.900000e+00	4.657747e-02	6.807516e-04	6.807516e-04
4.900000e+00	5.000000e+00	4.565647e-02	6.740202e-04	6.740202e-04
5.000000e+00	5.100000e+00	4.259122e-02	6.509889e-04	6.509889e-04
5.100000e+00	5.200000e+00	4.159957e-02	6.435634e-04	6.435634e-04
5.200000e+00	5.300000e+00	4.094890e-02	6.384087e-04	6.384087e-04
5.300000e+00	5.400000e+00	3.922155e-02	6.248369e-04	6.248369e-04
5.400000e+00	5.500000e+00	3.712671e-02	6.076739e-04	6.076739e-04
5.500000e+00	5.600000e+00	3.708171e-02	6.073660e-04	6.073660e-04
5.600000e+00	5.700000e+00	3.494022e-02	5.895208e-04	5.895208e-04
5.700000e+00	5.800000e+00	3.458891e-02	5.870274e-04	5.870274e-04
5.800000e+00	5.900000e+00	3.331976e-02	5.758060e-04	5.758060e-04
5.900000e+00	6.000000e+00	3.243384e-02	5.680863e-04	5.680863e-04
6.000000e+00	6.100000e+00	3.159790e-02	5.606129e-04	5.606129e-04
6.100000e+00	6.200000e+00	3.052639e-02	5.511780e-04	5.511780e-04
6.200000e+00	6.300000e+00	3.030012e-02	5.490435e-04	5.490435e-04
6.300000e+00	6.400000e+00	2.897443e-02	5.369712e-04	5.369712e-04
6.400000e+00	6.500000e+00	2.805016e-02	5.283599e-04	5.283599e-04
6.500000e+00	6.600000e+00	2.680762e-02	5.167798e-04	5.167798e-04
6.600000e+00	6.700000e+00	2.633107e-02	5.118198e-04	5.118198e-04
6.700000e+00	6.800000e+00	2.549726e-02	5.040781e-04	5.040781e-04
6.800000e+00	6.900000e+00	2.466407e-02	4.953988e-04	4.953988e-04
6.900000e+00	7.000000e+00	2.417799e-02	4.903945e-04	4.903945e-04
7.000000e+00	7.100000e+00	2.245767e-02	4.728848e-04	4.728848e-04
7.100000e+00	7.200000e+00	2.288522e-02	4.772214e-04	4.772214e-04
7.200000e+00	7.300000e+00	2.270785e-02	4.754296e-04	4.754296e-04
7.300000e+00	7.400000e+00	2.176885e-02	4.654397e-04	4.654397e-04
7.400000e+00	7.500000e+00	2.109268e-02	4.581311e-04	4.581311e-04
7.500000e+00	7.600000e+00	2.064892e-02	4.534330e-04	4.534330e-04
7.600000e+00	7.700000e+00	1.991075e-02	4.451576e-04	4.451576e-04
7.700000e+00	7.800000e+00	1.875168e-02	4.319211e-04	4.319211e-04
7.800000e+00	7.900000e+00	1.866168e-02	4.310375e-04	4.310375e-04
7.900000e+00	8.000000e+00	1.865616e-02	4.309053e-04	4.309053e-04
8.000000e+00	8.100000e+00	1.798170e-02	4.229146e-04	4.229146e-04
8.100000e+00	8.200000e+00	1.790703e-02	4.220897e-04	4.220897e-04
8.200000e+00	8.300000e+00	1.725092e-02	4.144700e-04	4.144700e-04
8.300000e+00	8.400000e+00	1.650636e-02	4.052880e-04	4.052880e-04
8.400000e+00	8.500000e+00	1.688256e-02	4.099950e-04	4.099950e-04
8.500000e+00	8.600000e+00	1.663546e-02	4.068916e-04	4.068916e-04
8.600000e+00	8.700000e+00	1.547471e-02	3.924724e-04	3.924724e-04
8.700000e+00	8.800000e+00	1.484469e-02	3.843357e-04	3.843357e-04
8.800000e+00	8.900000e+00	1.446614e-02	3.794225e-04	3.794225e-04
8.900000e+00	9.000000e+00	1.444659e-02	3.791443e-04	3.791443e-04
9.000000e+00	9.100000e+00	1.388175e-02	3.717101e-04	3.717101e-04
9.100000e+00	9.200000e+00	1.362442e-02	3.682590e-04	3.682590e-04
9.200000e+00	9.300000e+00	1.415676e-02	3.756596e-04	3.756596e-04
9.300000e+00	9.400000e+00	1.308901e-02	3.609807e-04	3.609807e-04
9.400000e+00	9.500000e+00	1.306766e-02	3.606794e-04	3.606794e-04
9.500000e+00	9.600000e+00	1.237803e-02	3.512539e-04	3.512539e-04
9.600000e+00	9.700000e+00	1.241413e-02	3.516056e-04	3.516056e-04
9.700000e+00	9.800000e+00	1.190133e-02	3.441680e-04	3.441680e-04
9.800000e+00	9.900000e+00	1.148561e-02	3.381265e-04	3.381265e-04
9.900000e+00	1.000000e+01	1.094421e-02	3.300103e-04	3.300103e-04
1.000000e+01	1.010000e+01	1.154549e-02	3.388451e-04	3.388451e-04
1.010000e+01	1.020000e+01	1.058756e-02	3.248193e-04	3.248193e-04
1.020000e+01	1.030000e+01	1.083187e-02	3.284345e-04	3.284345e-04
1.030000e+01	1.040000e+01	1.041752e-02	3.219663e-04	3.219663e-04
1.040000e+01	1.050000e+01	1.056041e-02	3.242411e-04	3.242411e-04
1.050000e+01	1.060000e+01	9.890228e-03	3.139459e-04	3.139459e-04
1.060000e+01	1.070000e+01	9.657471e-03	3.099289e-04	3.099289e-04
1.070000e+01	1.080000e+01	9.994795e-03	3.154863e-04	3.154863e-04
1.080000e+01	1.090000e+01	8.930336e-03	2.982259e-04	2.982259e-04
1.090000e+01	1.100000e+01	9.608481e-03	3.093658e-04	3.093658e-04
1.100000e+01	1.110000e+01	9.122046e-03	3.012494e-04	3.012494e-04
1.110000e+01	1.120000e+01	8.884619e-03	2.973360e-04	2.973360e-04
1.120000e+01	1.130000e+01	8.379964e-03	2.888266e-04	2.888266e-04
1.130000e+01	1.140000e+01	8.435985e-03	2.897057e-04	2.897057e-04
1.140000e+01	1.150000e+01	8.676198e-03	2.938379e-04	2.938379e-04
1.150000e+01	1.160000e+01	7.924710e-03	2.811725e-04	2.811725e-04
1.160000e+01	1.170000e+01	7.723651e-03	2.772988e-04	2.772988e-04
1.170000e+01	1.180000e+01	8.110440e-03	2.841153e-04	2.841153e-04
1.180000e+01	1.190000e+01	7.932530e-03	2.810115e-04	2.810115e-04
1.190000e+01	1.200000e+01	7.650309e-03	2.761237e-04	2.761237e-04
1.200000e+01	1.210000e+01	7.589769e-03	2.750680e-04	2.750680e-04
1.210000e+01	1.220000e+01	7.915849e-03	2.805738e-04	2.805738e-04
1.220000e+01	1.230000e+01	7.269432e-03	2.691144e-04	2.691144e-04
1.230000e+01	1.240000e+01	7.262536e-03	2.688106e-04	2.688106e-04
1.240000e+01	1.250000e+01	7.234778e-03	2.683486e-04	2.683486e-04
1.250000e+01	1.260000e+01	7.662117e-03	2.763627e-04	2.763627e-04
1.260000e+01	1.270000e+01	6.766780e-03	2.595182e-04	2.595182e-04
1.270000e+01	1.280000e+01	6.434709e-03	2.532335e-04	2.532335e-04
1.280000e+01	1.290000e+01	6.292946e-03	2.503569e-04	2.503569e-04
1.290000e+01	1.300000e+01	6.821826e-03	2.604631e-04	2.604631e-04
1.300000e+01	1.310000e+01	6.011686e-03	2.446380e-04	2.446380e-04
1.310000e+01	1.320000e+01	6.361347e-03	2.516870e-04	2.516870e-04
1.320000e+01	1.330000e+01	6.367596e-03	2.517102e-04	2.517102e-04
1.330000e+01	1.340000e+01	5.971708e-03	2.438178e-04	2.438178e-04
1.340000e+01	1.350000e+01	5.785350e-03	2.400448e-04	2.400448e-04
1.350000e+01	1.360000e+01	5.787063e-03	2.398836e-04	2.398836e-04
1.360000e+01	1.370000e+01	5.608810e-03	2.361766e-04	2.361766e-04
1.370000e+01	1.380000e+01	5.582595e-03	2.357242e-04	2.357242e-04
1.380000e+01	1.390000e+01	5.513297e-03	2.342550e-04	2.342550e-04
1.390000e+01	1.400000e+01	5.400730e-03	2.317750e-04	2.317750e-04
1.400000e+01	1.410000e+01	5.535397e-03	2.347920e-04	2.347920e-04
1.410000e+01	1.420000e+01	5.362244e-03	2.309853e-04	2.309853e-04
1.420000e+01	1.430000e+01	4.927793e-03	2.215108e-04	2.215108e-04
