# BEGIN PLOT
Legend=1
LogY=0
Title=Rapidity of charged particles
XLabel=$y$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}y$
LegendYPos=0.5
DrawOnly=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/RapidityCh
LegendOnly=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/RapidityCh
# END PLOT

# BEGIN HISTO1D //home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/RapidityCh
LineColor=red
LineStyle=solid
Path=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/RapidityCh
ScaledBy=6.37353165605600449e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	4.970554e-06	4.970554e-06	4.970554e-06
-4.800000e+00	-4.600000e+00	1.988221e-05	9.941108e-06	9.941108e-06
-4.600000e+00	-4.400000e+00	3.479388e-05	1.315085e-05	1.315085e-05
-4.400000e+00	-4.200000e+00	4.970554e-05	1.571827e-05	1.571827e-05
-4.200000e+00	-4.000000e+00	6.084095e-05	1.760045e-05	1.760045e-05
-4.000000e+00	-3.800000e+00	1.744378e-04	2.948898e-05	2.948898e-05
-3.800000e+00	-3.600000e+00	2.706438e-04	3.685238e-05	3.685238e-05
-3.600000e+00	-3.400000e+00	4.603883e-04	4.805506e-05	4.805506e-05
-3.400000e+00	-3.200000e+00	7.889250e-04	6.279160e-05	6.279160e-05
-3.200000e+00	-3.000000e+00	1.465434e-03	8.566115e-05	8.566115e-05
-3.000000e+00	-2.800000e+00	2.091390e-03	1.022229e-04	1.022229e-04
-2.800000e+00	-2.600000e+00	3.867599e-03	1.390099e-04	1.390099e-04
-2.600000e+00	-2.400000e+00	6.653850e-03	1.820661e-04	1.820661e-04
-2.400000e+00	-2.200000e+00	1.103373e-02	2.345491e-04	2.345491e-04
-2.200000e+00	-2.000000e+00	1.796234e-02	2.991922e-04	2.991922e-04
-2.000000e+00	-1.800000e+00	2.952984e-02	3.834591e-04	3.834591e-04
-1.800000e+00	-1.600000e+00	4.670087e-02	4.822864e-04	4.822864e-04
-1.600000e+00	-1.400000e+00	7.545710e-02	6.128505e-04	6.128505e-04
-1.400000e+00	-1.200000e+00	1.141218e-01	7.534982e-04	7.534982e-04
-1.200000e+00	-1.000000e+00	1.709473e-01	9.222879e-04	9.222879e-04
-1.000000e+00	-8.000000e-01	2.470103e-01	1.108495e-03	1.108495e-03
-8.000000e-01	-6.000000e-01	3.324535e-01	1.286081e-03	1.286081e-03
-6.000000e-01	-4.000000e-01	4.209411e-01	1.447008e-03	1.447008e-03
-4.000000e-01	-2.000000e-01	4.945720e-01	1.568503e-03	1.568503e-03
-2.000000e-01	0.000000e+00	5.358225e-01	1.632676e-03	1.632676e-03
0.000000e+00	2.000000e-01	5.366390e-01	1.633890e-03	1.633890e-03
2.000000e-01	4.000000e-01	4.977742e-01	1.573771e-03	1.573771e-03
4.000000e-01	6.000000e-01	4.134929e-01	1.434261e-03	1.434261e-03
6.000000e-01	8.000000e-01	3.230732e-01	1.267997e-03	1.267997e-03
8.000000e-01	1.000000e+00	2.382058e-01	1.088814e-03	1.088814e-03
1.000000e+00	1.200000e+00	1.688401e-01	9.166679e-04	9.166679e-04
1.200000e+00	1.400000e+00	1.134959e-01	7.515605e-04	7.515605e-04
1.400000e+00	1.600000e+00	7.539855e-02	6.126622e-04	6.126622e-04
1.600000e+00	1.800000e+00	4.711900e-02	4.845717e-04	4.845717e-04
1.800000e+00	2.000000e+00	2.903710e-02	3.803195e-04	3.803195e-04
2.000000e+00	2.200000e+00	1.779908e-02	2.979528e-04	2.979528e-04
2.200000e+00	2.400000e+00	1.091075e-02	2.331390e-04	2.331390e-04
2.400000e+00	2.600000e+00	6.431505e-03	1.791206e-04	1.791206e-04
2.600000e+00	2.800000e+00	4.071910e-03	1.424831e-04	1.424831e-04
2.800000e+00	3.000000e+00	2.145870e-03	1.035138e-04	1.035138e-04
3.000000e+00	3.200000e+00	1.309326e-03	8.092677e-05	8.092677e-05
3.200000e+00	3.400000e+00	7.095190e-04	5.957441e-05	5.957441e-05
3.400000e+00	3.600000e+00	4.040793e-04	4.490958e-05	4.490958e-05
3.600000e+00	3.800000e+00	2.559005e-04	3.586353e-05	3.586353e-05
3.800000e+00	4.000000e+00	1.308424e-04	2.568717e-05	2.568717e-05
4.000000e+00	4.200000e+00	1.590577e-04	2.811770e-05	2.811770e-05
4.200000e+00	4.400000e+00	3.976443e-05	1.405885e-05	1.405885e-05
4.400000e+00	4.600000e+00	2.690680e-05	1.217253e-05	1.217253e-05
4.600000e+00	4.800000e+00	2.982332e-05	1.217532e-05	1.217532e-05
4.800000e+00	5.000000e+00	4.970554e-06	4.970554e-06	4.970554e-06
# END HISTO1D

