# BEGIN PLOT
Legend=1
LogY=0
Title=Rapidity $+/-$ ratio of charged particles
XLabel=$|y|$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y_+ \; / \; \mathrm{d}\sigma/\mathrm{d}y_-$
LegendYPos=0.5
DrawOnly=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/RapidityChPMRatio
LegendOnly=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/RapidityChPMRatio
# END PLOT

# BEGIN HISTO1D //home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/RapidityChPMRatio
ErrorBreakdown={0: {"": {up: 0.004314060989191848, dn: 0.004314060989191848}}, 1: {"": {up: 0.0045071432296108112, dn: 0.0045071432296108112}}, 2: {"": {up: 0.0047970629429421102, dn: 0.0047970629429421102}}, 3: {"": {up: 0.0053553145246404482, dn: 0.0053553145246404482}}, 4: {"": {up: 0.006177304446967553, dn: 0.006177304446967553}}, 5: {"": {up: 0.0075596776478275875, dn: 0.0075596776478275875}}, 6: {"": {up: 0.0092998542300801387, dn: 0.0092998542300801387}}, 7: {"": {up: 0.011479789183283311, dn: 0.011479789183283311}}, 8: {"": {up: 0.014704797885412554, dn: 0.014704797885412554}}, 9: {"": {up: 0.018136013170292679, dn: 0.018136013170292679}}, 10: {"": {up: 0.023400270500278854, dn: 0.023400270500278854}}, 11: {"": {up: 0.029804810436572109, dn: 0.029804810436572109}}, 12: {"": {up: 0.037738365180188492, dn: 0.037738365180188492}}, 13: {"": {up: 0.052812238804309554, dn: 0.052812238804309554}}, 14: {"": {up: 0.070462194181950544, dn: 0.070462194181950544}}, 15: {"": {up: 0.076009036928370341, dn: 0.076009036928370341}}, 16: {"": {up: 0.10404818391584461, dn: 0.10404818391584461}}, 17: {"": {up: 0.13382225250113547, dn: 0.13382225250113547}}, 18: {"": {up: 0.18475785740810258, dn: 0.18475785740810258}}, 19: {"": {up: 0.19432810604873035, dn: 0.19432810604873035}}, 20: {"": {up: 0.88631450991258909, dn: 0.88631450991258909}}, 21: {"": {up: 0.37947331922020539, dn: 0.37947331922020539}}, 22: {"": {up: 0.45587795408493381, dn: 0.45587795408493381}}, 23: {"": {up: 0.96824583655185426, dn: 0.96824583655185426}}, 24: {"": {up: 1.4142135623730951, dn: 1.4142135623730951}}}
LineColor=red
LineStyle=solid
Path=//home/mogzyb/Work/Dis-2.0/Hee/Analysis.yoda/MC_FSPARTICLES/RapidityChPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.001524e+00	4.314061e-03	4.314061e-03
2.000000e-01	4.000000e-01	1.006475e+00	4.507143e-03	4.507143e-03
4.000000e-01	6.000000e-01	9.823059e-01	4.797063e-03	4.797063e-03
6.000000e-01	8.000000e-01	9.717845e-01	5.355315e-03	5.355315e-03
8.000000e-01	1.000000e+00	9.643557e-01	6.177304e-03	6.177304e-03
1.000000e+00	1.200000e+00	9.876739e-01	7.559678e-03	7.559678e-03
1.200000e+00	1.400000e+00	9.945153e-01	9.299854e-03	9.299854e-03
1.400000e+00	1.600000e+00	9.992234e-01	1.147979e-02	1.147979e-02
1.600000e+00	1.800000e+00	1.008953e+00	1.470480e-02	1.470480e-02
1.800000e+00	2.000000e+00	9.833138e-01	1.813601e-02	1.813601e-02
2.000000e+00	2.200000e+00	9.909110e-01	2.340027e-02	2.340027e-02
2.200000e+00	2.400000e+00	9.888544e-01	2.980481e-02	2.980481e-02
2.400000e+00	2.600000e+00	9.665838e-01	3.773837e-02	3.773837e-02
2.600000e+00	2.800000e+00	1.052826e+00	5.281224e-02	5.281224e-02
2.800000e+00	3.000000e+00	1.026050e+00	7.046219e-02	7.046219e-02
3.000000e+00	3.200000e+00	8.934733e-01	7.600904e-02	7.600904e-02
3.200000e+00	3.400000e+00	8.993488e-01	1.040482e-01	1.040482e-01
3.400000e+00	3.600000e+00	8.776924e-01	1.338223e-01	1.338223e-01
3.600000e+00	3.800000e+00	9.455251e-01	1.847579e-01	1.847579e-01
3.800000e+00	4.000000e+00	7.500805e-01	1.943281e-01	1.943281e-01
4.000000e+00	4.200000e+00	2.614320e+00	8.863145e-01	8.863145e-01
4.200000e+00	4.400000e+00	8.000000e-01	3.794733e-01	3.794733e-01
4.400000e+00	4.600000e+00	7.733199e-01	4.558780e-01	4.558780e-01
4.600000e+00	4.800000e+00	1.500000e+00	9.682458e-01	9.682458e-01
4.800000e+00	5.000000e+00	1.000000e+00	1.414214e+00	1.414214e+00
# END HISTO1D

