# BEGIN PLOT
Legend=1
LogY=0
XLabel=$\eta$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\eta$
LegendYPos=0.5
Title=Pseudorapidity of charged particles
DrawOnly=//home/mogzyb/Work/Dis-2.0/Hvv/Analysis.yoda/MC_FSPARTICLES/EtaCh
LegendOnly=//home/mogzyb/Work/Dis-2.0/Hvv/Analysis.yoda/MC_FSPARTICLES/EtaCh
# END PLOT

# BEGIN HISTO1D //home/mogzyb/Work/Dis-2.0/Hvv/Analysis.yoda/MC_FSPARTICLES/EtaCh
LineColor=red
LineStyle=solid
Path=//home/mogzyb/Work/Dis-2.0/Hvv/Analysis.yoda/MC_FSPARTICLES/EtaCh
ScaledBy=2.38377404995392391e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	1.043922e-05	5.219614e-06	5.219614e-06
-4.200000e+00	-4.000000e+00	3.131768e-05	9.040636e-06	9.040636e-06
-4.000000e+00	-3.800000e+00	7.046480e-05	1.356095e-05	1.356095e-05
-3.800000e+00	-3.600000e+00	9.134325e-05	1.543983e-05	1.543983e-05
-3.600000e+00	-3.400000e+00	2.195694e-04	2.395924e-05	2.395924e-05
-3.400000e+00	-3.200000e+00	4.280879e-04	3.342814e-05	3.342814e-05
-3.200000e+00	-3.000000e+00	8.957570e-04	5.166967e-05	5.166967e-05
-3.000000e+00	-2.800000e+00	1.737608e-03	6.738937e-05	6.738937e-05
-2.800000e+00	-2.600000e+00	3.184143e-03	9.365689e-05	9.365689e-05
-2.600000e+00	-2.400000e+00	5.790690e-03	1.230293e-04	1.230293e-04
-2.400000e+00	-2.200000e+00	9.900660e-03	1.613187e-04	1.613187e-04
-2.200000e+00	-2.000000e+00	1.707912e-02	2.147193e-04	2.147193e-04
-2.000000e+00	-1.800000e+00	2.810892e-02	2.736722e-04	2.736722e-04
-1.800000e+00	-1.600000e+00	4.421073e-02	3.415063e-04	3.415063e-04
-1.600000e+00	-1.400000e+00	7.209900e-02	4.351467e-04	4.351467e-04
-1.400000e+00	-1.200000e+00	1.124229e-01	5.440310e-04	5.440310e-04
-1.200000e+00	-1.000000e+00	1.666729e-01	6.618134e-04	6.618134e-04
-1.000000e+00	-8.000000e-01	2.413910e-01	7.963722e-04	7.963722e-04
-8.000000e-01	-6.000000e-01	3.296647e-01	9.294014e-04	9.294014e-04
-6.000000e-01	-4.000000e-01	4.222775e-01	1.051471e-03	1.051471e-03
-4.000000e-01	-2.000000e-01	5.048410e-01	1.149277e-03	1.149277e-03
-2.000000e-01	0.000000e+00	5.521460e-01	1.202257e-03	1.202257e-03
0.000000e+00	2.000000e-01	5.516685e-01	1.200910e-03	1.200910e-03
2.000000e-01	4.000000e-01	4.993192e-01	1.142446e-03	1.142446e-03
4.000000e-01	6.000000e-01	4.170786e-01	1.044301e-03	1.044301e-03
6.000000e-01	8.000000e-01	3.238717e-01	9.201928e-04	9.201928e-04
8.000000e-01	1.000000e+00	2.386562e-01	7.899796e-04	7.899796e-04
1.000000e+00	1.200000e+00	1.650979e-01	6.568837e-04	6.568837e-04
1.200000e+00	1.400000e+00	1.103406e-01	5.373779e-04	5.373779e-04
1.400000e+00	1.600000e+00	7.120430e-02	4.315346e-04	4.315346e-04
1.600000e+00	1.800000e+00	4.433151e-02	3.405988e-04	3.405988e-04
1.800000e+00	2.000000e+00	2.779443e-02	2.697302e-04	2.697302e-04
2.000000e+00	2.200000e+00	1.592597e-02	2.040752e-04	2.040752e-04
2.200000e+00	2.400000e+00	9.348070e-03	1.562407e-04	1.562407e-04
2.400000e+00	2.600000e+00	5.500625e-03	1.198360e-04	1.198360e-04
2.600000e+00	2.800000e+00	3.111994e-03	9.013814e-05	9.013814e-05
2.800000e+00	3.000000e+00	1.668051e-03	6.598784e-05	6.598784e-05
3.000000e+00	3.200000e+00	9.057400e-04	4.862287e-05	4.862287e-05
3.200000e+00	3.400000e+00	5.036925e-04	3.625659e-05	3.625659e-05
3.400000e+00	3.600000e+00	2.322728e-04	2.462087e-05	2.462087e-05
3.600000e+00	3.800000e+00	9.397225e-05	1.566205e-05	1.566205e-05
3.800000e+00	4.000000e+00	4.175691e-05	1.043923e-05	1.043923e-05
4.000000e+00	4.200000e+00	1.565884e-05	6.392695e-06	6.392695e-06
4.200000e+00	4.400000e+00	1.565884e-05	6.392695e-06	6.392695e-06
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

