# BEGIN PLOT
Legend=1
LogY=0
Title=Azimuthal distribution of charged particles
XLabel=$\phi$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\phi$
LegendYPos=0.5
DrawOnly=//home/mogzyb/Work/Dis-2.0/Hvv/Analysis.yoda/MC_FSPARTICLES/PhiCh
LegendOnly=//home/mogzyb/Work/Dis-2.0/Hvv/Analysis.yoda/MC_FSPARTICLES/PhiCh
# END PLOT

# BEGIN HISTO1D //home/mogzyb/Work/Dis-2.0/Hvv/Analysis.yoda/MC_FSPARTICLES/PhiCh
LineColor=red
LineStyle=solid
Path=//home/mogzyb/Work/Dis-2.0/Hvv/Analysis.yoda/MC_FSPARTICLES/PhiCh
ScaledBy=2.38377404995392391e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.598518e-01	8.159261e-04	8.159261e-04
1.256637e-01	2.513274e-01	1.582556e-01	8.116567e-04	8.116567e-04
2.513274e-01	3.769911e-01	1.604270e-01	8.170173e-04	8.170173e-04
3.769911e-01	5.026548e-01	1.582047e-01	8.112735e-04	8.112735e-04
5.026548e-01	6.283185e-01	1.583259e-01	8.121820e-04	8.121820e-04
6.283185e-01	7.539822e-01	1.578515e-01	8.106465e-04	8.106465e-04
7.539822e-01	8.796459e-01	1.574007e-01	8.104707e-04	8.104707e-04
8.796459e-01	1.005310e+00	1.578227e-01	8.121790e-04	8.121790e-04
1.005310e+00	1.130973e+00	1.598860e-01	8.164621e-04	8.164621e-04
1.130973e+00	1.256637e+00	1.598166e-01	8.169448e-04	8.169448e-04
1.256637e+00	1.382301e+00	1.589590e-01	8.146285e-04	8.146285e-04
1.382301e+00	1.507964e+00	1.604012e-01	8.169169e-04	8.169169e-04
1.507964e+00	1.633628e+00	1.600790e-01	8.175136e-04	8.175136e-04
1.633628e+00	1.759292e+00	1.586826e-01	8.144983e-04	8.144983e-04
1.759292e+00	1.884956e+00	1.606389e-01	8.190316e-04	8.190316e-04
1.884956e+00	2.010619e+00	1.596384e-01	8.158472e-04	8.158472e-04
2.010619e+00	2.136283e+00	1.610725e-01	8.202955e-04	8.202955e-04
2.136283e+00	2.261947e+00	1.618545e-01	8.213089e-04	8.213089e-04
2.261947e+00	2.387610e+00	1.591379e-01	8.146412e-04	8.146412e-04
2.387610e+00	2.513274e+00	1.591324e-01	8.140842e-04	8.140842e-04
2.513274e+00	2.638938e+00	1.587274e-01	8.133468e-04	8.133468e-04
2.638938e+00	2.764602e+00	1.573701e-01	8.091367e-04	8.091367e-04
2.764602e+00	2.890265e+00	1.579638e-01	8.111606e-04	8.111606e-04
2.890265e+00	3.015929e+00	1.585732e-01	8.128211e-04	8.128211e-04
3.015929e+00	3.141593e+00	1.573266e-01	8.091629e-04	8.091629e-04
3.141593e+00	3.267256e+00	1.570721e-01	8.083546e-04	8.083546e-04
3.267256e+00	3.392920e+00	1.566776e-01	8.074248e-04	8.074248e-04
3.392920e+00	3.518584e+00	1.573397e-01	8.089324e-04	8.089324e-04
3.518584e+00	3.644247e+00	1.589223e-01	8.141323e-04	8.141323e-04
3.644247e+00	3.769911e+00	1.584992e-01	8.125620e-04	8.125620e-04
3.769911e+00	3.895575e+00	1.608459e-01	8.182372e-04	8.182372e-04
3.895575e+00	4.021239e+00	1.598688e-01	8.162329e-04	8.162329e-04
4.021239e+00	4.146902e+00	1.586172e-01	8.133218e-04	8.133218e-04
4.146902e+00	4.272566e+00	1.587666e-01	8.144501e-04	8.144501e-04
4.272566e+00	4.398230e+00	1.606789e-01	8.181304e-04	8.181304e-04
4.398230e+00	4.523893e+00	1.595592e-01	8.160975e-04	8.160975e-04
4.523893e+00	4.649557e+00	1.591845e-01	8.151663e-04	8.151663e-04
4.649557e+00	4.775221e+00	1.589147e-01	8.137636e-04	8.137636e-04
4.775221e+00	4.900885e+00	1.582055e-01	8.123485e-04	8.123485e-04
4.900885e+00	5.026548e+00	1.579231e-01	8.105569e-04	8.105569e-04
5.026548e+00	5.152212e+00	1.602945e-01	8.170565e-04	8.170565e-04
5.152212e+00	5.277876e+00	1.593140e-01	8.141285e-04	8.141285e-04
5.277876e+00	5.403539e+00	1.595374e-01	8.145390e-04	8.145390e-04
5.403539e+00	5.529203e+00	1.614318e-01	8.196321e-04	8.196321e-04
5.529203e+00	5.654867e+00	1.602448e-01	8.165471e-04	8.165471e-04
5.654867e+00	5.780530e+00	1.611123e-01	8.198302e-04	8.198302e-04
5.780530e+00	5.906194e+00	1.610016e-01	8.186538e-04	8.186538e-04
5.906194e+00	6.031858e+00	1.588117e-01	8.134753e-04	8.134753e-04
6.031858e+00	6.157522e+00	1.590167e-01	8.141826e-04	8.141826e-04
6.157522e+00	6.283185e+00	1.585074e-01	8.124703e-04	8.124703e-04
# END HISTO1D

