# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of all particles
XLabel=$p_\perp$ [GeV]
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}p_\perp$ [GeV$^{-1}$]
FullRange=1
DrawOnly=//home/mogzyb/Work/Dis-2.0/Hvv/Analysis.yoda/MC_FSPARTICLES/Pt
LegendOnly=//home/mogzyb/Work/Dis-2.0/Hvv/Analysis.yoda/MC_FSPARTICLES/Pt
# END PLOT

# BEGIN HISTO1D //home/mogzyb/Work/Dis-2.0/Hvv/Analysis.yoda/MC_FSPARTICLES/Pt
LineColor=red
LineStyle=solid
Path=//home/mogzyb/Work/Dis-2.0/Hvv/Analysis.yoda/MC_FSPARTICLES/Pt
ScaledBy=1.27313759915222242e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	6.000000e-01	7.062886e-01	1.406030e-03	1.406030e-03
6.000000e-01	7.000000e-01	6.097695e-01	1.306156e-03	1.306156e-03
7.000000e-01	8.000000e-01	5.333634e-01	1.221251e-03	1.221251e-03
8.000000e-01	9.000000e-01	4.679787e-01	1.143799e-03	1.143799e-03
9.000000e-01	1.000000e+00	4.195306e-01	1.083856e-03	1.083856e-03
1.000000e+00	1.100000e+00	3.739117e-01	1.022615e-03	1.022615e-03
1.100000e+00	1.200000e+00	3.349933e-01	9.680994e-04	9.680994e-04
1.200000e+00	1.300000e+00	3.065618e-01	9.259256e-04	9.259256e-04
1.300000e+00	1.400000e+00	2.804961e-01	8.859402e-04	8.859402e-04
1.400000e+00	1.500000e+00	2.563559e-01	8.471400e-04	8.471400e-04
1.500000e+00	1.600000e+00	2.347935e-01	8.100668e-04	8.100668e-04
1.600000e+00	1.700000e+00	2.189727e-01	7.824013e-04	7.824013e-04
1.700000e+00	1.800000e+00	2.014762e-01	7.504810e-04	7.504810e-04
1.800000e+00	1.900000e+00	1.894124e-01	7.281247e-04	7.281247e-04
1.900000e+00	2.000000e+00	1.761197e-01	7.015784e-04	7.015784e-04
2.000000e+00	2.100000e+00	1.669121e-01	6.828843e-04	6.828843e-04
2.100000e+00	2.200000e+00	1.547207e-01	6.584006e-04	6.584006e-04
2.200000e+00	2.300000e+00	1.460031e-01	6.394781e-04	6.394781e-04
2.300000e+00	2.400000e+00	1.366435e-01	6.179694e-04	6.179694e-04
2.400000e+00	2.500000e+00	1.293847e-01	6.022934e-04	6.022934e-04
2.500000e+00	2.600000e+00	1.218729e-01	5.838516e-04	5.838516e-04
2.600000e+00	2.700000e+00	1.158652e-01	5.691242e-04	5.691242e-04
2.700000e+00	2.800000e+00	1.092701e-01	5.527713e-04	5.527713e-04
2.800000e+00	2.900000e+00	1.037049e-01	5.381682e-04	5.381682e-04
2.900000e+00	3.000000e+00	9.910326e-02	5.263210e-04	5.263210e-04
3.000000e+00	3.100000e+00	9.449936e-02	5.143449e-04	5.143449e-04
3.100000e+00	3.200000e+00	9.022125e-02	5.026111e-04	5.026111e-04
3.200000e+00	3.300000e+00	8.544138e-02	4.888758e-04	4.888758e-04
3.300000e+00	3.400000e+00	8.217898e-02	4.794885e-04	4.794885e-04
3.400000e+00	3.500000e+00	7.879651e-02	4.693389e-04	4.693389e-04
3.500000e+00	3.600000e+00	7.417108e-02	4.553610e-04	4.553610e-04
3.600000e+00	3.700000e+00	7.184873e-02	4.482236e-04	4.482236e-04
3.700000e+00	3.800000e+00	6.939563e-02	4.402406e-04	4.402406e-04
3.800000e+00	3.900000e+00	6.661000e-02	4.318279e-04	4.318279e-04
3.900000e+00	4.000000e+00	6.337872e-02	4.211167e-04	4.211167e-04
4.000000e+00	4.100000e+00	6.032670e-02	4.112217e-04	4.112217e-04
4.100000e+00	4.200000e+00	5.819276e-02	4.036703e-04	4.036703e-04
4.200000e+00	4.300000e+00	5.572509e-02	3.951937e-04	3.951937e-04
4.300000e+00	4.400000e+00	5.434076e-02	3.899206e-04	3.899206e-04
4.400000e+00	4.500000e+00	5.249702e-02	3.829218e-04	3.829218e-04
4.500000e+00	4.600000e+00	4.988438e-02	3.733626e-04	3.733626e-04
4.600000e+00	4.700000e+00	4.835323e-02	3.677359e-04	3.677359e-04
4.700000e+00	4.800000e+00	4.689597e-02	3.622546e-04	3.622546e-04
4.800000e+00	4.900000e+00	4.457847e-02	3.528041e-04	3.528041e-04
4.900000e+00	5.000000e+00	4.375129e-02	3.495398e-04	3.495398e-04
5.000000e+00	5.100000e+00	4.219095e-02	3.434943e-04	3.434943e-04
5.100000e+00	5.200000e+00	4.062569e-02	3.371965e-04	3.371965e-04
5.200000e+00	5.300000e+00	3.880340e-02	3.294042e-04	3.294042e-04
5.300000e+00	5.400000e+00	3.746234e-02	3.238484e-04	3.238484e-04
5.400000e+00	5.500000e+00	3.630839e-02	3.185779e-04	3.185779e-04
5.500000e+00	5.600000e+00	3.554842e-02	3.151483e-04	3.151483e-04
5.600000e+00	5.700000e+00	3.416883e-02	3.093277e-04	3.093277e-04
5.700000e+00	5.800000e+00	3.281099e-02	3.029620e-04	3.029620e-04
5.800000e+00	5.900000e+00	3.225489e-02	3.001550e-04	3.001550e-04
5.900000e+00	6.000000e+00	3.084108e-02	2.936911e-04	2.936911e-04
6.000000e+00	6.100000e+00	2.975458e-02	2.882901e-04	2.882901e-04
6.100000e+00	6.200000e+00	2.946300e-02	2.871468e-04	2.871468e-04
6.200000e+00	6.300000e+00	2.856197e-02	2.824591e-04	2.824591e-04
6.300000e+00	6.400000e+00	2.842714e-02	2.819110e-04	2.819110e-04
6.400000e+00	6.500000e+00	2.682044e-02	2.744399e-04	2.744399e-04
6.500000e+00	6.600000e+00	2.626862e-02	2.713713e-04	2.713713e-04
6.600000e+00	6.700000e+00	2.540713e-02	2.669658e-04	2.669658e-04
6.700000e+00	6.800000e+00	2.433758e-02	2.610081e-04	2.610081e-04
6.800000e+00	6.900000e+00	2.408799e-02	2.597088e-04	2.597088e-04
6.900000e+00	7.000000e+00	2.342538e-02	2.557459e-04	2.557459e-04
7.000000e+00	7.100000e+00	2.218143e-02	2.489085e-04	2.489085e-04
7.100000e+00	7.200000e+00	2.223895e-02	2.495561e-04	2.495561e-04
7.200000e+00	7.300000e+00	2.147472e-02	2.451321e-04	2.451321e-04
7.300000e+00	7.400000e+00	2.077450e-02	2.408502e-04	2.408502e-04
7.400000e+00	7.500000e+00	2.012969e-02	2.370470e-04	2.370470e-04
7.500000e+00	7.600000e+00	1.967867e-02	2.342952e-04	2.342952e-04
7.600000e+00	7.700000e+00	1.919436e-02	2.315330e-04	2.315330e-04
7.700000e+00	7.800000e+00	1.818038e-02	2.252004e-04	2.252004e-04
7.800000e+00	7.900000e+00	1.783186e-02	2.230086e-04	2.230086e-04
7.900000e+00	8.000000e+00	1.768461e-02	2.221854e-04	2.221854e-04
8.000000e+00	8.100000e+00	1.673467e-02	2.161678e-04	2.161678e-04
8.100000e+00	8.200000e+00	1.695802e-02	2.176864e-04	2.176864e-04
8.200000e+00	8.300000e+00	1.664231e-02	2.159951e-04	2.159951e-04
8.300000e+00	8.400000e+00	1.594445e-02	2.111656e-04	2.111656e-04
8.400000e+00	8.500000e+00	1.580008e-02	2.101280e-04	2.101280e-04
8.500000e+00	8.600000e+00	1.496295e-02	2.044268e-04	2.044268e-04
8.600000e+00	8.700000e+00	1.489732e-02	2.041438e-04	2.041438e-04
8.700000e+00	8.800000e+00	1.438507e-02	2.003246e-04	2.003246e-04
8.800000e+00	8.900000e+00	1.379404e-02	1.962960e-04	1.962960e-04
8.900000e+00	9.000000e+00	1.365968e-02	1.955802e-04	1.955802e-04
9.000000e+00	9.100000e+00	1.352630e-02	1.942768e-04	1.942768e-04
9.100000e+00	9.200000e+00	1.318391e-02	1.918319e-04	1.918319e-04
9.200000e+00	9.300000e+00	1.273149e-02	1.885410e-04	1.885410e-04
9.300000e+00	9.400000e+00	1.265840e-02	1.879639e-04	1.879639e-04
9.400000e+00	9.500000e+00	1.232359e-02	1.853895e-04	1.853895e-04
9.500000e+00	9.600000e+00	1.195518e-02	1.828413e-04	1.828413e-04
9.600000e+00	9.700000e+00	1.178404e-02	1.814934e-04	1.814934e-04
9.700000e+00	9.800000e+00	1.113435e-02	1.763003e-04	1.763003e-04
9.800000e+00	9.900000e+00	1.095740e-02	1.751548e-04	1.751548e-04
9.900000e+00	1.000000e+01	1.086016e-02	1.740406e-04	1.740406e-04
1.000000e+01	1.010000e+01	1.063537e-02	1.723236e-04	1.723236e-04
1.010000e+01	1.020000e+01	1.027261e-02	1.693038e-04	1.693038e-04
1.020000e+01	1.030000e+01	1.024487e-02	1.690856e-04	1.690856e-04
1.030000e+01	1.040000e+01	9.936984e-03	1.666131e-04	1.666131e-04
1.040000e+01	1.050000e+01	9.612290e-03	1.637852e-04	1.637852e-04
1.050000e+01	1.060000e+01	9.165819e-03	1.600594e-04	1.600594e-04
1.060000e+01	1.070000e+01	8.913999e-03	1.580262e-04	1.580262e-04
1.070000e+01	1.080000e+01	9.110127e-03	1.601776e-04	1.601776e-04
1.080000e+01	1.090000e+01	8.759116e-03	1.566430e-04	1.566430e-04
1.090000e+01	1.100000e+01	8.530885e-03	1.547021e-04	1.547021e-04
1.100000e+01	1.110000e+01	8.546575e-03	1.550012e-04	1.550012e-04
1.110000e+01	1.120000e+01	8.394993e-03	1.533848e-04	1.533848e-04
1.120000e+01	1.130000e+01	7.887953e-03	1.486679e-04	1.486679e-04
1.130000e+01	1.140000e+01	8.025669e-03	1.501847e-04	1.501847e-04
1.140000e+01	1.150000e+01	7.775100e-03	1.481613e-04	1.481613e-04
1.150000e+01	1.160000e+01	7.761238e-03	1.471250e-04	1.471250e-04
1.160000e+01	1.170000e+01	7.345451e-03	1.431790e-04	1.431790e-04
1.170000e+01	1.180000e+01	7.209367e-03	1.418004e-04	1.418004e-04
1.180000e+01	1.190000e+01	7.154041e-03	1.414416e-04	1.414416e-04
1.190000e+01	1.200000e+01	6.911237e-03	1.388876e-04	1.388876e-04
1.200000e+01	1.210000e+01	6.987734e-03	1.396283e-04	1.396283e-04
1.210000e+01	1.220000e+01	6.665861e-03	1.365202e-04	1.365202e-04
1.220000e+01	1.230000e+01	6.816574e-03	1.378902e-04	1.378902e-04
1.230000e+01	1.240000e+01	6.423948e-03	1.339114e-04	1.339114e-04
1.240000e+01	1.250000e+01	6.173371e-03	1.317570e-04	1.317570e-04
1.250000e+01	1.260000e+01	6.266425e-03	1.323003e-04	1.323003e-04
1.260000e+01	1.270000e+01	6.079152e-03	1.303477e-04	1.303477e-04
1.270000e+01	1.280000e+01	5.811058e-03	1.274245e-04	1.274245e-04
1.280000e+01	1.290000e+01	5.795003e-03	1.271736e-04	1.271736e-04
1.290000e+01	1.300000e+01	5.736027e-03	1.267439e-04	1.267439e-04
1.300000e+01	1.310000e+01	5.832684e-03	1.276077e-04	1.276077e-04
1.310000e+01	1.320000e+01	5.629895e-03	1.252962e-04	1.252962e-04
1.320000e+01	1.330000e+01	5.462576e-03	1.234609e-04	1.234609e-04
1.330000e+01	1.340000e+01	5.142861e-03	1.200182e-04	1.200182e-04
1.340000e+01	1.350000e+01	5.131279e-03	1.196263e-04	1.196263e-04
1.350000e+01	1.360000e+01	5.211453e-03	1.205857e-04	1.205857e-04
1.360000e+01	1.370000e+01	5.086303e-03	1.190953e-04	1.190953e-04
1.370000e+01	1.380000e+01	4.919789e-03	1.171413e-04	1.171413e-04
1.380000e+01	1.390000e+01	4.837749e-03	1.163533e-04	1.163533e-04
1.390000e+01	1.400000e+01	4.679536e-03	1.142398e-04	1.142398e-04
1.400000e+01	1.410000e+01	4.833416e-03	1.161655e-04	1.161655e-04
1.410000e+01	1.420000e+01	4.655224e-03	1.141762e-04	1.141762e-04
1.420000e+01	1.430000e+01	4.602051e-03	1.132979e-04	1.132979e-04
