# BEGIN PLOT
Legend=1
LogY=0
Title=Rapidity $+/-$ ratio of all particles
XLabel=$|y|$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y_+ \; / \; \mathrm{d}\sigma/\mathrm{d}y_-$
LegendYPos=0.5
DrawOnly=//home/mogzyb/Work/Dis-2.0/Hvv/Analysis.yoda/MC_FSPARTICLES/RapidityPMRatio
LegendOnly=//home/mogzyb/Work/Dis-2.0/Hvv/Analysis.yoda/MC_FSPARTICLES/RapidityPMRatio
# END PLOT

# BEGIN HISTO1D //home/mogzyb/Work/Dis-2.0/Hvv/Analysis.yoda/MC_FSPARTICLES/RapidityPMRatio
ErrorBreakdown={0: {"": {up: 0.0022312076619201656, dn: 0.0022312076619201656}}, 1: {"": {up: 0.0023242516758208657, dn: 0.0023242516758208657}}, 2: {"": {up: 0.0025406137652205642, dn: 0.0025406137652205642}}, 3: {"": {up: 0.0028909264239616421, dn: 0.0028909264239616421}}, 4: {"": {up: 0.0033940114354371943, dn: 0.0033940114354371943}}, 5: {"": {up: 0.0041109674459955123, dn: 0.0041109674459955123}}, 6: {"": {up: 0.0050423009757427986, dn: 0.0050423009757427986}}, 7: {"": {up: 0.0063586407557649858, dn: 0.0063586407557649858}}, 8: {"": {up: 0.0080981022638035062, dn: 0.0080981022638035062}}, 9: {"": {up: 0.010458289352351248, dn: 0.010458289352351248}}, 10: {"": {up: 0.012744762885470093, dn: 0.012744762885470093}}, 11: {"": {up: 0.017111551086279889, dn: 0.017111551086279889}}, 12: {"": {up: 0.021922431426288001, dn: 0.021922431426288001}}, 13: {"": {up: 0.030732130471676097, dn: 0.030732130471676097}}, 14: {"": {up: 0.040560379784395022, dn: 0.040560379784395022}}, 15: {"": {up: 0.05485058870549283, dn: 0.05485058870549283}}, 16: {"": {up: 0.072096680301157401, dn: 0.072096680301157401}}, 17: {"": {up: 0.11263894595431011, dn: 0.11263894595431011}}, 18: {"": {up: 0.10642999151306172, dn: 0.10642999151306172}}, 19: {"": {up: 0.17498407498655208, dn: 0.17498407498655208}}, 20: {"": {up: 0.23859684729019276, dn: 0.23859684729019276}}, 21: {"": {up: 0.25177114214462154, dn: 0.25177114214462154}}, 22: {"": {up: 0.43824125043862067, dn: 0.43824125043862067}}, 23: {"": {up: 0.3307189138830739, dn: 0.3307189138830739}}, 24: {"": {up: 0.3098740839015095, dn: 0.3098740839015095}}}
LineColor=red
LineStyle=solid
Path=//home/mogzyb/Work/Dis-2.0/Hvv/Analysis.yoda/MC_FSPARTICLES/RapidityPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.975827e-01	2.231208e-03	2.231208e-03
2.000000e-01	4.000000e-01	9.901554e-01	2.324252e-03	2.324252e-03
4.000000e-01	6.000000e-01	9.860974e-01	2.540614e-03	2.540614e-03
6.000000e-01	8.000000e-01	9.876429e-01	2.890926e-03	2.890926e-03
8.000000e-01	1.000000e+00	9.877280e-01	3.394011e-03	3.394011e-03
1.000000e+00	1.200000e+00	9.930964e-01	4.110967e-03	4.110967e-03
1.200000e+00	1.400000e+00	9.913802e-01	5.042301e-03	5.042301e-03
1.400000e+00	1.600000e+00	1.003765e+00	6.358641e-03	6.358641e-03
1.600000e+00	1.800000e+00	9.996938e-01	8.098102e-03	8.098102e-03
1.800000e+00	2.000000e+00	1.021867e+00	1.045829e-02	1.045829e-02
2.000000e+00	2.200000e+00	9.603625e-01	1.274476e-02	1.274476e-02
2.200000e+00	2.400000e+00	9.930492e-01	1.711155e-02	1.711155e-02
2.400000e+00	2.600000e+00	9.819012e-01	2.192243e-02	2.192243e-02
2.600000e+00	2.800000e+00	1.033421e+00	3.073213e-02	3.073213e-02
2.800000e+00	3.000000e+00	1.017749e+00	4.056038e-02	4.056038e-02
3.000000e+00	3.200000e+00	1.045815e+00	5.485059e-02	5.485059e-02
3.200000e+00	3.400000e+00	1.057930e+00	7.209668e-02	7.209668e-02
3.400000e+00	3.600000e+00	1.211290e+00	1.126389e-01	1.126389e-01
3.600000e+00	3.800000e+00	8.381354e-01	1.064300e-01	1.064300e-01
3.800000e+00	4.000000e+00	1.065111e+00	1.749841e-01	1.749841e-01
4.000000e+00	4.200000e+00	1.141785e+00	2.385968e-01	2.385968e-01
4.200000e+00	4.400000e+00	1.030303e+00	2.517711e-01	2.517711e-01
4.400000e+00	4.600000e+00	1.214286e+00	4.382413e-01	4.382413e-01
4.600000e+00	4.800000e+00	7.500000e-01	3.307189e-01	3.307189e-01
4.800000e+00	5.000000e+00	5.555556e-01	3.098741e-01	3.098741e-01
# END HISTO1D

