# BEGIN PLOT
Legend=1
LogY=0
XLabel=$|\eta|$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta_+ \; / \; \mathrm{d}\sigma/\mathrm{d}\eta_-$
LegendYPos=0.5
Title=Pseudorapidity $+/-$ ratio of all particles
DrawOnly=//home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MC_FSPARTICLES/EtaPMRatio
LegendOnly=//home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MC_FSPARTICLES/EtaPMRatio
# END PLOT

# BEGIN HISTO1D //home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MC_FSPARTICLES/EtaPMRatio
ErrorBreakdown={0: {"": {up: 0.0032747692353840472, dn: 0.0032747692353840472}}, 1: {"": {up: 0.0034405626600873766, dn: 0.0034405626600873766}}, 2: {"": {up: 0.0036861657995818599, dn: 0.0036861657995818599}}, 3: {"": {up: 0.0042139575256266533, dn: 0.0042139575256266533}}, 4: {"": {up: 0.0049515530659013937, dn: 0.0049515530659013937}}, 5: {"": {up: 0.0060172993868041463, dn: 0.0060172993868041463}}, 6: {"": {up: 0.0072563057093325582, dn: 0.0072563057093325582}}, 7: {"": {up: 0.0091278578096195846, dn: 0.0091278578096195846}}, 8: {"": {up: 0.011588406667369773, dn: 0.011588406667369773}}, 9: {"": {up: 0.014592152071789644, dn: 0.014592152071789644}}, 10: {"": {up: 0.01972030493866532, dn: 0.01972030493866532}}, 11: {"": {up: 0.026123511118966297, dn: 0.026123511118966297}}, 12: {"": {up: 0.033592084429526062, dn: 0.033592084429526062}}, 13: {"": {up: 0.043569069310051486, dn: 0.043569069310051486}}, 14: {"": {up: 0.063963718678190326, dn: 0.063963718678190326}}, 15: {"": {up: 0.066793236284081514, dn: 0.066793236284081514}}, 16: {"": {up: 0.10438966711302991, dn: 0.10438966711302991}}, 17: {"": {up: 0.14451183637721746, dn: 0.14451183637721746}}, 18: {"": {up: 0.1908537452381027, dn: 0.1908537452381027}}, 19: {"": {up: 0.19126387767008574, dn: 0.19126387767008574}}, 20: {"": {up: 0.43750132274932302, dn: 0.43750132274932302}}, 21: {"": {up: 0.45956184234195502, dn: 0.45956184234195502}}, 22: {"": {up: 1.6056540723331407, dn: 1.6056540723331407}}, 23: {"": {up: 0.96824583655185437, dn: 0.96824583655185437}}, 24: {"": {up: 0.27950849718747367, dn: 0.27950849718747367}}}
LineColor=red
LineStyle=solid
Path=//home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MC_FSPARTICLES/EtaPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.962797e-01	3.274769e-03	3.274769e-03
2.000000e-01	4.000000e-01	1.000188e+00	3.440563e-03	3.440563e-03
4.000000e-01	6.000000e-01	9.840297e-01	3.686166e-03	3.686166e-03
6.000000e-01	8.000000e-01	9.936442e-01	4.213958e-03	4.213958e-03
8.000000e-01	1.000000e+00	9.983724e-01	4.951553e-03	4.951553e-03
1.000000e+00	1.200000e+00	1.010962e+00	6.017299e-03	6.017299e-03
1.200000e+00	1.400000e+00	9.936620e-01	7.256306e-03	7.256306e-03
1.400000e+00	1.600000e+00	1.006622e+00	9.127858e-03	9.127858e-03
1.600000e+00	1.800000e+00	1.008741e+00	1.158841e-02	1.158841e-02
1.800000e+00	2.000000e+00	9.919900e-01	1.459215e-02	1.459215e-02
2.000000e+00	2.200000e+00	1.033777e+00	1.972030e-02	1.972030e-02
2.200000e+00	2.400000e+00	1.067751e+00	2.612351e-02	2.612351e-02
2.400000e+00	2.600000e+00	1.049138e+00	3.359208e-02	3.359208e-02
2.600000e+00	2.800000e+00	1.029072e+00	4.356907e-02	4.356907e-02
2.800000e+00	3.000000e+00	1.170574e+00	6.396372e-02	6.396372e-02
3.000000e+00	3.200000e+00	8.979243e-01	6.679324e-02	6.679324e-02
3.200000e+00	3.400000e+00	1.041073e+00	1.043897e-01	1.043897e-01
3.400000e+00	3.600000e+00	1.122144e+00	1.445118e-01	1.445118e-01
3.600000e+00	3.800000e+00	1.095238e+00	1.908537e-01	1.908537e-01
3.800000e+00	4.000000e+00	7.948718e-01	1.912639e-01	1.912639e-01
4.000000e+00	4.200000e+00	1.266667e+00	4.375013e-01	4.375013e-01
4.200000e+00	4.400000e+00	1.230769e+00	4.595618e-01	4.595618e-01
4.400000e+00	4.600000e+00	2.750000e+00	1.605654e+00	1.605654e+00
4.600000e+00	4.800000e+00	1.500000e+00	9.682458e-01	9.682458e-01
4.800000e+00	5.000000e+00	2.500000e-01	2.795085e-01	2.795085e-01
# END HISTO1D

