# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of all particles
XLabel=$p_\perp$ [GeV]
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}p_\perp$ [GeV$^{-1}$]
FullRange=1
DrawOnly=//home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MC_FSPARTICLES/Pt
LegendOnly=//home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MC_FSPARTICLES/Pt
# END PLOT

# BEGIN HISTO1D //home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MC_FSPARTICLES/Pt
LineColor=red
LineStyle=solid
Path=//home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MC_FSPARTICLES/Pt
ScaledBy=6.58592392386829896e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	6.000000e-01	7.279674e-01	2.075113e-03	2.075113e-03
6.000000e-01	7.000000e-01	6.255039e-01	1.923533e-03	1.923533e-03
7.000000e-01	8.000000e-01	5.431895e-01	1.792473e-03	1.792473e-03
8.000000e-01	9.000000e-01	4.789028e-01	1.683067e-03	1.683067e-03
9.000000e-01	1.000000e+00	4.251919e-01	1.585919e-03	1.585919e-03
1.000000e+00	1.100000e+00	3.789748e-01	1.497235e-03	1.497235e-03
1.100000e+00	1.200000e+00	3.398384e-01	1.417807e-03	1.417807e-03
1.200000e+00	1.300000e+00	3.086664e-01	1.351279e-03	1.351279e-03
1.300000e+00	1.400000e+00	2.804470e-01	1.287985e-03	1.287985e-03
1.400000e+00	1.500000e+00	2.558728e-01	1.230283e-03	1.230283e-03
1.500000e+00	1.600000e+00	2.339005e-01	1.176233e-03	1.176233e-03
1.600000e+00	1.700000e+00	2.174115e-01	1.134041e-03	1.134041e-03
1.700000e+00	1.800000e+00	2.023448e-01	1.094045e-03	1.094045e-03
1.800000e+00	1.900000e+00	1.864167e-01	1.050111e-03	1.050111e-03
1.900000e+00	2.000000e+00	1.758945e-01	1.020024e-03	1.020024e-03
2.000000e+00	2.100000e+00	1.628434e-01	9.814832e-04	9.814832e-04
2.100000e+00	2.200000e+00	1.516693e-01	9.471879e-04	9.471879e-04
2.200000e+00	2.300000e+00	1.432350e-01	9.204220e-04	9.204220e-04
2.300000e+00	2.400000e+00	1.347740e-01	8.929098e-04	8.929098e-04
2.400000e+00	2.500000e+00	1.269225e-01	8.664768e-04	8.664768e-04
2.500000e+00	2.600000e+00	1.196188e-01	8.411244e-04	8.411244e-04
2.600000e+00	2.700000e+00	1.115175e-01	8.121705e-04	8.121705e-04
2.700000e+00	2.800000e+00	1.057961e-01	7.910839e-04	7.910839e-04
2.800000e+00	2.900000e+00	1.017162e-01	7.756914e-04	7.756914e-04
2.900000e+00	3.000000e+00	9.706623e-02	7.578039e-04	7.578039e-04
3.000000e+00	3.100000e+00	9.152137e-02	7.357693e-04	7.357693e-04
3.100000e+00	3.200000e+00	8.571230e-02	7.119985e-04	7.119985e-04
3.200000e+00	3.300000e+00	8.341704e-02	7.023946e-04	7.023946e-04
3.300000e+00	3.400000e+00	7.880497e-02	6.828475e-04	6.828475e-04
3.400000e+00	3.500000e+00	7.518430e-02	6.668345e-04	6.668345e-04
3.500000e+00	3.600000e+00	7.242835e-02	6.545004e-04	6.545004e-04
3.600000e+00	3.700000e+00	6.876082e-02	6.377443e-04	6.377443e-04
3.700000e+00	3.800000e+00	6.660655e-02	6.276615e-04	6.276615e-04
3.800000e+00	3.900000e+00	6.358684e-02	6.132809e-04	6.132809e-04
3.900000e+00	4.000000e+00	5.899036e-02	5.907643e-04	5.907643e-04
4.000000e+00	4.100000e+00	5.796099e-02	5.854789e-04	5.854789e-04
4.100000e+00	4.200000e+00	5.450965e-02	5.678775e-04	5.678775e-04
4.200000e+00	4.300000e+00	5.287364e-02	5.592284e-04	5.592284e-04
4.300000e+00	4.400000e+00	5.088850e-02	5.487622e-04	5.487622e-04
4.400000e+00	4.500000e+00	4.895745e-02	5.381139e-04	5.381139e-04
4.500000e+00	4.600000e+00	4.791327e-02	5.323585e-04	5.323585e-04
4.600000e+00	4.700000e+00	4.507635e-02	5.164224e-04	5.164224e-04
4.700000e+00	4.800000e+00	4.412613e-02	5.109152e-04	5.109152e-04
4.800000e+00	4.900000e+00	4.395685e-02	5.099075e-04	5.099075e-04
4.900000e+00	5.000000e+00	4.031647e-02	4.883665e-04	4.883665e-04
5.000000e+00	5.100000e+00	3.995262e-02	4.861247e-04	4.861247e-04
5.100000e+00	5.200000e+00	3.781870e-02	4.730739e-04	4.730739e-04
5.200000e+00	5.300000e+00	3.738827e-02	4.702886e-04	4.702886e-04
5.300000e+00	5.400000e+00	3.602246e-02	4.615752e-04	4.615752e-04
5.400000e+00	5.500000e+00	3.439062e-02	4.510060e-04	4.510060e-04
5.500000e+00	5.600000e+00	3.370967e-02	4.465556e-04	4.465556e-04
5.600000e+00	5.700000e+00	3.189080e-02	4.343754e-04	4.343754e-04
5.700000e+00	5.800000e+00	3.078738e-02	4.267076e-04	4.267076e-04
5.800000e+00	5.900000e+00	2.979158e-02	4.197822e-04	4.197822e-04
5.900000e+00	6.000000e+00	2.891354e-02	4.136420e-04	4.136420e-04
6.000000e+00	6.100000e+00	2.833099e-02	4.093667e-04	4.093667e-04
6.100000e+00	6.200000e+00	2.714790e-02	4.007930e-04	4.007930e-04
6.200000e+00	6.300000e+00	2.602336e-02	3.923320e-04	3.923320e-04
6.300000e+00	6.400000e+00	2.602672e-02	3.923888e-04	3.923888e-04
6.400000e+00	6.500000e+00	2.515620e-02	3.857058e-04	3.857058e-04
6.500000e+00	6.600000e+00	2.461670e-02	3.815927e-04	3.815927e-04
6.600000e+00	6.700000e+00	2.375355e-02	3.748538e-04	3.748538e-04
6.700000e+00	6.800000e+00	2.327959e-02	3.710822e-04	3.710822e-04
6.800000e+00	6.900000e+00	2.222509e-02	3.625623e-04	3.625623e-04
6.900000e+00	7.000000e+00	2.208797e-02	3.615540e-04	3.615540e-04
7.000000e+00	7.100000e+00	2.047598e-02	3.480198e-04	3.480198e-04
7.100000e+00	7.200000e+00	2.029777e-02	3.464907e-04	3.464907e-04
7.200000e+00	7.300000e+00	1.985480e-02	3.427521e-04	3.427521e-04
7.300000e+00	7.400000e+00	1.933637e-02	3.381529e-04	3.381529e-04
7.400000e+00	7.500000e+00	1.899039e-02	3.351422e-04	3.351422e-04
7.500000e+00	7.600000e+00	1.883709e-02	3.337911e-04	3.337911e-04
7.600000e+00	7.700000e+00	1.797112e-02	3.260690e-04	3.260690e-04
7.700000e+00	7.800000e+00	1.779376e-02	3.243924e-04	3.243924e-04
7.800000e+00	7.900000e+00	1.697961e-02	3.168998e-04	3.168998e-04
7.900000e+00	8.000000e+00	1.655803e-02	3.129919e-04	3.129919e-04
8.000000e+00	8.100000e+00	1.587215e-02	3.063744e-04	3.063744e-04
8.100000e+00	8.200000e+00	1.563864e-02	3.040805e-04	3.040805e-04
8.200000e+00	8.300000e+00	1.491509e-02	2.970075e-04	2.970075e-04
8.300000e+00	8.400000e+00	1.517166e-02	2.995815e-04	2.995815e-04
8.400000e+00	8.500000e+00	1.439211e-02	2.917917e-04	2.917917e-04
8.500000e+00	8.600000e+00	1.385806e-02	2.863083e-04	2.863083e-04
8.600000e+00	8.700000e+00	1.349630e-02	2.825311e-04	2.825311e-04
8.700000e+00	8.800000e+00	1.356550e-02	2.832339e-04	2.832339e-04
8.800000e+00	8.900000e+00	1.259364e-02	2.729505e-04	2.729505e-04
8.900000e+00	9.000000e+00	1.342742e-02	2.818377e-04	2.818377e-04
9.000000e+00	9.100000e+00	1.272000e-02	2.743448e-04	2.743448e-04
9.100000e+00	9.200000e+00	1.249031e-02	2.717907e-04	2.717907e-04
9.200000e+00	9.300000e+00	1.187925e-02	2.650410e-04	2.650410e-04
9.300000e+00	9.400000e+00	1.148380e-02	2.605971e-04	2.605971e-04
9.400000e+00	9.500000e+00	1.143012e-02	2.600646e-04	2.600646e-04
9.500000e+00	9.600000e+00	1.112049e-02	2.564942e-04	2.564942e-04
9.600000e+00	9.700000e+00	1.090403e-02	2.540202e-04	2.540202e-04
9.700000e+00	9.800000e+00	1.059336e-02	2.503253e-04	2.503253e-04
9.800000e+00	9.900000e+00	1.077654e-02	2.524725e-04	2.524725e-04
9.900000e+00	1.000000e+01	9.768380e-03	2.403394e-04	2.403394e-04
1.000000e+01	1.010000e+01	9.505623e-03	2.371457e-04	2.371457e-04
1.010000e+01	1.020000e+01	9.818271e-03	2.409920e-04	2.409920e-04
1.020000e+01	1.030000e+01	9.680555e-03	2.393651e-04	2.393651e-04
1.030000e+01	1.040000e+01	9.236195e-03	2.338099e-04	2.338099e-04
1.040000e+01	1.050000e+01	9.219504e-03	2.335032e-04	2.335032e-04
1.050000e+01	1.060000e+01	8.756518e-03	2.276388e-04	2.276388e-04
1.060000e+01	1.070000e+01	8.632237e-03	2.259178e-04	2.259178e-04
1.070000e+01	1.080000e+01	8.595570e-03	2.255126e-04	2.255126e-04
1.080000e+01	1.090000e+01	8.428135e-03	2.232735e-04	2.232735e-04
1.090000e+01	1.100000e+01	7.677470e-03	2.131197e-04	2.131197e-04
1.100000e+01	1.110000e+01	7.841302e-03	2.153392e-04	2.153392e-04
1.110000e+01	1.120000e+01	7.859058e-03	2.155836e-04	2.155836e-04
1.120000e+01	1.130000e+01	7.676979e-03	2.130909e-04	2.130909e-04
1.130000e+01	1.140000e+01	7.365239e-03	2.087471e-04	2.087471e-04
1.140000e+01	1.150000e+01	6.855457e-03	2.013836e-04	2.013836e-04
1.150000e+01	1.160000e+01	7.399681e-03	2.092193e-04	2.092193e-04
1.160000e+01	1.170000e+01	6.891589e-03	2.019215e-04	2.019215e-04
1.170000e+01	1.180000e+01	6.866224e-03	2.015175e-04	2.015175e-04
1.180000e+01	1.190000e+01	6.729264e-03	1.994810e-04	1.994810e-04
1.190000e+01	1.200000e+01	6.598695e-03	1.975279e-04	1.975279e-04
1.200000e+01	1.210000e+01	6.351777e-03	1.938215e-04	1.938215e-04
1.210000e+01	1.220000e+01	6.837417e-03	2.011087e-04	2.011087e-04
1.220000e+01	1.230000e+01	6.152966e-03	1.908093e-04	1.908093e-04
1.230000e+01	1.240000e+01	6.038602e-03	1.889894e-04	1.889894e-04
1.240000e+01	1.250000e+01	6.198323e-03	1.914713e-04	1.914713e-04
1.250000e+01	1.260000e+01	6.162831e-03	1.909243e-04	1.909243e-04
1.260000e+01	1.270000e+01	5.901984e-03	1.868285e-04	1.868285e-04
1.270000e+01	1.280000e+01	5.723932e-03	1.839774e-04	1.839774e-04
1.280000e+01	1.290000e+01	5.537837e-03	1.810268e-04	1.810268e-04
1.290000e+01	1.300000e+01	5.457104e-03	1.796234e-04	1.796234e-04
1.300000e+01	1.310000e+01	5.304235e-03	1.771093e-04	1.771093e-04
1.310000e+01	1.320000e+01	5.167975e-03	1.748109e-04	1.748109e-04
1.320000e+01	1.330000e+01	5.235134e-03	1.759906e-04	1.759906e-04
1.330000e+01	1.340000e+01	5.269966e-03	1.765598e-04	1.765598e-04
1.340000e+01	1.350000e+01	5.248087e-03	1.762311e-04	1.762311e-04
1.350000e+01	1.360000e+01	4.948860e-03	1.710588e-04	1.710588e-04
1.360000e+01	1.370000e+01	4.853773e-03	1.693982e-04	1.693982e-04
1.370000e+01	1.380000e+01	5.038422e-03	1.726171e-04	1.726171e-04
1.380000e+01	1.390000e+01	4.741573e-03	1.674312e-04	1.674312e-04
1.390000e+01	1.400000e+01	4.565073e-03	1.643028e-04	1.643028e-04
1.400000e+01	1.410000e+01	4.759922e-03	1.677666e-04	1.677666e-04
1.410000e+01	1.420000e+01	4.600956e-03	1.649550e-04	1.649550e-04
1.420000e+01	1.430000e+01	4.106538e-03	1.558926e-04	1.558926e-04
