# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MyHAnalysis/H_O
LegendOnly=//home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MyHAnalysis/H_O
# END PLOT

# BEGIN HISTO1D //home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MyHAnalysis/H_O
LineColor=red
LineStyle=solid
Path=//home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MyHAnalysis/H_O
ScaledBy=2.24722052467799527e-01
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	5.649636e+02	1.067491e+01	1.067491e+01
1.000000e-02	2.000000e-02	1.021014e+03	1.435062e+01	1.435062e+01
2.000000e-02	3.000000e-02	9.564951e+02	1.389000e+01	1.389000e+01
3.000000e-02	4.000000e-02	6.968736e+02	1.185577e+01	1.185577e+01
4.000000e-02	5.000000e-02	4.919491e+02	9.961261e+00	9.961261e+00
5.000000e-02	6.000000e-02	4.015891e+02	9.000079e+00	9.000079e+00
6.000000e-02	7.000000e-02	3.213151e+02	8.050509e+00	8.050509e+00
7.000000e-02	8.000000e-02	2.777483e+02	7.484879e+00	7.484879e+00
8.000000e-02	9.000000e-02	2.622141e+02	7.272511e+00	7.272511e+00
9.000000e-02	1.000000e-01	2.273294e+02	6.771639e+00	6.771639e+00
1.000000e-01	1.100000e-01	2.089613e+02	6.492111e+00	6.492111e+00
1.100000e-01	1.200000e-01	1.861682e+02	6.127800e+00	6.127800e+00
1.200000e-01	1.300000e-01	1.926364e+02	6.233573e+00	6.233573e+00
1.300000e-01	1.400000e-01	1.682316e+02	5.825394e+00	5.825394e+00
1.400000e-01	1.500000e-01	1.726561e+02	5.901263e+00	5.901263e+00
1.500000e-01	1.600000e-01	1.732644e+02	5.911706e+00	5.911706e+00
1.600000e-01	1.700000e-01	1.490635e+02	5.483393e+00	5.483393e+00
1.700000e-01	1.800000e-01	1.395896e+02	5.306407e+00	5.306407e+00
1.800000e-01	1.900000e-01	1.438188e+02	5.386058e+00	5.386058e+00
1.900000e-01	2.000000e-01	1.397813e+02	5.309853e+00	5.309853e+00
2.000000e-01	2.100000e-01	1.389751e+02	5.294529e+00	5.294529e+00
2.100000e-01	2.200000e-01	1.365491e+02	5.248010e+00	5.248010e+00
2.200000e-01	2.300000e-01	1.159787e+02	4.836644e+00	4.836644e+00
2.300000e-01	2.400000e-01	1.171880e+02	4.861780e+00	4.861780e+00
2.400000e-01	2.500000e-01	1.151692e+02	4.819682e+00	4.819682e+00
2.500000e-01	2.600000e-01	1.050852e+02	4.603867e+00	4.603867e+00
2.600000e-01	2.700000e-01	1.066986e+02	4.639069e+00	4.639069e+00
2.700000e-01	2.800000e-01	1.024637e+02	4.546092e+00	4.546092e+00
2.800000e-01	2.900000e-01	9.137342e+01	4.293100e+00	4.293100e+00
2.900000e-01	3.000000e-01	8.743654e+01	4.203091e+00	4.203091e+00
3.000000e-01	3.100000e-01	8.330103e+01	4.098975e+00	4.098975e+00
3.100000e-01	3.200000e-01	7.442987e+01	3.874666e+00	3.874666e+00
3.200000e-01	3.300000e-01	7.906751e+01	3.993513e+00	3.993513e+00
3.300000e-01	3.400000e-01	6.877931e+01	3.724609e+00	3.724609e+00
3.400000e-01	3.500000e-01	6.232450e+01	3.545517e+00	3.545517e+00
3.500000e-01	3.600000e-01	5.344981e+01	3.283396e+00	3.283396e+00
3.600000e-01	3.700000e-01	5.345513e+01	3.283727e+00	3.283727e+00
3.700000e-01	3.800000e-01	4.518022e+01	3.018730e+00	3.018730e+00
3.800000e-01	3.900000e-01	4.114627e+01	2.880815e+00	2.880815e+00
3.900000e-01	4.000000e-01	3.610811e+01	2.698850e+00	2.698850e+00
4.000000e-01	4.100000e-01	3.348177e+01	2.598689e+00	2.598689e+00
4.100000e-01	4.200000e-01	3.166649e+01	2.527261e+00	2.527261e+00
4.200000e-01	4.300000e-01	2.783424e+01	2.369408e+00	2.369408e+00
4.300000e-01	4.400000e-01	2.138028e+01	2.076636e+00	2.076636e+00
4.400000e-01	4.500000e-01	2.238841e+01	2.125014e+00	2.125014e+00
4.500000e-01	4.600000e-01	1.956465e+01	1.986489e+00	1.986489e+00
4.600000e-01	4.700000e-01	1.391712e+01	1.675424e+00	1.675424e+00
4.700000e-01	4.800000e-01	1.028657e+01	1.440408e+00	1.440408e+00
4.800000e-01	4.900000e-01	7.664502e+00	1.243346e+00	1.243346e+00
4.900000e-01	5.000000e-01	4.840738e+00	9.881115e-01	9.881115e-01
5.000000e-01	5.100000e-01	4.639040e+00	9.673068e-01	9.673068e-01
5.100000e-01	5.200000e-01	3.832251e+00	8.791786e-01	8.791786e-01
5.200000e-01	5.300000e-01	2.420369e+00	6.987003e-01	6.987003e-01
5.300000e-01	5.400000e-01	2.420369e+00	6.987003e-01	6.987003e-01
5.400000e-01	5.500000e-01	1.411882e+00	5.336412e-01	5.336412e-01
5.500000e-01	5.600000e-01	8.067896e-01	4.033948e-01	4.033948e-01
5.600000e-01	5.700000e-01	8.067896e-01	4.033948e-01	4.033948e-01
5.700000e-01	5.800000e-01	4.052720e-01	2.865736e-01	2.865736e-01
5.800000e-01	5.900000e-01	6.050922e-01	3.493501e-01	3.493501e-01
5.900000e-01	6.000000e-01	4.033948e-01	2.852432e-01	2.852432e-01
6.000000e-01	6.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.100000e-01	6.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e-01	6.300000e-01	4.033948e-01	2.852432e-01	2.852432e-01
6.300000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e-01	6.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e-01	6.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.700000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	6.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	7.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.100000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.300000e-01	7.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	7.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.700000e-01	7.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e-01	7.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.900000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e-01	8.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.300000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	8.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e-01	8.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e-01	8.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e-01	8.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.900000e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.100000e-01	9.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	9.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e-01	9.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e-01	9.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e-01	9.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e-01	9.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.700000e-01	9.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e-01	9.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

