# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MyHAnalysis/H_S
LegendOnly=//home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MyHAnalysis/H_S
# END PLOT

# BEGIN HISTO1D //home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MyHAnalysis/H_S
LineColor=red
LineStyle=solid
Path=//home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MyHAnalysis/H_S
ScaledBy=2.24722052467799527e-01
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.140031e+03	1.516406e+01	1.516406e+01
1.000000e-02	2.000000e-02	1.549876e+03	1.768086e+01	1.768086e+01
2.000000e-02	3.000000e-02	7.684967e+02	1.245030e+01	1.245030e+01
3.000000e-02	4.000000e-02	4.931634e+02	9.973590e+00	9.973590e+00
4.000000e-02	5.000000e-02	3.614503e+02	8.538462e+00	8.538462e+00
5.000000e-02	6.000000e-02	3.164862e+02	7.989943e+00	7.989943e+00
6.000000e-02	7.000000e-02	2.533400e+02	7.148403e+00	7.148403e+00
7.000000e-02	8.000000e-02	2.077562e+02	6.473444e+00	6.473444e+00
8.000000e-02	9.000000e-02	1.881837e+02	6.160857e+00	6.160857e+00
9.000000e-02	1.000000e-01	1.698364e+02	5.852952e+00	5.852952e+00
1.000000e-01	1.100000e-01	1.603577e+02	5.687305e+00	5.687305e+00
1.100000e-01	1.200000e-01	1.452248e+02	5.412211e+00	5.412211e+00
1.200000e-01	1.300000e-01	1.393735e+02	5.302018e+00	5.302018e+00
1.300000e-01	1.400000e-01	1.303086e+02	5.126934e+00	5.126934e+00
1.400000e-01	1.500000e-01	1.232515e+02	4.986226e+00	4.986226e+00
1.500000e-01	1.600000e-01	1.161796e+02	4.840815e+00	4.840815e+00
1.600000e-01	1.700000e-01	1.109408e+02	4.730536e+00	4.730536e+00
1.700000e-01	1.800000e-01	1.050843e+02	4.603829e+00	4.603829e+00
1.800000e-01	1.900000e-01	1.121486e+02	4.756161e+00	4.756161e+00
1.900000e-01	2.000000e-01	9.257931e+01	4.321232e+00	4.321232e+00
2.000000e-01	2.100000e-01	9.278108e+01	4.325940e+00	4.325940e+00
