# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MyHAnalysis/H_TGPeak
LegendOnly=//home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MyHAnalysis/H_TGPeak
# END PLOT

# BEGIN HISTO1D //home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MyHAnalysis/H_TGPeak
LineColor=red
LineStyle=solid
Path=//home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MyHAnalysis/H_TGPeak
ScaledBy=2.24722052467799527e-01
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
9.000000e-01	9.010000e-01	2.299350e+02	2.153539e+01	2.153539e+01
9.010000e-01	9.020000e-01	2.259011e+02	2.134565e+01	2.134565e+01
9.020000e-01	9.030000e-01	2.158162e+02	2.086374e+01	2.086374e+01
9.030000e-01	9.040000e-01	2.561557e+02	2.273014e+01	2.273014e+01
9.040000e-01	9.050000e-01	2.238841e+02	2.125014e+01	2.125014e+01
9.050000e-01	9.060000e-01	2.945051e+02	2.437343e+01	2.437343e+01
9.060000e-01	9.070000e-01	2.319520e+02	2.162964e+01	2.162964e+01
9.070000e-01	9.080000e-01	2.662406e+02	2.317327e+01	2.317327e+01
9.080000e-01	9.090000e-01	2.380029e+02	2.190995e+01	2.190995e+01
9.090000e-01	9.100000e-01	2.783763e+02	2.369699e+01	2.369699e+01
9.100000e-01	9.110000e-01	2.440539e+02	2.218671e+01	2.218671e+01
9.110000e-01	9.120000e-01	2.582375e+02	2.282528e+01	2.282528e+01
9.120000e-01	9.130000e-01	2.561557e+02	2.273014e+01	2.273014e+01
9.130000e-01	9.140000e-01	2.581916e+02	2.282114e+01	2.282114e+01
9.140000e-01	9.150000e-01	2.400199e+02	2.200259e+01	2.200259e+01
9.150000e-01	9.160000e-01	2.601897e+02	2.290842e+01	2.290842e+01
9.160000e-01	9.170000e-01	2.722915e+02	2.343512e+01	2.343512e+01
9.170000e-01	9.180000e-01	2.663281e+02	2.318105e+01	2.318105e+01
9.180000e-01	9.190000e-01	2.501080e+02	2.246036e+01	2.246036e+01
9.190000e-01	9.200000e-01	2.561772e+02	2.273206e+01	2.273206e+01
9.200000e-01	9.210000e-01	2.662406e+02	2.317327e+01	2.317327e+01
9.210000e-01	9.220000e-01	2.783474e+02	2.369451e+01	2.369451e+01
9.220000e-01	9.230000e-01	3.287668e+02	2.575100e+01	2.575100e+01
9.230000e-01	9.240000e-01	3.227159e+02	2.551293e+01	2.551293e+01
9.240000e-01	9.250000e-01	2.985756e+02	2.454284e+01	2.454284e+01
9.250000e-01	9.260000e-01	3.348177e+02	2.598689e+01	2.598689e+01
9.260000e-01	9.270000e-01	3.287668e+02	2.575100e+01	2.575100e+01
9.270000e-01	9.280000e-01	3.085971e+02	2.494860e+01	2.494860e+01
9.280000e-01	9.290000e-01	3.307838e+02	2.582987e+01	2.582987e+01
9.290000e-01	9.300000e-01	3.268684e+02	2.568138e+01	2.568138e+01
