# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MyHAnalysis/H_Tm
LegendOnly=//home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MyHAnalysis/H_Tm
# END PLOT

# BEGIN HISTO1D //home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MyHAnalysis/H_Tm
LineColor=red
LineStyle=solid
Path=//home/mogzyb/Work/Dis-2.0/ZH/Analysis.yoda/MyHAnalysis/H_Tm
ScaledBy=2.24722052467799527e-01
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	3.287668e+01	2.575100e+00	2.575100e+00
1.000000e-02	2.000000e-02	2.662406e+01	2.317327e+00	2.317327e+00
2.000000e-02	3.000000e-02	6.595505e+01	3.647322e+00	3.647322e+00
3.000000e-02	4.000000e-02	2.537493e+02	7.154260e+00	7.154260e+00
4.000000e-02	5.000000e-02	6.403978e+02	1.136522e+01	1.136522e+01
5.000000e-02	6.000000e-02	8.614709e+02	1.318184e+01	1.318184e+01
6.000000e-02	7.000000e-02	9.262395e+02	1.366856e+01	1.366856e+01
7.000000e-02	8.000000e-02	8.207179e+02	1.286619e+01	1.286619e+01
8.000000e-02	9.000000e-02	7.210973e+02	1.206024e+01	1.206024e+01
9.000000e-02	1.000000e-01	6.148915e+02	1.113802e+01	1.113802e+01
1.000000e-01	1.100000e-01	5.226227e+02	1.026726e+01	1.026726e+01
1.100000e-01	1.200000e-01	4.619066e+02	9.652430e+00	9.652430e+00
1.200000e-01	1.300000e-01	3.820229e+02	8.778080e+00	8.778080e+00
1.300000e-01	1.400000e-01	3.400672e+02	8.282015e+00	8.282015e+00
1.400000e-01	1.500000e-01	2.716935e+02	7.402791e+00	7.402791e+00
1.500000e-01	1.600000e-01	2.454667e+02	7.036348e+00	7.036348e+00
1.600000e-01	1.700000e-01	2.124012e+02	6.545504e+00	6.545504e+00
1.700000e-01	1.800000e-01	1.904076e+02	6.197242e+00	6.197242e+00
1.800000e-01	1.900000e-01	1.603560e+02	5.687242e+00	5.687242e+00
1.900000e-01	2.000000e-01	1.448269e+02	5.404895e+00	5.404895e+00
2.000000e-01	2.100000e-01	1.282799e+02	5.086630e+00	5.086630e+00
2.100000e-01	2.200000e-01	1.097248e+02	4.704411e+00	4.704411e+00
2.200000e-01	2.300000e-01	1.036767e+02	4.572986e+00	4.572986e+00
2.300000e-01	2.400000e-01	9.116723e+01	4.288145e+00	4.288145e+00
2.400000e-01	2.500000e-01	7.342492e+01	3.848514e+00	3.848514e+00
2.500000e-01	2.600000e-01	6.333299e+01	3.574087e+00	3.574087e+00
2.600000e-01	2.700000e-01	6.252620e+01	3.551249e+00	3.551249e+00
2.700000e-01	2.800000e-01	4.942003e+01	3.157332e+00	3.157332e+00
2.800000e-01	2.900000e-01	4.135058e+01	2.888051e+00	2.888051e+00
2.900000e-01	3.000000e-01	3.550096e+01	2.675987e+00	2.675987e+00
3.000000e-01	3.100000e-01	3.388516e+01	2.614297e+00	2.614297e+00
3.100000e-01	3.200000e-01	2.541387e+01	2.264048e+00	2.264048e+00
3.200000e-01	3.300000e-01	2.259011e+01	2.134565e+00	2.134565e+00
3.300000e-01	3.400000e-01	1.875786e+01	1.945099e+00	1.945099e+00
3.400000e-01	3.500000e-01	1.553070e+01	1.769888e+00	1.769888e+00
3.500000e-01	3.600000e-01	1.089166e+01	1.482167e+00	1.482167e+00
3.600000e-01	3.700000e-01	8.067896e+00	1.275647e+00	1.275647e+00
3.700000e-01	3.800000e-01	8.271105e+00	1.291731e+00	1.291731e+00
3.800000e-01	3.900000e-01	6.656014e+00	1.158663e+00	1.158663e+00
